Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES TREATED MALE ,TOTAL CASES TREATED FEMALE,TOTAL CASES TREATED ,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Lango,Apac District,34,30,64,32019,16600,48619,33542,14560,48102,13488,10383,23871,14315,12910,27225,29,29,58,31234,16275,47509,31942,14152,46094,13985,12739,26724,13231,10153,23384,143769,28,27,55,30732,15950,46682,31334,13913,45247,13699,12491,26190,12978,9950,22928,1269,2532,3801,52331,88771,141102,93398,54483,147881,14349,12940,27289,1783,206508.5175,115.8208175,1.8445,32.4014,2020,696.189202,115.8208174
West Nile,Arua City,45,29,74,16452,9493,25945,24457,12298,36755,8810,6912,15722,10268,9942,20210,30,19,49,14644,8387,23031,20731,10057,30788,16855,9158,26013,7918,5982,13900,93781,33,18,51,14114,8134,22248,20483,10173,30656,9766,9907,19673,7640,5743,13383,1571,2761,4332,33975,52036,86011,60032,38674,98706,10313,9971,20284,404,352416.4159,872.3178611,3.0274,30.9071,2020,266.1084892,872.3178611
West Nile,Arua District,6,3,9,9532,5004,14536,8429,3784,12213,4701,3551,8252,4025,3898,7923,3,1,4,9509,4983,14492,8148,3663,11811,4004,3799,7803,4697,3546,8243,42353,3,1,4,8956,4755,13711,7582,3435,11017,4722,1846334,1851056,4493,3406,7899,319,565,884,1857931,25756,1883687,26693,16240,42933,4031,3901,7932,800,148681.039,185.8512987,3.0018,30.9876,2020,284.8581116,185.8512987
Bukedi,Budaka District,5,4,9,3677,2005,5682,5864,2219,8083,2938,2103,5041,4113,3859,7972,5,3,8,3633,1946,5579,5783,2157,7940,4075,3779,7854,2873,2063,4936,26317,5,3,8,3412,1831,5243,5542,2016,7558,3875,3617,7492,2730,1959,4689,157,401,558,9426,15564,24990,16597,10190,26787,4118,3863,7981,410,249235.3939,607.8912045,1.1005,34.0196,2020,105.5909419,607.8912046
Bugisu,Bududa District,1,3,4,2118,1466,3584,5330,3570,8900,836,624,1460,1089,1021,2110,1,3,4,2047,1412,3459,5205,3508,8713,1067,1007,2074,805,594,1399,15649,1,3,4,2057,1413,3470,5196,3498,8694,1072,1004,2076,809,591,1400,130,319,449,6509,9135,15644,9374,6684,16058,1090,1024,2114,318,61214.32643,192.4978819,1.003,34.3338,2020,255.6427705,192.4978819
Busoga,Bugiri District,37,29,66,7664,4412,12076,15464,7241,22705,5610,4482,10092,9415,8559,17974,37,29,66,7659,4397,12056,15385,7195,22580,9393,8534,17927,5591,4460,10051,62680,37,29,66,7633,4389,12022,15296,7165,22461,9321,8454,17775,5546,4445,9991,589,1667,2256,24482,37833,62315,38190,24723,62913,9452,8588,18040,1033,438704.419,424.6896603,0.5316,0,2020,142.8752419,424.6896602
Bugisu,Bugisu,76,59,135,58316,37225,95541,112298,59442,171740,30538,24511,55049,42805,38343,81148,51,46,97,53972,34804,88776,100305,53642,153947,39428,34855,74283,28629,23004,51633,368736,57,48,105,53964,34889,88853,100963,54306,155269,39472,34943,74415,28676,23042,51718,3064,6009,9073,147228,223132,370360,244033,159580,403613,42881,38402,81283,2447,1675194.521,684.5911407,1.0783,34.1737,2020,220.1153331,684.5911406
Busoga,Bugweri District,23,13,36,15016,8082,23098,24551,10023,34574,11010,8433,19443,14619,12518,27137,23,13,36,14750,7969,22719,23947,9877,33824,14506,12391,26897,10670,8371,19041,102517,23,13,36,14318,7781,22099,23221,9600,32821,14043,12109,26152,10351,8035,18386,827,1244,2071,37538,61956,99494,65219,39069,104288,14642,12531,27173,302,191457.8987,633.966552,0.6116,33.5952,2020,535.4545344,633.966552
Ankole,Buhweju District,1,0,1,652,668,1320,1052,884,1936,308,251,559,223,221,444,1,0,1,649,662,1311,1044,869,1913,223,221,444,307,250,557,4226,1,0,1,645,651,1296,1020,856,1876,222,222,444,304,250,554,7,21,28,1979,2192,4171,2236,2024,4260,224,221,445,751,58583.41681,78.0072128,0.3558,30.3897,2020,72.13645482,78.0072128
North Central,Buikwe District,36,17,53,19721,14068,33789,35432,22776,58208,13176,10681,23857,17396,15839,33235,30,14,44,17854,12927,30781,29228,20438,49666,15833,14447,30280,12341,10131,22472,133243,30,14,44,17138,12400,29538,28042,20107,48149,15191,13878,29069,11792,9706,21498,698,1878,2576,56105,72193,128298,85761,63381,149142,17432,15856,33288,1270,478765.9383,376.9810538,0.2827,0,2020,278.3050951,376.9810538
