Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES TREATED MALE ,TOTAL CASES TREATED FEMALE,TOTAL CASES TREATED ,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Ankole,Rwampara District,10,2,12,778,592,1370,2522,1661,4183,303,267,570,351,345,696,0,0,0,584,490,1074,1936,1355,3291,208,221,429,228,180,408,5202,0,0,0,552,466,1018,1813,1283,3096,182,204,386,219,167,386,2,15,17,2120,2766,4886,3964,2867,6831,361,347,708,542,147832.5836,272.7538444,0.7476,30.482,2020,35.18845354,272.7538443
South Central,Sembabule District,22,19,41,8039,6576,14615,13132,9118,22250,4919,4397,9316,5315,4903,10218,21,24,45,7906,6478,14384,12855,8995,21850,5201,4815,10016,4820,4322,9142,55437,21,15,36,7867,6426,14293,12547,8677,21224,5125,4767,9892,4801,4302,9103,312,767,1079,24187,30361,54548,31427,25013,56440,5337,4922,10259,2317,283386.681,122.3075878,0.0638,31.3542,2020,195.6231669,122.3075878
Teso,Serere District,7,12,19,10113,5025,15138,11007,3994,15001,4681,3931,8612,3748,3639,7387,3,8,11,9409,4836,14245,9283,3570,12853,3263,3240,6503,4469,3776,8245,41857,4,8,12,12209,4603,16812,8980,3320,12300,3184,3156,6340,4310,3618,7928,477,839,1316,14705,28687,43392,29556,16601,46157,3755,3651,7406,1495,327270.4649,218.9100099,1.4994,33.549,2020,127.897273,218.91001
Ankole,Sheema District,0,0,0,596,578,1174,1552,1234,2786,256,226,482,285,298,583,0,0,0,398,438,836,1059,827,1886,158,184,342,157,135,292,3356,0,0,0,376,427,803,1022,800,1822,153,178,331,155,131,286,3,24,27,1536,1706,3242,2689,2336,5025,285,298,583,327,233238.5217,713.2676504,0.5515,30.3897,2020,14.38870379,713.2676505
Bugisu,Sironko District,9,9,18,8466,5230,13696,19035,9616,28651,4219,3269,7488,5712,4811,10523,3,7,10,7559,4766,12325,15951,8198,24149,4838,4080,8918,3852,2975,6827,52229,9,9,18,7854,4979,12833,17315,8969,26284,5118,4303,9421,3989,3064,7053,362,1156,1518,21324,34285,55609,37441,22935,60376,5721,4820,10541,383,274583.9034,716.9292517,1.2302,34.2491,2020,190.2114412,716.9292517
Teso,Soroti City,19,14,33,13316,6696,20012,25533,10317,35850,5652,4353,10005,6966,6365,13331,8,7,15,12772,6590,19362,23556,9750,33306,6564,6034,12598,5586,4182,9768,75049,10,6,16,12506,6419,18925,22839,9387,32226,6453,5896,12349,5421,4046,9467,357,939,1296,25754,47229,72983,51486,27745,79231,6985,6379,13364,205,118583.9257,578.4581743,0,0,2020,632.8766699,578.4581741
Teso,Soroti District,37,31,68,18872,8274,27146,22764,7357,30121,9626,7046,16672,10124,9320,19444,31,28,59,18489,7997,26486,21831,7011,28842,9942,9182,19124,9345,6828,16173,90684,31,28,59,18309,7800,26109,21560,6912,28472,9767,8941,18708,9189,6790,15979,1316,2519,3835,30471,58856,89327,61423,32028,93451,10161,9351,19512,1034,236630.7495,228.8498545,1.7229,33.528,2020,383.229991,228.8498544
South Central,South Central,495,434,929,138263,117522,255785,211490,149101,360591,83222,75833,159055,80947,77642,158589,322,286,608,126121,107816,233937,184264,127859,312123,70252,66132,136384,75081,68606,143687,826739,328,290,618,124285,106149,230434,179438,126240,305678,69302,65626,134928,74092,67450,141542,3622,14205,17827,365755,447445,813200,514417,420532,934949,81442,78076,159518,0,2479348,0,0,0,2020,333.4501651,0
West Nile,Terego District,19,16,35,51247,31804,83051,56925,18635,75560,31344,24376,55720,36190,34894,71084,18,13,31,42149,26099,68248,45395,15017,60412,29788,28387,58175,25877,19063,44940,231806,17,15,32,46589,28860,75449,49620,16243,65863,40008,31893,71901,28828,21631,50459,1567,4516,6083,98642,165062,263704,175725,109725,285450,36209,34910,71119,1200,266398.0692,221.998391,3.171,31.1252,2020,870.1489493,221.998391
Teso,Teso,215,190,405,190836,98053,288889,235009,91547,326556,96129,71847,167976,102409,93878,196287,169,157,326,195000,92809,287809,227771,88821,316592,99847,91759,191606,94942,71083,166025,962358,168,155,323,185948,89686,275634,220700,86053,306753,97100,89258,186358,92229,68748,160977,10325,21674,31999,333900,596145,930045,624598,355515,980113,102624,94068,196692,11650,2181797.639,187.2787673,1.7159,33.6111,2020,441.084903,187.2787673
Tooro,Tooro,299,252,551,141688,98972,240660,213366,122470,335836,73619,60715,134334,81921,81978,163899,237,196,433,122426,92336,214762,183766,112322,296088,75343,68645,143988,68955,56984,125939,781210,223,240,463,123548,92411,215959,183074,111598,294672,73465,105061,178526,68346,56204,124550,4086,12468,16554,365514,448656,814170,510893,364387,875280,82220,82230,164450,8383,1906583.285,227.4344846,0.3886,30.3436,2020,409.7434432,227.4344847
Bukedi,Tororo District,18,11,29,11929,7362,19291,19497,9473,28970,6395,4998,11393,8814,7682,16496,18,10,28,11354,6975,18329,18078,8802,26880,8294,7241,15535,6027,4745,10772,71544,16,23,39,11119,6761,17880,17696,8479,26175,8165,7095,15260,5940,4688,10628,452,851,1303,27046,42936,69982,46653,29526,76179,8832,7693,16525,4504,2162302.077,480.0848305,0.3886,30.3436,2020,33.08695892,480.0848306
South Central,Wakiso District,331,308,639,37127,31791,68918,78427,60878,139305,25218,23359,48577,29497,28045,57542,180,172,352,27802,24049,51851,59129,40753,99882,21357,18955,40312,18385,17245,35630,228027,193,188,381,27808,23854,51662,56741,43767,100508,21132,19230,40362,18394,16974,35368,1091,6914,8005,104013,124268,228281,170600,144381,314981,29828,28353,58181,1884,2753785.676,1461.669679,0.063,32.4467,2020,82.80491906,1461.669679
West Nile,West Nile,350,291,641,428298,269007,697305,440819,174398,615217,254706,205959,460665,310779,298947,609726,303,242,545,401725,252654,654379,399665,158838,558503,297284,282397,579681,240980,193504,434484,2227592,287,235,522,398284,250939,649223,396757,157702,554459,296921,2122201,2419122,239877,284072,523949,14345,31525,45870,2815149,1332126,4147275,1434952,948602,2383554,311129,299238,610367,10757,2862911.96,266.1440885,0,0,2020,778.0860994,266.1440885
West Nile,Yumbe District,80,61,141,81956,51421,133377,78387,30203,108590,54359,45153,99512,74772,70076,144848,61,51,112,77993,49069,127062,73821,28523,102344,68979,68707,137686,51924,42768,94692,461896,57,38,95,77450,49220,126670,73503,28272,101775,68043,66283,134326,51584,43861,95445,2520,4706,7226,187674,270637,458311,289554,196914,486468,74852,70137,144989,2323,723635.0354,311.50884,3.4698,31.2483,2020,638.2996641,311.50884
West Nile,Zombo District,13,12,25,15694,10009,25703,17793,8929,26722,7823,6483,14306,11862,11658,23520,11,10,21,15361,9862,25223,17279,8666,25945,11876,11413,23289,7725,6488,14213,88691,11,10,21,14530,9424,23954,16571,8392,24963,10919,10805,21724,7305,6164,13469,492,905,1397,34795,49336,84131,53185,37091,90276,11875,11670,23545,939,281289.8136,299.5631668,2.4882,30.8499,2020,315.3011439,299.5631668
Karamoja,Abim District,2,5,7,13939,6695,20634,15856,7109,22965,7006,5270,12276,15415,13468,28883,2,5,7,13652,6564,20216,15352,6805,22157,14961,13081,28042,6903,5160,12063,82485,2,4,6,13325,6427,19752,14997,6756,21753,14589,12773,27362,6710,5033,11743,674,1323,1997,30993,49623,80616,52218,32547,84765,15417,13473,28890,2301,132134.7761,57.42493529,2.7067,33.6595,2021,624.248986,57.42493529
Acholi,Acholi,368,310,678,246462,132169,378631,228667,82226,310893,112043,87522,199565,131628,124808,256436,234,190,424,235954,126860,362814,207769,73865,281634,124793,118285,243078,106957,83803,190760,1078710,225,189,414,235560,126902,362462,208626,73592,282218,126070,118347,244417,106912,83896,190808,8552,17185,25737,402926,677393,1080319,719168,427035,1146203,131996,125118,257114,28522,1863300.782,65.32854577,0,0,2021,578.9242458,65.32854575
West Nile,Adjumani District,24,15,39,63279,44827,108106,60259,26891,87150,37122,29949,67071,45284,42358,87642,12,13,25,61302,43442,104744,56951,25619,82570,43590,40939,84529,35920,29501,65421,337289,12,12,24,61216,43362,104578,56278,25400,81678,43501,40583,84084,35651,28580,64231,1226,3460,4686,137937,196658,334595,205968,144040,350008,45308,42373,87681,2301,132134.7761,57.42493529,3.2549,31.7195,2021,2552.613399,57.42493529
Acholi,Agago District,25,21,46,40202,20974,61176,38604,11565,50169,16133,12026,28159,18736,17591,36327,19,19,38,39030,20462,59492,36406,11134,47540,18095,17080,35175,15710,11723,27433,169678,18,19,37,38999,20410,59409,36706,11126,47832,18492,17124,35616,15620,11751,27371,1154,2459,3613,60430,109835,170265,113700,62177,175877,18761,17612,36373,3493,280860.7314,80.40673672,2.9251,0,2021,604.1357193,80.40673673
Lango,Alebtong District,50,32,82,18176,8163,26339,24600,6883,31483,11431,8883,20314,15520,14135,29655,50,32,82,18108,8111,26219,24420,6816,31236,15491,14097,29588,11399,8848,20247,107372,49,32,81,17935,8038,25973,24143,6728,30871,15231,13818,29049,11292,8757,20049,1121,2262,3383,37373,68650,106023,69777,38096,107873,15570,14167,29737,1534,265408.4183,173.0172218,2.2914,33.2139,2021,404.5538596,173.0172218
Lango,Amolatar District,3,5,8,13572,8032,21604,15140,6861,22001,7990,7019,15009,7601,7285,14886,3,5,8,13571,8032,21603,15040,6860,21900,7601,7275,14876,7990,7019,15009,73396,3,5,8,13364,7951,21315,14955,6829,21784,7536,7213,14749,7928,6953,14881,430,818,1248,28951,43786,72737,44306,29202,73508,7604,7290,14894,1163,175148.6284,150.6007123,1.6054,32.8084,2021,419.0498131,150.6007123
Karamoja,Amudat District,11,3,14,2942,2409,5351,5239,2181,7420,2678,2342,5020,4487,4121,8608,10,1,11,2753,2321,5074,4664,2024,6688,4294,3925,8219,2608,2296,4904,24896,10,1,11,2722,2311,5033,4632,2022,6654,4181,3853,8034,2586,2266,4852,163,368,531,10453,14131,24584,15357,11056,26413,4498,4124,8622,1616,167143.8505,103.4306006,1.7916,34.9066,2021,148.9495421,103.4306006
Teso,Amuria District,25,20,45,19750,8627,28377,19801,6933,26734,8714,6137,14851,7704,7397,15101,23,18,41,19463,8566,28029,19399,6857,26256,7575,7288,14863,8636,6107,14743,83932,23,18,41,19209,8450,27659,19117,6768,25885,7498,7200,14698,8536,6020,14556,728,1326,2054,28456,54383,82839,55994,29114,85108,7729,7417,15146,1383,228846.53,165.471099,2.0302,33.6428,2021,366.7610778,165.4710991
Acholi,Amuru District,11,11,22,26380,13275,39655,24407,9129,33536,12013,9420,21433,14648,13927,28575,11,10,21,25422,12986,38408,22529,8402,30931,14178,13478,27656,11757,9150,20907,117923,10,10,20,25104,12815,37919,22111,8261,30372,13974,13297,27271,11640,9050,20690,768,1352,2120,43433,72839,116272,77459,45762,123221,14659,13938,28597,3619,227475.1853,62.85581245,3.1042,32.0837,2021,518.3994019,62.85581246
Ankole,Ankole,109,81,190,76663,61300,137963,128784,80583,209367,36623,30960,67583,35235,32390,67625,85,58,143,72597,58828,131425,117923,73939,191862,32967,30226,63193,34958,29330,64288,450911,79,55,134,70604,57177,127781,115939,73544,189483,32654,30019,62673,34148,28677,62825,1298,4247,5545,189472,253424,442896,277414,205314,482728,35344,32471,67815,15067,3378244.568,224.2148117,0,0,2021,133.4749427,224.2148117
Lango,Apac District,17,9,26,13082,6459,19541,17579,8662,26241,4359,3405,7764,5179,4642,9821,13,6,19,12835,6355,19190,16973,8257,25230,5038,4509,9547,4299,3363,7662,61648,13,6,19,12828,6348,19176,16933,8243,25176,5015,4489,9504,4293,3355,7648,706,1518,2224,22441,39082,61523,40216,23177,63393,5196,4651,9847,1783,210267.9759,117.9293191,1.8445,32.4014,2021,293.187775,117.9293191
West Nile,Arua City,31,74,105,12730,7367,20097,21367,11162,32529,6310,5169,11479,8427,8325,16752,32,35,67,11629,6730,18359,22033,9757,31790,7862,7764,15626,5851,4626,10477,76319,26,10,36,12263,7049,19312,20627,11006,31633,8110,7962,16072,6064,4811,10875,1576,3338,4914,30838,47090,77928,48865,32097,80962,8458,8399,16857,404,360213.6992,891.6180672,3.0274,30.9071,2021,211.8714534,891.6180673
West Nile,Arua District,2,7,9,7842,4172,12014,7076,3080,10156,3554,2712,6266,2964,2858,5822,2,7,9,7709,4074,11783,6838,2988,9826,2900,2751,5651,3466,2640,6106,33375,2,7,9,7766,4139,11905,6963,3042,10005,2949,2825,5774,9424,2669,12093,337,548,885,12682,27104,39786,21438,12829,34267,2966,2865,5831,800,151367.5827,189.2094783,3.0018,30.9876,2021,220.4897469,189.2094784
Bukedi,Budaka District,13,5,18,11742,4857,16599,16516,3826,20342,10501,7745,18246,15551,13566,29117,13,5,18,11693,4828,16521,16379,3765,20144,15500,13487,28987,10417,7722,18139,83809,13,5,18,11493,4743,16236,16128,3712,19840,15173,13222,28395,10284,7592,17876,776,1520,2296,29274,53091,82365,54323,29999,84322,15564,13571,29135,410,256945.5833,626.6965447,1.1005,34.0196,2021,326.1741219,626.6965446
Bugisu,Bududa District,0,1,1,3119,2037,5156,4818,2994,7812,1123,1069,2192,1410,1377,2787,0,1,1,3072,2025,5097,4797,2959,7756,1380,1343,2723,1109,1055,2164,17741,0,1,1,2999,1975,4974,4602,2848,7450,1334,1307,2641,1081,1031,2112,294,414,708,7162,10016,17178,10470,7478,17948,1410,1378,2788,318,49838.5923,156.725133,1.003,34.3338,2021,355.9691231,156.725133
Busoga,Bugiri District,62,33,95,14633,7724,22357,24941,9901,34842,13380,10611,23991,18442,16720,35162,61,32,93,14590,7697,22287,24789,9830,34619,18402,16677,35079,13344,10582,23926,116004,61,32,93,14478,7644,22122,24823,9692,34515,18143,16414,34557,13238,10500,23738,1128,2339,3467,44282,70743,115025,71458,44989,116447,18504,16753,35257,1033,448763.2922,434.4271947,0.5316,0,2021,258.4970786,434.4271948
Bugisu,Bugisu,252,188,440,55839,35698,91537,101701,59699,161400,30253,24375,54628,45024,39420,84444,240,185,425,53078,34124,87202,95477,54281,149758,43011,37691,80702,29000,23320,52320,370407,240,185,425,52405,33798,86203,94332,53625,147957,42692,37296,79988,28696,23139,51835,4481,7430,11911,148043,218365,366408,233069,159380,392449,45276,39608,84884,2447,1712097.712,699.6721342,1.0783,34.1737,2021,216.346881,699.672134
Busoga,Bugweri District,11,8,19,11559,6409,17968,19515,8065,27580,7901,6431,14332,11031,10163,21194,11,8,19,11504,6367,17871,19352,7989,27341,10990,10117,21107,7931,6386,14317,80655,11,8,19,11414,6331,17745,19064,7926,26990,10860,9993,20853,7800,6329,14129,844,1490,2334,30587,49149,79736,50017,31076,81093,11042,10171,21213,302,196285.4942,649.9519675,0.6116,33.5952,2021,410.9065743,649.9519675
Ankole,Buhweju District,0,0,0,430,415,845,644,547,1191,299,169,468,202,161,363,0,0,0,428,412,840,642,543,1185,202,161,363,297,169,466,2854,0,0,0,421,406,827,630,532,1162,201,161,362,296,169,465,4,16,20,1268,1548,2816,1575,1292,2867,202,161,363,751,76226.72766,101.5003031,0.3558,30.3897,2021,37.44093558,101.5003031
North Central,Buikwe District,44,18,62,17115,14064,31179,31039,20409,51448,11158,8763,19921,15491,13924,29415,36,17,53,15945,11256,27201,27397,18939,46336,14442,12928,27370,10618,8344,18962,119922,35,17,52,15735,11142,26877,26983,18625,45608,14258,12766,27024,10496,8224,18720,983,2238,3221,50774,67507,118281,74847,57178,132025,15535,13942,29477,1270,488794.4368,384.8775093,0.2827,0,2021,245.3423995,384.8775093
Teso,Bukedea District,14,13,27,9429,4294,13723,15754,5672,21426,4005,2732,6737,5581,5020,10601,14,13,27,9421,4272,13693,15597,5648,21245,5541,5008,10549,4002,2730,6732,52246,14,13,27,9302,4227,13529,15558,5607,21165,5385,4890,10275,3910,2687,6597,1050,2468,3518,17424,34169,51593,34783,17731,52514,5595,5033,10628,1032,256293.5679,248.3464805,1.3557,34.1087,2021,203.8521701,248.3464805
Bukedi,Bukedi,187,167,354,124341,66581,190922,185386,66730,252116,95192,74681,169873,128351,115093,243444,170,156,326,122258,65604,187862,180215,64912,245127,125908,112732,238640,93926,73927,167853,839808,172,158,330,120541,64497,185038,177309,65332,242641,124283,111592,235875,92579,72725,165304,5848,11421,17269,314304,514884,829188,533457,323252,856709,128538,115260,243798,4504,2213035.221,491.3488502,0,0,2021,379.4824375,491.3488501
South Central,Bukomansimbi District,4,1,5,3616,3156,6772,5218,2924,8142,2400,2257,4657,2866,2824,5690,4,59,63,3606,3152,6758,5206,2921,8127,2871,2826,5697,2398,2250,4648,25293,4,1,5,3618,3145,6763,5216,2916,8132,2875,2821,5696,2426,2268,4694,79,325,404,11151,14139,25290,14104,11162,25266,2870,2825,5695,600,182410.81,304.0180166,0.1433,31.6055,2021,138.6595455,304.0180167
Bugisu,Bukwo District,0,0,0,2206,1847,4053,2655,2462,5117,1333,1192,2525,1070,953,2023,0,0,0,1822,1576,3398,2061,2001,4062,868,769,1637,1119,999,2118,11215,0,0,0,1785,1532,3317,2009,1970,3979,851,763,1614,1105,993,2098,76,124,200,5258,5750,11008,7264,6454,13718,1070,953,2023,525,106224.5019,202.3323845,1.2819,34.7299,2021,105.5782781,202.3323846
Bugisu,Bulambuli District,4,7,11,4273,2425,6698,8610,4657,13267,2269,1530,3799,2709,2603,5312,4,7,11,4042,2289,6331,8184,4411,12595,2505,2398,4903,2103,1437,3540,27380,4,7,11,4030,2305,6335,8165,4368,12533,2563,2467,5030,2151,1465,3616,394,712,1106,10612,16913,27525,17865,11222,29087,2713,2610,5323,695,215179.668,309.6110331,1.4815,34.2866,2021,127.2425051,309.6110331
Bunyoro,Buliisa District,2,2,4,10155,5435,15590,11557,4807,16364,6937,5645,12582,10871,10341,21212,2,2,4,9343,5034,14377,10066,4236,14302,9937,9463,19400,6354,5187,11541,59624,1,2,3,9598,4994,14592,9930,4373,14303,9858,9252,19110,6376,5160,11536,873,1949,2822,23781,35763,59544,39522,26230,65752,10873,10343,21216,1367,149153.5712,109.1101472,1.8992,31.3542,2021,399.7490608,109.1101472
Tooro,Bundibugyo District,39,25,64,14986,8470,23456,28669,14372,43041,9003,6575,15578,11791,10313,22104,38,137,175,14760,8344,23104,28169,14121,42290,11672,10176,21848,8884,6496,15380,102797,38,25,63,14850,8397,23247,28311,14265,42576,11729,10211,21940,8927,6523,15450,649,1240,1889,39421,63855,103276,64488,39755,104243,11830,10338,22168,850,251951.3187,296.4133162,0.6852,0,2021,408.0034212,296.4133161
Tooro,Bunyangabu District,5,0,5,2210,1953,4163,3535,2766,6301,1193,1054,2247,1283,1252,2535,6,7,13,2089,1840,3929,3310,2606,5916,1179,1161,2340,1150,1006,2156,14354,6,0,6,1932,1718,3650,3175,2507,5682,1108,1124,2232,1084,938,2022,66,151,217,6287,7305,13592,8226,7025,15251,1288,1252,2540,466,203072.6229,435.7781606,0.4871,30.2051,2021,70.6840725,435.7781607
Bunyoro,Bunyoro,187,120,307,82318,51529,133847,114175,60677,174852,48851,35898,84749,71861,63768,135629,107,96,203,77036,48683,125719,106182,54428,160610,64624,59363,123987,41543,33712,75255,485774,122,102,224,77694,81994,159688,104570,55337,159907,64501,59366,123867,41980,34095,76075,6624,14567,21191,230894,288867,519761,317392,211992,529384,72048,63888,135936,16580,2537323.705,153.0352053,0,0,2021,191.4513308,153.0352054
Ankole,Bushenyi District,1,1,2,3785,3700,7485,5362,3778,9140,1426,1281,2707,1066,1021,2087,1,1,2,3688,3640,7328,5060,3481,8541,1037,996,2033,1396,1251,2647,20551,1,1,2,3648,3600,7248,4983,3408,8391,1025,988,2013,1374,1232,2606,59,172,231,9229,11031,20260,11640,9781,21421,1067,1022,2089,845,267721.0326,316.8296243,0.4875,30.1127,2021,76.76273993,316.8296244
Bukedi,Busia District,37,23,60,26108,15751,41859,43824,19375,63199,16144,12730,28874,24129,22636,46765,31,19,50,25762,15670,41432,42438,19190,61628,23935,22395,46330,16159,12690,28849,178289,31,19,50,25602,15503,41105,42487,19036,61523,23915,22268,46183,16115,12642,28757,1175,2051,3226,69468,108150,177618,110242,70515,180757,24166,22659,46825,729,383663.3188,526.2871315,0.4045,34.0196,2021,464.7017092,526.2871314
Busoga,Busoga,550,344,894,226136,125602,351738,414857,193383,608240,152472,116145,268617,245207,214054,459261,502,294,796,221532,122312,343844,402648,185745,588393,239260,209133,448393,149330,113151,262481,1643907,496,290,786,218995,120774,339769,397286,183248,580534,236412,206510,442922,147459,111730,259189,22073,43619,65692,622552,1000648,1623200,1039222,649528,1688750,245757,214398,460155,9443,4112930.519,435.5533748,0,0,2021,399.6923829,435.5533749
Bukedi,Butaleja District,11,8,19,15273,8170,23443,23395,8194,31589,13478,10801,24279,18624,16937,35561,7,5,12,14360,7719,22079,20967,7443,28410,17197,15568,32765,12688,10430,23118,106384,8,6,14,14080,7690,21770,20223,8995,29218,16987,15517,32504,12793,10428,23221,578,1206,1784,42636,64091,106727,70781,44110,114891,18635,16945,35580,655,290373.6171,443.3184994,0,0,2021,366.3693729,443.3184994
South Central,Butambala District,0,4,4,5122,4810,9932,5936,3672,9608,2420,2441,4861,2391,2220,4611,0,2,2,4634,4491,9125,5220,3323,8543,2121,1963,4084,2208,2262,4470,26224,0,2,2,4526,4399,8925,5147,3282,8429,2091,1933,4024,2157,2216,4373,101,367,468,11832,13921,25753,15869,13147,29016,2391,2224,4615,405,65646.16932,162.089307,0.1742,32.1065,2021,399.4749468,162.089307
Bukedi,Butebo District,26,27,53,10547,4945,15492,14872,4859,19731,8377,6177,14554,9502,8436,17938,26,27,53,10508,4931,15439,14782,4839,19621,9486,8408,17894,8362,6165,14527,67534,25,27,52,10088,4432,14520,14387,4409,18796,9103,8134,17237,7668,5574,13242,275,768,1043,22576,41271,63847,43324,24444,67768,9528,8463,17991,236,150783.683,638.9139111,1.2393,33.83,2021,447.8866589,638.913911
North Central,Buvuma District,1,2,3,2844,1663,4507,5993,3253,9246,1885,1532,3417,3456,3054,6510,1,2,3,2801,1637,4438,5820,3161,8981,3360,2941,6301,1855,1513,3368,23091,1,2,3,2819,1646,4465,5754,3182,8936,3393,2994,6387,1867,1510,3377,226,455,681,9334,13834,23168,14179,9504,23683,3457,3056,6513,296,52164.97857,176.2330357,0.3765,33.2588,2021,442.6533018,176.2330357
Busoga,Buyende District,57,49,106,8446,4311,12757,14990,6982,21972,5733,4484,10217,12751,12098,24849,57,49,106,8445,4314,12759,15233,6981,22214,12749,12099,24848,5733,4484,10217,70144,57,49,106,8445,4311,12756,14990,6981,21971,12751,12090,24841,5733,4484,10217,2784,4775,7559,27915,41976,69891,41977,27924,69901,12808,12147,24955,1379,377457.1956,273.7180534,1.2414,33.1239,2021,185.832992,273.7180534
Lango,Dokolo District,14,10,24,20098,8711,28809,24031,6910,30941,10773,8063,18836,14315,12315,26630,14,9,23,18837,8143,26980,22332,6194,28526,13490,11588,25078,10163,7599,17762,98369,14,8,22,18602,7961,26563,22127,6360,28487,13342,11397,24739,9939,7342,17281,1416,2282,3698,33068,64024,97092,69231,36009,105240,14329,12325,26654,1004,205300.9225,204.4829906,1.9131,33.1717,2021,479.1454359,204.4829905
Tooro,Fort Portal City,7,6,13,969,815,1784,2387,1839,4226,550,460,1010,622,531,1153,8,14,22,879,762,1641,2055,1719,3774,562,488,1050,499,447,946,7433,8,4,12,877,764,1641,2088,1709,3797,557,494,1051,504,439,943,42,138,180,3410,4034,7444,4535,3651,8186,629,537,1166,127,63067.62235,496.5954516,0.6546,30.2801,2021,117.8576221,496.5954516
South Central,Gomba District,3,0,3,5003,4084,9087,7448,5610,13058,2571,2212,4783,2156,2012,4168,3,0,3,4543,3731,8274,6646,4989,11635,1951,1831,3782,2294,1967,4261,27955,3,0,3,4998,4082,9080,7421,5592,13013,2153,120894,123047,2571,2212,4783,141,460,601,132780,17146,149926,17181,13918,31099,2159,2012,4171,1670,37200.85164,22.27595906,0.223,31.6739,2021,751.461291,22.27595907
Acholi,Gulu City,147,149,296,9645,6377,16022,18585,11034,29619,5755,5126,10881,8412,8186,16598,50,52,102,7159,4593,11752,10617,5821,16438,5805,5617,11422,4311,3734,8045,47759,49,51,100,7003,4405,11408,10255,5581,15836,5614,5556,11170,4075,3586,7661,647,1573,2220,19179,26996,46175,42544,30872,73416,8559,8335,16894,222,217612.3906,980.2359936,2.7743,32.2882,2021,219.4682016,980.2359937
Acholi,Gulu District,9,6,15,21288,10150,31438,19811,6445,26256,9564,7217,16781,11003,10114,21117,9,6,15,18755,8959,27714,17022,5824,22846,9880,9059,18939,8508,6474,14982,84496,9,5,14,20648,9888,30536,19061,6310,25371,10687,9764,20451,9304,6990,16294,1028,1737,2765,32957,59709,92666,61675,33932,95607,11012,10120,21132,1721,126652.8222,73.59257535,2.955,32.4467,2021,667.1466023,73.59257536
Bunyoro,Hoima City,1,2,3,2266,1720,3986,5867,3936,9803,1043,909,1952,1941,1653,3594,0,1,1,1921,1426,3347,4482,3001,7483,1660,1406,3066,872,788,1660,15557,0,1,1,2030,1489,3519,4770,3006,7776,1721,1452,3173,898,815,1713,112,231,343,6763,9419,16182,11118,8220,19338,1942,1655,3597,227,128679.6114,566.8705348,1.4274,31.3484,2021,120.8971634,566.8705348
Bunyoro,Hoima District,1,2,3,3911,2239,6150,4951,2509,7460,2137,1568,3705,3153,2849,6002,1,1,2,3845,2205,6050,4854,2396,7250,3098,2795,5893,2109,1542,3651,22846,4,5,9,3857,2183,6040,4808,2381,7189,3093,2773,5866,2067,1528,3595,696,1207,1903,8870,13829,22699,14153,9167,23320,3154,2851,6005,1341,240655.8559,179.459997,1.6343,31.171,2021,94.9322422,179.4599969
Ankole,Ibanda District,7,8,15,19716,14786,34502,35514,21555,57069,8361,7016,15377,7151,6277,13428,1,5,6,17856,13681,31537,31713,18865,50578,6386,5547,11933,7609,6147,13756,107810,1,5,6,17365,13277,30642,30857,18520,49377,6279,5388,11667,7502,6035,13537,305,791,1096,43225,62004,105229,70749,49642,120391,7158,6285,13443,622,290145.2616,466.4714816,0.0966,30.4818,2021,371.5724993,466.4714817
