Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE Â° N),CORDINATES (LONGITUDE Â° E),Year,Incidence_Rate,POPULATION DENSITY
South Central,Kyotera District,12,13,25,23013,20961,43974,24693,16515,41208,13196,11816,25012,10038,9569,19607,12,13,25,23013,20961,43974,24693,16515,41208,10040,9569,19609,13196,11814,25010,129826,12,13,25,23013,20961,43974,24693,16516,41209,10040,38953,48993,13196,11814,25010,346,1097,1443,70952,58874,129826,10050,9582,19632,1723,268229.6087,155.6759192,0.6359,31.5456,2022,484.0106975,155.6759192
Acholi,Lamwo District,118,112,230,52193,41354,93547,35126,12565,47691,23612,21267,44879,23887,23659,47546,117,108,225,50317,39778,90095,33966,12049,46015,23136,22833,45969,22847,20515,43362,225666,117,108,225,50466,39919,90385,34189,12304,46493,23224,60342,83566,22940,20608,43548,984,2237,3221,134936,98957,233893,24005,23771,47776,5588,194365.4908,34.78265762,3.491,32.808,2022,1161.039437,34.78265762
Lango,Lango,583,552,1135,239882,122152,362034,285823,95366,381189,114644,87347,201991,150079,136089,286168,578,546,1124,238544,121474,360018,283099,94396,377495,149027,135308,284335,114113,86917,201030,1224002,580,540,1120,234463,119423,353886,278162,92308,370470,146745,398492,545237,112274,85480,197754,15777,30407,46184,791011,441506,1232517,150662,136641,287303,12856,2440886.937,189.8636385,0,0,2022,501.4578846,189.8636385
Lango,Lira City,35,34,69,8678,5154,13832,15592,6927,22519,4571,3759,8330,7376,7003,14379,33,34,67,8526,5045,13571,15249,6778,22027,7067,6786,13853,4462,3634,8096,57614,26,29,55,7981,4715,12696,14271,6236,20507,6643,20356,26999,4260,3457,7717,293,948,1241,36252,22877,59129,7411,7037,14448,285,237091.5588,831.9002063,2.2596,32.8903,2022,243.0031684,831.9002063
Lango,Lira District,2,5,7,13095,6722,19817,19598,6145,25743,7066,5253,12319,9752,8554,18306,2,5,7,13010,6700,19710,19387,6106,25493,9709,8531,18240,7042,5239,12281,75731,2,5,7,12958,6675,19633,19301,6061,25362,9681,26160,35841,7015,5222,12237,754,1111,1865,49513,26679,76192,9754,8559,18313,1046,233244.5794,222.9871696,2.2316,32.9438,2022,324.6849303,222.9871696
Busoga,Luuka District,29,32,61,24874,12844,37718,39605,14877,54482,16688,11974,28662,25515,20970,46485,28,31,59,24780,12773,37553,39415,14739,54154,25331,20780,46111,16635,11922,28557,166434,28,31,59,24427,12554,36981,38909,14518,53427,24751,67055,91806,16401,11750,28151,2150,5413,7563,106711,60697,167408,25544,21002,46546,650,285390.7602,439.062708,0.7251,33.3037,2022,583.1793569,439.062708
North Central,Luwero District,214,142,356,27548,25506,53054,32972,20267,53239,16291,15528,31819,15974,15719,31693,199,136,335,26589,23819,50408,31108,19751,50859,15069,14715,29784,15772,15080,30852,162238,192,127,319,26191,23397,49588,31850,19292,51142,14880,51713,66593,15482,15606,31088,3636,2655,6291,92999,77162,170161,16188,15861,32049,2216,580465.3395,261.9428428,0.8271,0,2022,279.496447,261.9428427
South Central,Lwengo District,50,31,81,15560,12995,28555,16129,8680,24809,8732,7573,16305,7754,7272,15026,32,23,55,14922,12530,27452,14324,7648,21972,7117,6630,13747,8343,7247,15590,78816,32,23,55,14715,12256,26971,13889,7429,21318,6941,22821,29762,8119,7040,15159,383,1128,1511,48225,36551,84776,7804,7303,15107,988,311636.2703,315.4213262,0.4165,31.3999,2022,252.9102274,315.4213262
South Central,Lyantonde District,21,9,30,7881,6778,14659,9178,5938,15116,4011,3749,7760,5411,2858,8269,19,9,28,7867,6760,14627,9125,5904,15029,3009,2836,5845,4007,3746,7753,43282,18,8,26,7646,6602,14248,8915,5776,14691,2921,12749,15670,3924,3666,7590,170,415,585,26502,19332,45834,5432,2867,8299,887,124028.8605,139.829606,0.2241,31.2168,2022,348.9671664,139.829606
West Nile,Madi-Okollo District,29,22,51,27089,17943,45032,27088,8405,35493,14879,11977,26856,16984,16772,33756,28,22,50,26921,17851,44772,27749,8332,36081,16892,16681,33573,14697,11888,26585,141061,28,22,50,28287,17935,46222,27187,8430,35617,16940,43827,60767,14881,11976,26857,1123,2377,3500,86069,55119,141188,17013,16794,33807,2048,169737.4611,82.87961966,2.8218,31.2168,2022,831.0540236,82.87961968
