Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Lango,Apac District,34,30,64,32019,16600,48619.0,33542,14560,48102,13488,10383,23871,14315,12910.0,27225,29,29,58,31234,16275,47509,31942,14152.0,46094,13985,12739,26724,13231,10153,23384,143769,28,27,55,30732,15950,46682,31334,13913,45247,13699,12491,26190,12978,9950,22928,1269,2532,3801,93398,54483,147881,14349,12940,27289,185322.0,221962.0,1783.0,206508.5175,115.8208175,1.8445,32.4014,2020,696.1892019780735,115.8208174425126
West Nile,Arua City,45,29,74,16452,9493,25945.0,24457,12298,36755,8810,6912,15722,10268,9942.0,20210,30,19,49,14644,8387,23031,20731,10057.0,30788,16855,9158,26013,7918,5982,13900,93781,33,18,51,14114,8134,22248,20483,10173,30656,9766,9907,19673,7640,5743,13383,1571,2761,4332,60032,38674,98706,10313,9971,20284,309052.0,384656.0,404.0,352416.4159,872.3178611,3.0274,30.9071,2020,266.1084891874357,872.3178611386139
West Nile,Arua District,6,3,9,9532,5004,14536.0,8429,3784,12213,4701,3551,8252,4025,3898.0,7923,3,1,4,9509,4983,14492,8148,3663.0,11811,4004,3799,7803,4697,3546,8243,42353,3,1,4,8956,4755,13711,7582,3435,11017,4722,1846334,1851056,4493,3406,7899,319,565,884,26693,16240,42933,4031,3901,7932,133534.0,159722.0,800.0,148681.039,185.8512987,3.0018,30.9876,2020,284.8581115982113,185.85129874999998
Bukedi,Budaka District,5,4,9,3677,2005,5682.0,5864,2219,8083,2938,2103,5041,4113,3859.0,7972,5,3,8,3633,1946,5579,5783,2157.0,7940,4075,3779,7854,2873,2063,4936,26317,5,3,8,3412,1831,5243,5542,2016,7558,3875,3617,7492,2730,1959,4689,157,401,558,16597,10190,26787,4118,3863,7981,207597.0,281537.0,410.0,249235.3939,607.8912045,1.1005,34.0196,2020,105.59094191316622,607.8912046341463
Bugisu,Bududa District,1,3,4,2118,1466,3584.0,5330,3570,8900,836,624,1460,1089,1021.0,2110,1,3,4,2047,1412,3459,5205,3508.0,8713,1067,1007,2074,805,594,1399,15649,1,3,4,2057,1413,3470,5196,3498,8694,1072,1004,2076,809,591,1400,130,319,449,9374,6684,16058,1090,1024,2114,210173.0,26897.0,318.0,61214.32643,192.4978819,1.003,34.3338,2020,255.6427704533349,192.49788185534592
Busoga,Bugiri District,37,29,66,7664,4412,12076.0,15464,7241,22705,5610,4482,10092,9415,8559.0,17974,37,29,66,7659,4397,12056,15385,7195.0,22580,9393,8534,17927,5591,4460,10051,62680,37,29,66,7633,4389,12022,15296,7165,22461,9321,8454,17775,5546,4445,9991,589,1667,2256,38190,24723,62913,9452,8588,18040,382913.0,480345.0,1033.0,438704.419,424.6896603,0.5316,0.0,2020,142.8752419291222,424.68966021297194
Bugisu,Bugisu,76,59,135,58316,37225,95541.0,112298,59442,171740,30538,24511,55049,42805,38343.0,81148,51,46,97,53972,34804,88776,100305,53642.0,153947,39428,34855,74283,28629,23004,51633,368736,57,48,105,53964,34889,88853,100963,54306,155269,39472,34943,74415,28676,23042,51718,3064,6009,9073,244033,159580,403613,42881,38402,81283,1469892.0,1827757.0,2447.0,1675194.521,684.5911407,1.0783,34.1737,2020,220.1153331016655,684.5911405803024
Busoga,Bugweri District,23,13,36,15016,8082,23098.0,24551,10023,34574,11010,8433,19443,14619,12518.0,27137,23,13,36,14750,7969,22719,23947,9877.0,33824,14506,12391,26897,10670,8371,19041,102517,23,13,36,14318,7781,22099,23221,9600,32821,14043,12109,26152,10351,8035,18386,827,1244,2071,65219,39069,104288,14642,12531,27173,164886.0,211511.0,302.0,191457.8987,633.966552,0.6116,33.5952,2020,535.454534370694,633.9665519867549
Ankole,Buhweju District,1,0,1,652,668,1320.0,1052,884,1936,308,251,559,223,221.0,444,1,0,1,649,662,1311,1044,869.0,1913,223,221,444,307,250,557,4226,1,0,1,645,651,1296,1020,856,1876,222,222,444,304,250,554,7,21,28,2236,2024,4260,224,221,445,12072.0,167921.0,751.0,58583.41681,78.0072128,0.3558,30.3897,2020,72.13645482143738,78.00721279627165
North Central,Buikwe District,36,17,53,19721,14068,33789.0,35432,22776,58208,13176,10681,23857,17396,15839.0,33235,30,14,44,17854,12927,30781,29228,20438.0,49666,15833,14447,30280,12341,10131,22472,133243,30,14,44,17138,12400,29538,28042,20107,48149,15191,13878,29069,11792,9706,21498,698,1878,2576,85761,63381,149142,17432,15856,33288,422771.0,520158.0,1270.0,478765.9383,376.9810538,0.2827,0.0,2020,278.30509512251155,376.98105377952754
Teso,Bukedea District,20,22,42,15176,7287,22463.0,21750,7838,29588,7600,5362,12962,10079,8688.0,18767,18,22,40,14965,7083,22048,20985,7445.0,28430,9449,8539,17988,7390,5161,12551,81057,18,22,40,15133,6969,22102,20451,7287,27738,9310,8427,17737,7263,5064,12327,942,3048,3990,54625,29197,83822,10099,8710,18809,203600.0,282864.0,1032.0,248003.4467,240.3134173,1.3557,34.1087,2020,326.83819954345824,240.31341734496124
Bukedi,Bukedi,113,78,191,71366,42067,113433.0,110839,48735,159574,45876,36016,81892,65670,58302.0,123972,109,72,181,69005,40651,109656,105062,46650.0,151712,63116,56003,119119,44541,35106,79647,460315,106,235,341,67953,40076,108029,103131,45797,148928,61990,55136,117126,43866,34619,78485,2520,4560,7080,293864,185198,479062,65783,58380,124163,1881415.0,2372489.0,4504.0,2162302.077,480.0848305,0.0,0.0,2020,212.88191178109847,480.08483059502663
South Central,Bukomansimbi District,4,5,9,4203,3456,7659.0,4857,2896,7753,2907,2688,5595,2981,3001.0,5982,4,5,9,4180,3440,7620,4797,2879.0,7676,2941,2973,5914,2892,2677,5569,26788,4,4,8,4173,3442,7615,4773,2867,7640,2935,2966,5901,2891,2714,5605,102,367,469,14952,12046,26998,2985,3006,5991,151413.0,197568.0,600.0,177621.3751,296.0356251,0.1433,31.6055,2020,150.8151819279548,296.03562516666665
Bugisu,Bukwo District,3,0,3,1299,895,2194.0,3734,1923,5657,497,438,935,766,593.0,1359,0,0,0,550,547,1097,1145,1035.0,2180,255,235,490,289,274,563,4330,0,0,0,526,529,1055,1084,985,2069,235,211,446,263,252,515,27,52,79,6299,3849,10148,769,593,1362,89356.0,114396.0,525.0,103632.5039,197.3952454,1.2819,34.7299,2020,41.782257853947314,197.3952455238095
Bugisu,Bulambuli District,5,2,7,5887,3962,9849.0,10857,5951,16808,3100,2489,5589,3684,3541.0,7225,3,2,5,5241,3526,8767,9540,5299.0,14839,3273,3224,6497,2836,2253,5089,35197,3,2,5,5199,3561,8760,9317,5185,14502,3179,3189,6368,2799,2252,5051,329,700,1029,23533,15945,39478,3689,3543,7232,174513.0,235391.0,695.0,208835.8364,300.4832179,1.4815,34.2866,2020,168.53908125511737,300.4832178417266
Bunyoro,Buliisa District,4,3,7,12271,6924,19195.0,13394,6622,20016,8251,6701,14952,12458,11517.0,23975,4,3,7,12186,6887,19073,13082,6351.0,19433,12355,11338,23693,8184,6655,14839,77045,4,1,5,11616,6699,18315,12802,6476,19278,11682,10782,22464,7839,6420,14259,798,1911,2709,46378,31767,78145,12462,11520,23982,113161.0,167894.0,1367.0,143383.711,104.8893277,1.8992,31.3542,2020,537.3343977685163,104.88932772494515
Tooro,Bundibugyo District,16,27,43,12840,7801,20641.0,24092,12405,36497,8566,6676,15242,10019,8935.0,18954,16,25,41,12599,7696,20295,23560,12274.0,35834,9830,8760,18590,8385,6536,14921,89681,16,24,40,12633,7702,20335,23855,12372,36227,9927,8795,18722,8436,6573,15009,593,1234,1827,55533,35844,91377,10035,8962,18997,224387.0,264778.0,850.0,247815.3567,291.5474784,0.6852,0.0,2020,361.8863705390377,291.54747847058826
Tooro,Bunyangabu District,9,1,10,3582,3016,6598.0,5607,4020,9627,1860,1647,3507,1932,9345.0,11277,10,0,10,3379,2862,6241,5085,3645.0,8730,1801,1644,3445,1782,1558,3340,21766,10,0,10,3227,2706,5933,4920,3519,8439,1736,38571,40307,1703,1504,3207,67,184,251,12990,18029,31019,1941,9346,11287,170247.0,219012.0,466.0,198021.5857,424.939025,0.4871,30.2051,2020,109.91730988850475,424.9390251072961
Bunyoro,Bunyoro,132,95,227,111157,74629,185786.0,264675,79882,344557,64130,51822,115952,85601,79011.0,164612,124,91,215,105126,70639,175765,131093,72832.0,203925,81232,74857,156089,60962,49479,110441,646435,122,83,205,104442,69650,174092,132416,75811,208227,80359,74404,154763,173818,48991,222809,6552,15774,22326,525695,285439,811134,85733,79106,164839,2028545.0,2792732.0,16580.0,2457488.054,148.2200274,0.0,0.0,2020,263.04705691155317,148.22002738238842
Ankole,Bushenyi District,0,2,2,4317,3932,8249.0,5546,4119,9665,1788,1573,3361,1247,1294.0,2541,0,2,2,4216,3822,8038,5008,3657.0,8665,1199,1246,2445,1735,1508,3243,22393,0,2,2,3973,3591,7564,4682,3399,8081,1121,1118,2239,1626,1412,3038,54,190,244,12898,10920,23818,1247,1296,2543,234443.0,283392.0,845.0,262692.3706,310.8785451,0.4875,30.1127,2020,85.24419627739276,310.87854508875745
Bukedi,Busia District,50,23,73,36556,21989,58545.0,57971,26175,84146,22703,18017,40720,33289,29059.0,62348,48,19,67,35621,21470,57091,55306,25389.0,80695,32327,28281,60608,22234,17729,39963,238424,47,171,218,35420,21362,56782,54432,25179,79611,32073,28139,60212,22109,17630,39739,1095,1842,2937,150569,95263,245832,33339,29082,62421,323662.0,412671.0,729.0,374454.5013,513.6550087,0.4045,34.0196,2020,636.7235516524955,513.6550086419753
Busoga,Busoga,977,745,1722,254412,141662,396074.0,452143,216906,669049,173652,130196,303848,269730,234513.0,504243,773,542,1315,247149,136447,383596,434462,206530.0,640992,262041,228756,490797,168018,125590,293608,1810308,729,491,1220,242669,134198,376867,426170,202823,628993,258502,224078,482580,165100,123601,288701,19227,39291,58518,1150914,724022,1874936,270707,235258,505965,3583196.0,4363295.0,9443.0,4032709.81,427.0581182,0.0,0.0,2020,448.9060917576909,427.0581181827809
Bukedi,Butaleja District,9,5,14,5516,3419,8935.0,8739,3742,12481,4155,3254,7409,6033,5279.0,11312,9,5,14,4864,3055,7919,7496,3302.0,10798,5287,4511,9798,3798,2960,6758,35287,9,5,14,4915,3101,8016,7478,3269,10747,5319,4584,9903,3853,2990,6843,192,403,595,24452,15699,40151,6042,5284,11326,244153.0,312771.0,655.0,283270.0852,432.4734125,0.0,0.0,2020,124.57016057691362,432.4734125190839
South Central,Butambala District,2,1,3,7147,6926,14073.0,7498,5323,12821,4101,3985,8086,3586,3463.0,7049,2,1,3,6777,6412,13189,6554,7479.0,14033,3137,3180,6317,3929,3830,7759,41301,2,1,3,6504,6230,12734,6392,4736,11128,3078,3136,6214,3828,3717,7545,92,501,593,22334,19698,42032,3588,3464,7052,10084.0,146516.0,405.0,50232.4276,124.0306854,0.1742,32.1065,2020,822.1979699822431,124.03068543209878
Bukedi,Butebo District,26,30,56,5614,2509,8123.0,7243,2464,9707,4115,3110,7225,4952,4433.0,9385,26,30,56,5562,2485,8047,7107,2435.0,9542,4920,4414,9334,4106,3106,7212,34191,26,28,54,5287,2400,7687,6966,2417,9383,4440,4045,8485,3828,2950,6778,134,276,410,21950,12546,34496,4978,4463,9441,111762.0,171433.0,236.0,144468.885,612.1562926,1.2393,33.83,2020,236.66687813088612,612.1562923728814
North Central,Buvuma District,4,2,6,2909,1886,4795.0,5199,3140,8339,2301,1883,4184,3677,3419.0,7096,4,2,6,2888,1869,4757,5171,3123.0,8294,3633,3387,7020,2273,1875,4148,24225,4,2,6,2886,1875,4761,5267,3042,8309,3617,3364,6981,2277,1863,4140,202,470,672,14090,10330,24420,3681,3421,7102,8989.0,110832.0,296.0,40577.34751,137.0856335,0.3765,33.2588,2020,597.007973328713,137.08563347972972
Busoga,Buyende District,26,19,45,12975,6744,19719.0,20674,9355,30029,10324,7905,18229,21046,19368.0,40414,26,19,45,12973,6741,19714,20671,9330.0,30001,21036,19368,40404,10318,7892,18210,108374,26,19,45,12965,6738,19703,20662,9323,29985,21019,19342,40361,10309,7876,18185,1629,3322,4951,65045,43391,108436,21072,19387,40459,323067.0,403486.0,1379.0,369159.5617,267.700915,1.2414,33.1239,2020,293.5695326458071,267.70091493836117
Lango,Dokolo District,14,6,20,18242,8333,26575.0,21276,6767,28043,9642,7277,16919,11511,10762.0,22273,11,4,15,17682,8211,25893,20644,6587.0,27231,11169,10489,21658,9432,7140,16572,91369,11,3,14,17349,8030,25379,20268,6548,26816,10880,10246,21126,9235,6972,16207,1354,2219,3573,60685,33145,93830,11525,10768,22293,183093.0,215625.0,1004.0,201970.6038,201.16594,1.9131,33.1717,2020,452.3876162219999,201.16594003984065
Tooro,Fort Portal City,8,9,17,904,735,1639.0,2358,2066,4424,554,481,1035,664,558.0,1222,8,9,17,812,659,1471,2076,1814.0,3890,587,479,1066,513,424,937,7381,8,9,17,806,650,1456,2143,1862,4005,587,495,1082,519,422,941,41,219,260,4488,3849,8337,672,567,1239,10224.0,137549.0,127.0,48632.07484,382.9297232,0.6546,30.2801,2020,151.77226191322418,382.92972314960633
South Central,Gomba District,0,1,1,5817,5033,10850.0,7317,5187,12504,3583,3194,6777,2782,2614.0,5396,0,1,1,5437,4691,10128,6793,4800.0,11593,2513,2364,4877,3303,2983,6286,32885,0,1,1,5377,4696,10073,6685,4676,11361,2535,2366,4901,3275,2957,6232,93,471,564,19499,16029,35528,2782,2615,5397,159922.0,19912.0,1670.0,45817.58721,27.43568096,0.223,31.6739,2020,717.7374890841617,27.435680964071857
Acholi,Gulu City,99,108,207,16843,11953,28796.0,27510,15204,42714,9874,8942,18816,12484,11929.0,24413,50,50,100,13796,9436,23232,20427,11011.0,31438,9624,9234,18858,7867,7084,14951,88579,50,50,100,13350,9105,22455,19630,10491,30121,9137,8747,17884,7511,6810,14321,952,1955,2907,66810,48136,114946,12583,12037,24620,185042.0,233271.0,222.0,212630.0181,957.7928744,2.7743,32.2882,2020,416.5874639503688,957.7928743243243
Acholi,Gulu District,13,12,25,30268,15253,45521.0,26128,10033,36161,14354,10927,25281,14971,13530.0,28501,10,7,17,29371,14673,44044,24778,9457.0,34235,14580,13074,27654,14046,10672,24718,130668,9,5,14,28859,14364,43223,24517,9284,33801,14639,13323,27962,13791,10568,24359,1183,2039,3222,85734,49755,135489,14984,13542,28526,108428.0,135373.0,1721.0,123872.7591,71.97719876,2.955,32.4467,2020,1054.856620207469,71.9771987797792
Bunyoro,Hoima City,1,1,2,2689,2098,4787.0,6020,4497,10517,1524,1342,2866,2314,2050.0,4364,1,1,2,2359,1863,4222,5100,3646.0,8746,2081,1811,3892,1363,1199,2562,19424,1,0,1,2624,2026,4650,5781,5981,11762,2271,2003,4274,1494,1311,2805,161,282,443,12548,9988,22536,2315,2051,4366,100099.0,143304.0,227.0,124144.3284,546.8913144,1.4274,31.3484,2020,156.4630478922467,546.8913145374449
Bunyoro,Hoima District,2,1,3,7069,4392,11461.0,7814,3916,11730,4507,3607,8114,5648,5214.0,10862,2,1,3,6892,4296,11188,7508,3655.0,11163,5476,5021,10497,4426,3548,7974,40825,2,1,3,6825,4274,11099,7515,3656,11171,5434,5016,10450,117379,3520,120899,515,1286,1801,25040,17130,42170,5650,5215,10865,205432.0,257544.0,1341.0,235276.2555,175.4483636,1.6343,31.171,2020,173.5194225751353,175.44836353467562
Ankole,Ibanda District,17,17,34,20398,16228,36626.0,34625,22678,57303,9881,8214,18095,8104,6703.0,14807,8,15,23,19707,15557,35264,32750,21223.0,53973,7525,6394,13919,9404,7753,17157,120336,11,9,20,19453,15345,34798,32405,20880,53285,7446,6297,13743,9283,7631,16914,414,773,1187,73025,53840,126865,8121,6720,14841,249625.0,309466.0,622.0,283976.8883,456.5544828,0.0966,30.4818,2020,423.7527945333149,456.5544827974276
Busoga,Iganga District,38,28,66,32022,18354,50376.0,52871,25050,77921,21090,16244,37334,29955,26648.0,56603,35,23,58,31019,17591,48610,51023,23951.0,74974,29103,25811,54914,20304,15463,35767,214323,20,13,33,29506,16789,46295,48011,22468,70479,27773,24634,52407,19408,14824,34232,1979,4322,6301,135976,86324,222300,29993,26676,56669,339311.0,426958.0,633.0,389466.6445,615.2711604,0.7236,33.4832,2020,550.2987303961534,615.2711603475514
Ankole,Isingiro District,71,57,128,34111,27631,61742.0,49805,33824,83629,18921,16470,35391,20879,19005.0,39884,80,55,135,33697,27397,61094,48593,32853.0,81446,20703,18726,39429,18801,16354,35155,217259,59,39,98,31627,25892,57519,46181,30102,76283,19640,17788,37428,17769,15450,33219,421,1695,2116,123787,96987,220774,20950,19062,40012,486360.0,635077.0,2536.0,570793.4366,225.0762763,0.8435,30.8039,2020,380.62631079665084,225.07627626182966
Busoga,Jinja City,340,346,686,12884,8865,21749.0,27314,16313,43627,7954,6561,14515,11954,10767.0,22721,197,204,401,11430,7645,19075,23192,12947.0,36139,10320,10436,20756,7022,5608,12630,89001,164,168,332,10924,7290,18214,22513,12667,35180,9781,8806,18587,6815,5531,12346,496,1452,1948,60446,42852,103298,12294,11113,23407,247074.0,279184.0,179.0,265867.4277,1485.292892,0.5349,33.2139,2020,334.7570658427068,1485.292892178771
Busoga,Jinja District,81,65,146,21401,12114,33515.0,38579,18762,57341,14175,10140,24315,22527,18560.0,41087,72,56,128,20220,11431,31651,35705,17322.0,53027,21447,17568,39015,13473,9665,23138,146959,72,56,128,20072,11373,31445,35471,17225,52696,21722,17443,39165,13391,9603,22994,907,2155,3062,96763,59641,156404,22608,18625,41233,224168.0,280905.0,499.0,256664.1006,514.3569151,0.5349,33.2139,2020,572.5732568616181,514.3569150300601
Karamoja,Kaabong District,24,19,43,11411,8101,19512.0,21115,11821,32936,5983,5119,11102,15451,14652.0,30103,14,12,26,10820,7673,18493,19082,10536.0,29618,14708,14001,28709,5782,4829,10611,87457,14,12,26,10615,7531,18146,18637,10520,29157,14375,13668,28043,5654,4726,10380,275,1410,1685,53984,39712,93696,15475,14671,30146,116646.0,264631.0,4751.0,190691.9549,40.13722478,3.5696,34.242,2020,458.6297311067106,40.13722477373185
Kigezi,Kabale District,20,12,32,462,496,958.0,1632,2363,3995,172,149,321,212,231.0,443,1,3,4,298,373,671,1137,1915.0,3052,120,146,266,100,89,189,4182,1,1,2,285,350,635,1078,1802,2880,116,139,255,96,86,182,6,24,30,2498,3251,5749,232,243,475,230609.0,285588.0,561.0,262176.9302,467.3385565,1.3505,30.0203,2020,15.951060212696014,467.3385565062389
Tooro,Kabarole District,5,6,11,2880,2283,5163.0,5522,3772,9294,1703,1379,3082,1560,1341.0,2901,2,1,3,2773,2239,5012,5067,3489.0,8556,1487,1270,2757,1636,1346,2982,19310,2,1,3,2761,2208,4969,4960,3457,8417,1469,1254,2723,1627,1323,2950,32,135,167,11670,8781,20451,1565,1347,2912,196749.0,230368.0,1184.0,216280.968,182.6697365,0.6833,0.0,2020,89.28201209086507,182.66973648648647
Teso,Kaberamaido District,17,13,30,7809,4730,12539.0,8009,3241,11250,4075,3180,7255,3706,3242.0,6948,17,13,30,7484,4601,12085,7620,3059.0,10679,3580,3113,6693,3954,3106,7060,36547,17,13,30,7403,4556,11959,7568,3028,10596,3560,3099,6659,3961,3098,7059,314,542,856,23616,14406,38022,3723,3255,6978,105152.0,140986.0,689.0,125381.2538,181.9756949,1.6325,0.0,2020,291.48695592323065,181.97569492017416
