Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Lango,Apac District,28,20,48,26929,14242,41171,30238,12484,42722,8750,6660,15410,10332,9202,19534,28,19,47,26541,14101,40642,29355,12341,41696,10204,9077,19281,8659,6596,15255,116921,6596,17,6613,6596,13874,20470,29044,12219,41263,17,8963,8980,8512,6528,15040,1195,2709,3904,76277,42608,118885,7896,9222,17118,185322,221962,1783,1.018204859,217993.4599,122.262176,1.8445,32.4014
West Nile,Arua City,60,53,113,14260,8637,22897,18354,9247,27601,7694,6445,14139,7844,7372,15216,52,45,97,13757,8341,22098,17680,8958,26638,7605,7120,14725,7445,6149,13594,77152,6149,44,6193,6149,8231,14380,17444,8795,26239,44,7146,7190,7373,6117,13490,1163,2928,4091,48212,31754,79966,5223,7425,12648,309052,384656,404,1.022125199,376329.632,931.5089902,3.0274,30.9071
West Nile,Arua District,1,5,6,9781,5607,15388,8340,3063,11403,4276,3055,7331,3595,3146,6741,1,5,6,8695,5042,13737,6681,2736,9417,3083,2779,5862,3600,2613,6213,35235,2613,5,2618,2613,5781,8394,7988,3008,10996,5,3111,3116,4241,3038,7279,433,720,1153,25993,14876,40869,1548,3151,4699,133534,159722,800,1.018069175,156887.1781,196.1089727,3.0018,30.9876
Bukedi,Budaka District,22,17,39,16865,8492,25357,19743,6177,25920,9580,7526,17106,14680,13280,27960,22,17,39,16931,8486,25417,19515,6112,25627,14619,13232,27851,9562,7512,17074,96008,7512,17,7529,7512,8241,15753,19091,5878,24969,17,12885,12902,9310,7339,16649,1429,3250,4679,60890,35492,96382,13057,13297,26354,207597,281537,410,1.030935371,273088.8936,666.0704723,1.1005,34.0196
Bugisu,Bududa District,20,16,36,4109,3034,7143,6471,3777,10248,1772,1355,3127,1704,1598,3302,20,16,36,4099,3023,7122,6453,3760,10213,1703,1597,3300,1763,1352,3115,23786,1352,16,1368,1352,3001,4353,6440,3706,10146,16,1594,1610,1755,1351,3106,366,906,1272,14076,9780,23856,1018,1614,2632,210173,26897,318,0.814165494,33036.28096,103.887676,1.003,34.3338
Busoga,Bugiri District,27,16,43,18601,10440,29041,27184,10799,37983,13953,11111,25064,18205,16704,34909,27,16,43,18573,10421,28994,27127,10782,37909,18067,16686,34753,13927,11072,24999,126698,11072,16,11088,11072,10393,21465,27040,10765,37805,16,16779,16795,13866,11044,24910,1543,2853,4396,77970,49070,127040,7462,16720,24182,382913,480345,1033,1.022928589,469578.2339,454.5771867,0.5316, 33.7518
Bugisu,Bugisu,213,203,416,54466,37574,92040,95273,53392,148665,27710,22862,50572,37506,33062,70568,169,147,316,53258,36842,90100,91702,51755,143457,36554,32258,68812,27053,22335,49388,352073,22335,147,22482,22335,35748,58083,88940,50452,139392,147,31301,31448,26042,21830,47872,4385,8819,13204,215168,147093,362261,37463,33265,70728,1469892,1827757,2447,1.022029197,1788360.846,730.8381062,1.0783,34.1737
Busoga,Bugweri District,4,11,15,14603,8967,23570,21977,9416,31393,8913,7210,16123,12381,11268,23649,4,11,15,14573,8963,23536,21905,9350,31255,12349,11246,23595,8907,7197,16104,94505,7197,11,7208,7197,8790,15987,21398,9144,30542,11,11059,11070,8777,7087,15864,1174,2340,3514,57878,36872,94750,10413,11279,21692,164886,211511,302,1.025214919,206308.9368,683.1421748,0.6116,33.5952
Ankole,Buhweju District,1,0,1,469,417,886,929,638,1567,218,139,357,237,179,416,1,0,1,448,408,856,909,625,1534,233,175,408,209,136,345,3144,136,0,136,136,407,543,907,623,1530,0,175,175,208,133,341,10,49,59,1854,1373,3227,183,179,362,12072,167921,751,1.301165617,129054.2863,171.8432574,0.3558,30.3897
North Central,Buikwe District,45,29,74,17694,14199,31893,25327,18444,43771,11219,9454,20673,12187,10953,23140,43,27,70,16559,13368,29927,22924,17217,40141,11319,10135,21454,10636,8970,19606,111198,8970,26,8996,8970,13160,22130,22209,16799,39008,26,9675,9701,10241,8677,18918,921,2402,3323,66472,53079,119551,10296,10982,21278,422771,520158,1270,1.020946558,509486.0215,401.1700957,0.2827, 33.0339
Teso,Bukedea District,32,34,66,22624,11285,33909,29580,11132,40712,10480,8098,18578,11996,10382,22378,28,33,61,21855,10918,32773,28638,10354,38992,11739,10151,21890,10187,7938,18125,111841,7938,33,7971,7938,10782,18720,28221,10271,38492,33,9762,9795,10008,7753,17761,2077,5647,7724,74712,40931,115643,14677,10416,25093,203600,282864,1032,1.033427444,273714.4264,265.2271574,1.3557,34.1087
Bukedi,Bukedi,350,273,623,154288,88704,242992,200296,71919,272215,93313,76026,169339,134934,123817,258751,326,268,594,148978,85353,234331,193441,69064,262505,131143,119092,250235,89995,73515,163510,911175,73515,260,73775,73515,85409,158924,192070,68562,260632,260,117855,118115,90906,73658,164564,9733,21041,30774,583181,360739,943920,108382,124090,232472,1881415,2372489,4504,1.023462561,2318100.427,514.6759385,,
South Central,Bukomansimbi District,82,4,86,6322,5622,11944,6530,3537,10067,3931,3703,7634,3695,3644,7339,7,4,11,6241,5570,11811,6467,3505,9972,3652,3611,7263,3871,3625,7496,36553,3625,4,3629,3625,5350,8975,6324,3377,9701,4,3517,3521,3824,3564,7388,211,639,850,20560,16510,37070,2139,3648,5787,151413,197568,600,1.026964294,192380.5932,320.634322,0.1433,31.6055
Bugisu,Bukwo District,0,0,0,1529,1399,2928,2634,2268,4902,679,678,1357,639,611,1250,0,0,0,1433,1338,2771,2523,2188,4711,605,575,1180,645,635,1280,9942,635,0,635,635,1283,1918,2456,2126,4582,0,541,541,627,623,1250,26,63,89,5481,4956,10437,651,611,1262,89356,114396,525,1.025011439,111604.6082,212.5802061,1.2819,34.7299
Bugisu,Bulambuli District,7,6,13,6289,4027,10316,9434,4835,14269,2639,2109,4748,3774,3213,6987,7,6,13,6223,4001,10224,9347,4784,14131,3746,3193,6939,2628,2104,4732,36039,2104,6,2110,2104,3918,6022,9105,4751,13856,6,3165,3171,2582,2067,4649,490,996,1486,22143,14190,36333,4525,3219,7744,174513,235391,695,1.030377121,228451.3069,328.7069165,1.4815,34.2866
