Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Busoga,Jinja District,24,18,42,14149,8822,22971,25347,12119,37466,9202,7227,16429,12636,10268,22904,9,6,15,13544,8459,22003,24058,11740,35798,12082,9918,22000,8863,6989,15852,95668,6989,6,6995,6989,7960,14949,22817,11300,34117,6,9226,9232,8310,6570,14880,753,1680,2433,61358,38454,99812,12743,10286,23029,224168,280905,499,1.022818525,274638.1622,550.3770786,0.5349,33.2139
Karamoja,Kaabong District,30,40,70,5591,3956,9547,11205,5591,16796,2738,2383,5121,8892,8014,16906,30,39,69,5572,3942,9514,11111,5517,16628,8876,8086,16962,2733,2381,5114,48287,2381,39,2420,2381,3929,6310,11085,5507,16592,39,8075,8114,2727,2376,5103,183,910,1093,28456,19984,48440,6034,8054,14088,116646,264631,4751,1.085368184,243816.8023,51.31904912,3.5696,34.242
Kigezi,Kabale District,2,3,5,605,607,1212,1785,2299,4084,244,209,453,256,231,487,2,3,5,548,558,1106,1594,2190,3784,226,201,427,209,179,388,5710,179,3,182,179,553,732,1549,2123,3672,3,197,200,207,175,382,4,30,34,2892,3349,6241,176,234,410,230609,285588,561,1.021612905,279546.1947,498.2998123,1.3505,30.0203
Tooro,Kabarole District,0,1,1,4967,4480,9447,9549,6911,16460,2796,2355,5151,2776,2506,5282,0,1,1,4701,4286,8987,9006,6500,15506,2609,2373,4982,2675,2242,4917,34393,2242,1,2243,2242,4145,6387,8730,6329,15059,1,2234,2235,2579,2150,4729,156,501,657,20088,16253,36341,728,2507,3235,196749,230368,1184,1.015900003,226762.4758,191.5223614,0.6833, 30.2974
Teso,Kaberamaido District,19,20,39,21896,12754,34650,19767,7537,27304,9139,7146,16285,9164,8186,17350,19,21,40,20717,12021,32738,18884,7155,26039,8847,7876,16723,8747,6866,15613,91153,6866,20,6886,6866,12125,18991,19292,7092,26384,20,7914,7934,8801,6876,15677,811,1623,2434,59985,35643,95628,7837,8206,16043,105152,140986,689,1.02975959,136911.5679,198.7105484,1.6325, 33.1239
Bunyoro,Kagadi District,39,37,76,9228,5618,14846,12449,6363,18812,4049,3332,7381,4859,4491,9350,35,34,69,8763,5321,14084,11560,5898,17458,4385,4084,8469,3777,3056,6833,46913,3056,36,3092,3056,5316,8372,11579,5962,17541,36,4245,4281,3726,3112,6838,737,1829,2566,30624,19841,50465,4145,4528,8673,351033,471111,1420,1.029858434,457452.1939,322.1494324,0.95,30.8
Bunyoro,Kakumiro District,36,28,64,10936,7417,18353,13090,6285,19375,5072,4158,9230,6061,5205,11266,33,27,60,10717,7265,17982,12780,6070,18850,5972,5097,11069,5004,4079,9083,57044,4079,28,4107,4079,7166,11245,12561,6066,18627,28,5024,5052,4937,4005,8942,723,2473,3196,35195,23093,58288,5680,5233,10913,293108,428176,1701,1.038626657,412252.0803,242.3586598,1.0028,31.3084
Teso,Kalaki District,38,37,75,15051,8008,23059,15421,5097,20518,6790,5458,12248,7265,6942,14207,38,37,75,14991,8008,22999,15421,5134,20555,7265,6942,14207,6790,5448,12238,70074,5448,37,5485,5448,8008,13456,15421,5133,20554,37,6912,6949,6790,5448,12238,492,1015,1507,44565,25542,70107,6805,6979,13784,109874,149736,658,1.031438004,145172.0796,220.6262608,,
South Central,Kalangala District,3,7,10,924,878,1802,2387,2481,4868,590,593,1183,809,795,1604,3,7,10,921,878,1799,2369,2444,4813,805,790,1595,590,598,1188,9405,598,7,605,598,856,1454,2334,2383,4717,7,777,784,581,592,1173,31,247,278,4713,4754,9467,529,802,1331,54293,74411,452,1.03202289,72102.0829,159.5178825,0.6351,32.5373
Busoga,Kaliro District,114,77,191,13418,7438,20856,27528,13172,40700,8465,6712,15177,18274,16272,34546,114,77,191,13405,7438,20843,27401,13172,40573,18264,16272,34536,8465,6704,15169,111312,6704,61,6765,6704,7340,14044,26699,12828,39527,61,15690,15751,8301,6593,14894,3614,7166,10780,67799,43671,111470,21405,16349,37754,286397,236199,779,0.980914059,240794.7953,309.1075678,0.8927,33.5028
South Central,Kalungu District,11,6,17,6971,6031,13002,6335,3854,10189,3590,3601,7191,3340,3477,6817,11,6,17,6934,5971,12905,6259,3748,10007,3295,3434,6729,3555,3559,7114,36772,3559,6,3565,3559,5893,9452,6216,3768,9984,6,3450,3456,3533,3533,7066,251,657,908,20247,16969,37216,2110,3483,5593,174368,221569,790,1.024245869,216324.0357,273.8278933,0.0953,31.7651
Kampala,Kampala,1298,1153,2451,35795,30752,66547,86049,77926,163975,26559,25420,51979,28191,27953,56144,477,442,919,22816,19789,42605,49870,45378,95248,18070,16351,34421,15780,14869,30649,203842,14869,392,15261,14869,19492,34361,48916,46285,95201,392,15761,16153,15291,14272,29563,924,4199,5123,177892,163204,341096,25368,29106,54474,1507080,1797722,195,1.017791039,1766297.729,9057.937072,0.3152,32.5816
Kampala,Kampala District,1298,1153,2451,35795,30752,66547,86049,77926,163975,26559,25420,51979,28191,27953,56144,477,442,919,22816,19789,42605,49870,45378,95248,18070,16351,34421,15780,14869,30649,203842,14869,392,15261,14869,19492,34361,48916,46285,95201,392,15761,16153,15291,14272,29563,924,4199,5123,177892,163204,341096,25368,29106,54474,1507080,1797722,195,1.017791039,1766297.729,9057.937072,0.3152,32.5816
Busoga,Kamuli District,52,29,81,38353,23125,61478,64808,32288,97096,23982,18503,42485,34056,28865,62921,48,29,77,38179,23031,61210,64485,32138,96623,33705,28725,62430,23911,18422,42333,262673,18422,29,18451,18422,22353,40775,62868,31005,93873,29,27761,27790,23071,17743,40814,3536,7710,11246,161251,102810,264061,34527,28894,63421,486319,540252,1515,1.01057259,534599.8945,352.8712175,0.9187,33.1239
Tooro,Kamwenge District,41,24,65,27870,17712,45582,30598,15047,45645,12584,10256,22840,16029,15149,31178,33,24,57,25517,16816,42333,28759,14095,42854,14891,14249,29140,11949,12167,24116,138500,12167,23,12190,12167,17396,29563,30250,14605,44855,23,15044,15067,12370,10097,22467,906,2809,3715,87122,58188,145310,10558,15173,25731,270668,337167,1695,1.022211623,329840.7027,194.5962847,0.2903,30.574
Kigezi,Kanungu District,35,12,47,11215,9274,20489,13471,9593,23064,4751,4069,8820,4555,3931,8486,35,12,47,11007,9121,20128,13128,9372,22500,4469,3843,8312,4676,4005,8681,59668,4005,12,4017,4005,8819,12824,12770,9230,22000,12,3679,3691,4542,3915,8457,217,493,710,34027,26879,60906,2164,3943,6107,252144,310062,1275,1.020892447,303716.6168,238.2091112,0.8195, 29.7426
Bugisu,Kapchorwa District,2,1,3,1115,993,2108,2009,1502,3511,553,457,1010,468,431,899,2,1,3,1100,976,2076,1973,1469,3442,458,422,880,542,448,990,7391,448,1,449,448,975,1423,1972,1459,3431,1,422,423,542,448,990,38,75,113,4147,3384,7531,443,432,875,105186,133621,212,1.024216287,130461.702,615.3853866,1.3514,34.3754
Teso,Kapelebyong District,16,17,33,14724,7067,21791,16201,5176,21377,10245,4277,14522,4573,4054,8627,16,17,33,14683,7050,21733,16167,5168,21335,4554,4047,8601,5630,4274,9904,61606,4274,17,4291,4274,7015,11289,16142,5132,21274,17,4000,4017,5588,4262,9850,698,1582,2280,45759,20591,66350,4441,4071,8512,87580,143536,1203,1.050644012,136617.1589,113.5637231,2.211,33.7518
Karamoja,Karamoja,207,211,418,59121,37301,96422,87324,43472,130796,35447,30499,65946,89086,82046,171132,187,184,371,58446,36989,95435,85390,42539,127929,88044,80919,168963,35078,28854,63932,456630,28854,183,29037,28854,36603,65457,84668,42202,126870,183,79868,80051,34741,28578,63319,2198,6787,8985,271185,193529,464714,77446,82257,159703,965010,1496117,27407,1.044824564,1431931.304,52.2469188,2.8309,34.1532
Karamoja,Karenga District,0,0,0,4473,2704,7177,5233,1990,7223,1640,1295,2935,3700,3403,7103,0,0,0,4455,2698,7153,5147,1948,7095,3629,3290,6919,1635,1286,2921,24088,1286,0,1286,1286,2671,3957,5117,1928,7045,0,3092,3092,1625,1267,2892,168,536,704,15046,9392,24438,2576,3403,5979,51233,100375,25702,1.069565971,93846.47859,3.651329803,3.5691,33.6931
Tooro,Kasese District,41,20,61,31228,26997,58225,42996,28745,71741,13951,11650,25601,12764,12387,25151,28,18,46,30262,26221,56483,41298,27627,68925,12054,11688,23742,12700,11204,23904,173100,11204,18,11222,11204,25639,36843,41163,27380,68543,18,11437,11455,12459,10937,23396,582,1387,1969,100980,79799,180779,4950,12407,17357,694987,853831,2795,1.020797326,836435.3807,299.2613169,0.1699, 30.0781
North Central,Kassanda District,29,23,52,8060,6116,14176,11962,7109,19071,4779,4323,9102,5898,5258,11156,29,22,51,7825,6095,13920,11802,7009,18811,5856,5251,11107,4747,4279,9026,52915,4279,21,4300,4279,5908,10187,11322,6882,18204,21,5128,5149,4653,4186,8839,533,1459,1992,30728,22829,53557,4639,5281,9920,271544,314008,1819,1.014635493,309478.6278,170.1366838,0.5761,31.7195
Teso,Katakwi District,6,2,8,26263,16385,42648,24717,12449,37166,11640,9223,20863,9899,9270,19169,5,2,7,26243,16341,42584,24569,12398,36967,9768,9145,18913,11607,9208,20815,119286,9208,2,9210,9208,15907,25115,23990,12244,36234,2,8968,8970,11336,9024,20360,1590,4132,5722,72525,47329,119854,7961,9272,17233,166231,234332,2306,1.03493234,226422.5312,98.18843502,1.9142,33.9583
North Central,Kayunga District,86,51,137,14808,10370,25178,19077,10156,29233,10076,8514,18590,13640,13213,26853,125,49,174,14665,10263,24928,18858,10038,28896,13547,12999,26546,9890,8435,18325,98869,8435,49,8484,8435,10113,18548,18490,9911,28401,49,12751,12800,9745,8346,18091,1342,2660,4002,57687,42304,99991,16167,13264,29431,368062,439175,1596,1.017821599,431485.2429,270.3541622,0.7014,32.9029
Ankole,Kazo District,44,30,74,15598,12255,27853,16621,9777,26398,6934,5900,12834,4916,4332,9248,39,24,63,14093,12054,26147,15796,9461,25257,4788,4197,8985,6829,5783,12612,73064,5783,23,5806,5783,11704,17487,15350,9116,24466,23,4038,4061,6619,5577,12196,252,954,1206,44113,32294,76407,3405,4362,7767,177054,208898,1558,1.016676661,205471.4227,131.8815294,0.3576,32.5571
Bunyoro,Kibaale District,56,68,124,4012,2798,6810,6416,3640,10056,2148,1770,3918,3427,3410,6837,42,55,97,3781,2591,6372,5402,2997,8399,3064,3034,6098,1950,1573,3523,24489,1573,54,1627,1573,2607,4180,5395,3150,8545,54,3008,3062,1940,1584,3524,460,1192,1652,16059,11686,27745,2952,3478,6430,140947,237649,1153,1.053629727,225552.6717,195.6224386,0.8088,31.0335
North Central,Kiboga District,8,6,14,10153,9060,19213,13609,9353,22962,5614,5049,10663,5666,5623,11289,8,6,14,10114,9015,19129,13845,9275,23120,5631,5576,11207,5499,5034,10533,64003,5034,6,5040,5034,8892,13926,13153,9298,22451,6,5496,5502,5408,4962,10370,216,561,777,35050,29091,64141,3742,5629,9371,148218,183255,1586,1.02144618,179407.3968,113.1194179,0.8658,31.9473
Bukedi,Kibuku District,34,22,56,32560,16256,48816,38771,9774,48545,22128,18046,40174,38041,35556,73597,34,22,56,32546,16226,48772,38765,9760,48525,38038,35508,73546,22087,18025,40112,211011,18025,22,18047,18025,16246,34271,38759,9760,48519,22,35261,35283,22123,18044,40167,2253,5020,7273,131534,79654,211188,48516,35578,84094,202033,249441,484,1.021302871,244238.0289,504.6240266,1.0453,33.7993
Kigezi,Kigezi,44,18,62,23431,21217,44648,31995,26063,58058,9749,8679,18428,9473,8418,17891,41,18,59,22985,20923,43908,31111,25557,56668,9271,8210,17481,9552,8532,18084,136200,8532,18,8550,8532,20490,29022,30472,25165,55637,18,7995,8013,9382,8382,17764,411,1142,1553,74692,64395,139087,4698,8436,13134,1376774,1787231,4993,1.026435829,1741200.91,348.7284018,0.2667,31.6167
Bunyoro,Kikuube District,35,30,65,24282,15489,39771,29019,14026,43045,13748,12117,25865,25477,22804,48281,34,30,64,23855,15092,38947,28563,13731,42294,23507,22592,46099,14654,11968,26622,154026,11968,29,11997,11968,14665,26633,27793,13534,41327,29,22021,22050,13143,11500,24643,1105,3059,4164,92561,64466,157027,16391,22834,39225,267455,379547,2098,1.035622516,366491.6454,174.686199,1.2375,30.9876
Ankole,Kiruhura District,0,0,0,7461,7458,14919,7897,6490,14387,3424,3315,6739,2773,2800,5573,0,0,0,7411,7431,14842,7777,6384,14161,2740,2767,5507,3409,3308,6717,41227,3308,0,3308,3308,7429,10737,7770,6358,14128,0,2767,2767,3408,3308,6716,191,647,838,21555,20063,41618,2710,2800,5510,151023,203502,3003,1.03027357,197522.295,65.77499,0.322,30.8039
Bunyoro,Kiryandongo District,15,12,27,19822,15068,34890,15740,7383,23123,9879,8034,17913,11924,11276,23200,18,11,29,29253,14262,43515,14631,6798,21429,11293,10893,22186,9345,7801,17146,104305,7801,13,7814,7801,14889,22690,15365,7097,22462,13,11212,11225,9698,7849,17547,1634,3184,4818,57380,41773,99153,11679,11288,22967,266197,364872,3582,1.032033365,353546.7092,98.70092383,2.018,32.0837
Kigezi,Kisoro District,2,0,2,2066,2205,4271,3650,3423,7073,953,920,1873,1126,1029,2155,1,0,1,1964,2168,4132,3448,3338,6786,1100,996,2096,938,901,1839,14854,901,0,901,901,2146,3047,3393,3310,6703,0,981,981,926,896,1822,7,67,74,7797,7577,15374,1133,1029,2162,281705,433662,690,1.044084579,415351.4081,601.9585624,1.1539,29.6499
Tooro,Kitagwenda District,8,6,14,6715,5435,12150,9627,5925,15552,3135,2722,5857,3206,2707,5913,8,6,14,6715,5435,12150,9609,5933,15542,3206,2804,6010,3135,2721,5856,39572,2721,6,2727,2721,5362,8083,9179,5695,14874,6,2663,2669,3076,2691,5767,324,753,1077,22691,16795,39486,1626,2713,4339,143786,184947,677,1.025493871,180349.2008,266.3946836,,
Acholi,Kitgum District,36,17,53,37140,22754,59894,35639,12699,48338,15711,12728,28439,20430,19422,39852,33,15,48,37073,22730,59803,35455,12470,47925,20358,19361,39719,15688,12706,28394,175889,12706,13,12719,12706,22457,35163,34975,12325,47300,13,19178,19191,15506,12562,28068,1362,2638,4000,108956,67620,176576,18789,19439,38228,204048,239655,4391,1.016214565,235831.1013,53.7078345,3.3397,33.1689
West Nile,Koboko District,22,15,37,22614,11073,33687,22078,7418,29496,11116,8787,19903,13907,13175,27082,20,11,31,21523,11078,32601,22044,7383,29427,13900,13161,27061,11114,8782,19896,109016,8782,11,8793,8782,10963,19745,21895,7330,29225,11,13063,13074,11039,8720,19759,1331,2696,4027,69737,40468,110205,6719,13190,19909,206495,271781,739,1.027852876,264416.2472,357.8027702,3.5237,31.0335
Lango,Kole District,8,13,21,16692,7598,24290,17127,5584,22711,6570,4516,11086,8024,7011,15035,8,13,21,16690,7598,24288,17125,5583,22708,8021,7007,15028,6479,4494,10973,73018,4494,13,4507,4494,7525,12019,16966,5525,22491,13,6932,6945,6407,4452,10859,2695,5029,7724,48421,24722,73143,6398,7024,13422,239327,294301,1073,1.020892478,288278.1549,268.6655684,2.3031, 32.7633
Karamoja,Kotido District,58,57,115,10564,7079,17643,19652,10400,30052,8166,8229,16395,22991,21369,44360,58,55,113,10498,7006,17504,19408,10202,29610,22790,21047,43837,8103,6817,14920,105984,6817,55,6872,6817,6984,13801,19336,10176,29512,55,20960,21015,8037,6778,14815,240,1158,1398,61431,47134,108565,15853,21426,37279,181050,219734,3610,1.019553156,215519.9057,59.7008049,3.0352, 34.0641
Teso,Kumi District,40,44,84,32146,20378,52524,40544,17890,58434,13494,11022,24516,14721,14383,29104,37,39,76,32840,20173,53013,39554,17218,56772,14619,14292,28911,13434,10991,24425,163197,10991,39,11030,10991,20134,31125,39371,17121,56492,39,14254,14293,13395,10956,24351,1670,3175,4845,100945,63717,164662,12791,14427,27218,239268,286992,1005,1.018353399,281819.6516,280.4175638,1.4877,33.9304
Lango,Kwania District,4,7,11,13261,6358,19619,16694,6575,23269,5068,3907,8975,7416,6482,13898,4,7,11,13257,6352,19609,16648,6551,23199,7409,6476,13885,5063,3906,8969,65673,3906,7,3913,3906,6068,9974,16051,6311,22362,7,6243,6250,4843,3744,8587,1031,1859,2890,42443,23329,65772,5699,6489,12188,183304,216125,1223,1.016607493,212594.341,173.8302052,1.9033,32.7633
Bugisu,Kween District,0,0,0,2108,1969,4077,5328,3871,9199,893,804,1697,875,774,1649,0,0,0,2034,1938,3972,5004,3812,8816,820,725,1545,844,786,1630,15963,786,0,786,786,1851,2637,4753,3669,8422,0,671,671,771,725,1496,50,119,169,9204,7418,16622,743,774,1517,93667,129277,851,1.032745867,125177.9399,147.0951115,1.4126,34.5528
North Central,Kyankwanzi District,16,8,24,6382,4618,11000,9189,4957,14146,3608,2901,6509,4741,4283,9024,11,4,15,5936,4372,10308,8232,4514,12746,4427,3983,8410,3416,2731,6147,37626,2731,4,2735,2731,4173,6904,7825,4227,12052,4,3810,3814,3291,2593,5884,590,1591,2181,23936,16767,40703,3979,4291,8270,214693,278432,2455,1.026337332,271287.0236,110.5038793,1.2061,31.8164
Tooro,Kyegegwa District,1086,867,1953,21742,16394,38136,30951,17941,48892,14908,12082,26990,15711,14324,30035,967,781,1748,17218,13339,30557,23964,14689,38653,12731,11495,24226,11968,9867,21835,117019,9867,834,10701,9867,15576,25443,27915,16317,44232,834,13716,14550,13926,11324,25250,915,2937,3852,84398,61608,146006,11637,15191,26828,281637,501120,1882,1.059315197,473060.3332,251.3604321,0.4818,31.055
Tooro,Kyenjojo District,226,153,379,15533,11880,27413,22678,15001,37679,7734,6489,14223,8585,8019,16604,154,67,221,14411,11048,25459,19077,12471,31548,7912,7331,15243,7176,5934,13110,85581,5934,67,6001,5934,10940,16874,18678,12535,31213,67,7229,7296,7173,5899,13072,542,1372,1914,54756,41542,96298,7698,8172,15870,422204,543998,2352,1.025669629,530383.2584,225.5030861,0.6093,30.6401
South Central,Kyotera District,25,13,38,14651,12890,27541,17265,11116,28381,7820,7118,14938,6582,6013,12595,17,14,31,14580,12830,27410,16451,10980,27431,6531,5980,12511,7787,7097,14884,82267,7097,14,7111,7097,12812,19909,16312,10915,27227,14,5962,5976,7751,7058,14809,349,1275,1624,46343,37150,83493,3530,6026,9556,239563,275917,1723,1.014228644,272046.1523,157.8909763,0.6359,31.5456
Acholi,Lamwo District,50,39,89,52848,42246,95094,32350,11119,43469,21740,20173,41913,21861,21814,43675,46,34,80,44066,33670,77736,27312,9488,36800,19069,18986,38055,18293,16894,35187,187858,16894,36,16930,16894,51674,68568,31796,10902,42698,36,21466,21502,21470,19963,41433,1006,2190,3196,128849,95391,224240,18783,21853,40636,134371,213156,5588,1.047223071,203544.0261,36.42520152,3.491,32.808
Lango,Lango,383,338,721,193839,97245,291084,227475,79594,307069,77920,59037,136957,101407,91599,193006,367,321,688,192289,96385,288674,225243,78866,304109,100466,90582,191048,77137,58458,135595,920114,58458,311,58769,58458,95023,153481,221751,77709,299460,311,89346,89657,75975,57632,133607,15164,29984,45148,601024,327813,928837,86459,91937,178396,2061694,2546118,12856,1.021328455,2492947.285,193.9131367,,
Lango,Lira City,80,88,168,8910,5593,14503,15848,7745,23593,4266,3885,8151,6331,6347,12678,67,79,146,8578,5284,13862,15373,7424,22797,6005,6018,12023,3969,3606,7575,56403,3606,72,3678,3606,5197,8803,14997,7263,22260,72,5890,5962,3874,3517,7391,348,1157,1505,35435,23658,59093,6218,6435,12653,207482,245132,285,1.016815033,241078.2611,845.8886356,2.2596,32.8903
Lango,Lira District,10,9,19,14217,6975,21192,20683,6298,26981,6293,4576,10869,8736,7407,16143,10,9,19,14198,6965,21163,20639,6271,26910,8696,7360,16056,6265,4564,10829,74977,4564,9,4573,4564,6937,11501,20509,6244,26753,9,7309,7318,6252,4551,10803,592,1214,1806,49939,25265,75204,7413,7416,14829,200561,242216,1046,1.01905033,237687.9657,227.2351489,2.2316,32.9438
Busoga,Luuka District,18,14,32,28573,14764,43337,42913,15061,57974,16766,12039,28805,23895,19962,43857,15,11,26,28505,14704,43209,42793,14965,57758,23824,19876,43700,16743,12020,28763,173456,12020,11,12031,12020,14608,26628,42763,14822,57585,11,19661,19672,16584,11891,28475,2887,6783,9670,112165,61840,174005,22377,19976,42353,238020,298639,650,1.02294741,291939.7391,449.1380601,0.7251,33.3037
North Central,Luwero District,96,78,174,26945,23808,50753,34620,20010,54630,14504,13661,28165,13839,13610,27449,71,47,118,26058,23206,49264,29202,18811,48013,13207,12749,25956,14131,13269,27400,150751,13269,39,13308,13269,22752,36021,28583,18409,46992,39,12545,12584,14157,13077,27234,998,2879,3877,90004,71167,161171,14232,13688,27920,456958,616242,2216,1.030356466,598086.216,269.8945018,0.8271, 32.6277
South Central,Lwengo District,24,26,50,10422,8554,18976,11754,6292,18046,5297,4685,9982,5052,4730,9782,22,26,48,10292,8492,18784,11544,6069,17613,4952,4643,9595,5249,4647,9896,55936,4647,26,4673,4647,8133,12780,10992,5823,16815,26,4478,4504,5028,4422,9450,317,1010,1327,32549,24287,56836,2573,4756,7329,262604,325263,988,1.021629283,318376.7394,322.2436634,0.4165,31.3999
South Central,Lyantonde District,4,3,7,5341,4611,9952,5847,3688,9535,2802,2484,5286,1875,1877,3752,4,3,7,5329,4609,9938,5833,3665,9498,1871,1872,3743,2796,2480,5276,28462,2480,3,2483,2480,4344,6824,5602,3493,9095,3,1761,1764,2628,2329,4957,109,309,418,15869,12663,28532,1122,1880,3002,93753,133017,887,1.035600371,128444.334,144.8075919,0.2241,31.2168
West Nile,Madi-Okollo District,72,51,123,32213,22693,54906,27211,9394,36605,16855,14225,31080,17485,17444,34929,72,51,123,31416,21730,53146,26879,9269,36148,17112,17077,34189,17580,13776,31356,154962,13776,50,13826,13776,21795,35571,26342,9132,35474,50,16813,16863,16377,13828,30205,1171,2292,3463,93836,63807,157643,4042,17495,21537,140188,178051,2048,1.024196666,173844.5417,84.88503013,2.8218,31.2168
Bugisu,Manafwa District,7,7,14,5204,4070,9274,8648,5481,14129,3936,3300,7236,5911,5418,11329,7,7,14,5073,3965,9038,8238,5256,13494,5693,5262,10955,3767,3168,6935,40436,3168,7,3175,3168,3831,6999,7955,5149,13104,7,5143,5150,3580,3045,6625,567,925,1492,23706,18276,41982,4932,5425,10357,149544,186917,237,1.022558071,182793.5306,771.2807197,,
West Nile,Maracha District,2,4,6,27577,16210,43787,23836,8258,32094,14749,10368,25117,11648,10569,22217,2,4,6,27560,16205,43765,23793,8238,32031,11644,10553,22197,14747,10363,25110,123109,10363,3,10366,10363,15319,25682,22227,8253,30480,3,9875,9878,14103,9797,23900,1880,4149,6029,77812,45409,123221,3389,10573,13962,186134,234712,440,1.023460199,229331.8295,521.2087035,3.2873,30.9403
South Central,Masaka City,19,5,24,3319,3081,6400,5167,3867,9034,1864,1776,3640,1852,1937,3789,18,6,24,3265,3024,6289,4922,3712,8634,1828,1905,3733,1849,1760,3609,22289,1760,5,1765,1760,3036,4796,5004,3744,8748,5,1915,1920,1845,1751,3596,175,532,707,12221,10666,22887,1140,1942,3082,211591,294166,340,1.033497733,284631.4903,837.151442,0.3427,31.7369
South Central,Masaka District,12,8,20,2470,2461,4931,3144,2134,5278,1399,1242,2641,1034,1018,2052,12,8,20,2470,2456,4926,3132,2086,5218,1039,1017,2056,1391,1241,2632,14852,1241,8,1249,1241,2456,3697,3132,2088,5220,8,1015,1023,1391,1241,2632,84,241,325,8059,6863,14922,581,1026,1607,106626,115455,855,1.007987074,114540.1593,133.9650986,0.4464,31.9018
Bunyoro,Masindi District,9,4,13,10710,8379,19089,13882,8878,22760,5785,5102,10887,6995,6372,13367,9,4,13,10273,8199,18472,13320,8552,21872,6745,6154,12899,5653,4926,10579,63835,4926,4,4930,4926,7920,12846,13056,8496,21552,4,6033,6037,5432,4837,10269,566,1046,1612,37381,28735,66116,5652,6376,12028,291113,342635,3891,1.016428918,337096.8633,86.63502013,1.6873,31.7138
Busoga,Mayuge District,24,20,44,25973,13911,39884,42460,16669,59129,16149,12420,28569,22375,19878,42253,24,20,44,25811,13838,39649,42202,16565,58767,22258,19776,42034,16069,12377,28446,168940,12377,19,12396,12377,13486,25863,40916,16233,57149,19,19268,19287,15654,12024,27678,2484,4813,7297,106981,62898,169879,19081,19898,38979,473239,577563,1075,1.020121459,566170.8169,526.6705273,0.3125,33.528
Bugisu,Mbale City,123,131,254,9776,6174,15950,20230,10729,30959,5050,4332,9382,7814,7006,14820,87,83,170,9612,6075,15687,19688,10409,30097,7710,6875,14585,4979,4259,9238,69777,4259,83,4342,4259,5963,10222,19166,10133,29299,83,6743,6826,4913,4212,9125,535,1463,1998,42993,28372,71365,8240,7137,15377,266617,290414,156,1.008586083,287941.7087,1845.780184,1.0871,34.1781
Bugisu,Mbale District,5,7,12,10519,6911,17430,16171,7568,23739,5539,4478,10017,8460,7139,15599,1,0,1,10462,6863,17325,15996,7506,23502,8428,7116,15544,5496,4436,9932,66304,4436,0,4436,4436,6822,11258,15970,7431,23401,0,7073,7073,5474,4404,9878,776,1373,2149,40694,26103,66797,9414,7146,16560,222343,290356,360,1.027047984,282709.2839,785.3035663,1.0344,34.1977
Ankole,Mbarara City,5,3,8,1339,1227,2566,2877,2390,5267,1242,1227,2469,1532,1544,3076,2,2,4,1041,970,2011,2377,2055,4432,726,752,1478,564,534,1098,9023,534,2,536,534,952,1486,2341,2046,4387,2,744,746,556,524,1080,27,135,162,6995,6391,13386,618,1547,2165,199066,264425,471,1.028799021,257022.9895,545.6963684,0.6121, 30.6373
Ankole,Mbarara District,4,2,6,2804,2883,5687,3757,2295,6052,1412,1296,2708,1227,1127,2354,4,1,5,2682,2752,5434,3409,2112,5521,1087,984,2071,1344,1212,2556,15587,1212,1,1213,1212,2676,3888,3281,2074,5355,1,969,970,1317,1203,2520,39,190,229,9204,7603,16807,735,1129,1864,145838,174039,773,1.017835486,170989.3224,221.2022282,0.6121,30.6373
