dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
MASAKA,Masaka,"335,700",335700.0,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,South Central,Masaka District,3,1,4,1308,1018,2326,2548,1643,4191,606,551,1157,578,549,1127,3,0,3,1306,1018,2324,2542,1639,4181,578,551,1129,606,551,1157,8794,3,0,3,1298,1011,2309,2517,1625,4142,578,549,1127,605,550,1155,51,192,243,5043,3762,8805,581,550,1131,106626.0,115455.0,855.0,1.007987074,115455.0,135.0350877,0.4464,31.9018,76.16820406218874,MASAKA,0.6956212177204157,1.8403540727912922,0.003,3,True,-0.7941721977206515,0.004,False,True
BUTEBO,Butebo,"121,200",121200.0,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,BUTEBO,Bukedi,Butebo District,32,19,51,10603,5101,15704,11914,3531,15445,5196,3622,8818,6568,5458,12026,30,17,47,10318,5005,15323,11614,3466,15080,6489,5391,11880,5123,3583,8706,51036,30,17,47,10314,4996,15310,11600,3456,15056,6453,5386,11839,5110,3582,8692,477,1032,1509,34313,17731,52044,6600,5477,12077,111762.0,171433.0,236.0,1.043710436,171433.0,726.4110169,1.2393,33.83,297.70230935700823,BUTEBO,0.10632533002635652,2.0849456549049057,0.033,1,True,0.8676179275997308,0.036,True,False
ALEBTONG,Alebtong,"266,100",266100.0,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,Lango,Alebtong District,16,11,27,20209,9620,29829,25206,6647,31853,9302,7169,16471,12045,11156,23201,16,11,26,20201,9620,29821,25206,6649,31855,12042,11056,23098,9302,7169,16471,101271,15,11,26,19860,9447,29307,24771,6519,31290,11870,10942,22812,9170,7069,16239,1541,3294,4835,66778,34603,101381,12061,11167,23228,227541.0,283509.0,1534.0,1.022234935,283509.0,184.8168188,2.2914,33.2139,357.20559135688814,ALEBTONG,0.2967110772725224,1.8130304286585033,0.051,1,False,0.7572582542745931,0.051,False,False
TORORO,Tororo,"597,500",597500.0,TORORO,TORORO,TORORO,TORORO,TORORO,TORORO,Bukedi,Tororo District,20,20,40,16328,10696,27024,20995,9178,30173,8102,6490,14592,8648,7969,16617,20,19,38,15943,10501,26444,20088,8574,28662,8159,7569,15728,7729,6196,13925,84797,19,19,38,15933,10480,26413,19964,8568,28532,8096,7555,15651,7640,6125,13765,968,1717,2685,54093,34353,88446,8668,7989,16657,1881415.0,2372489.0,4504.0,1.023462561,2372489.0,526.7515542,0.3886,30.3436,35.741788476153104,TORORO,0.3573653582674635,0.9149382506469764,0.179,3,False,-0.34342474052367145,0.189,False,False
MOROTO,Moroto,"118,500",118500.0,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,Karamoja,Moroto District,5,8,13,4961,3536,8497,6558,3544,10102,3197,2717,5914,6657,6309,12966,5,8,13,4875,3533,8408,6352,3500,9852,6651,6264,12915,3177,2699,5876,37064,5,8,13,4740,3439,8179,6259,3446,9705,6597,6210,12807,3155,2690,5845,159,526,685,21378,16114,37492,6662,6317,12979,103432.0,103639.0,3533.0,1.000199951,103639.0,29.33455986,2.7495,34.5971,357.62599021603836,MOROTO,0.014731942225777239,0.04061576300603994,0.434,1,False,0.04020379804307552,0.417,False,False
KAGADI,Kagadi,"430,200",430200.0,KIBAALE,KAGADI,KAGADI,KAGADI,KAGADI,KAGADI,Bunyoro,Kagadi District,59,46,105,8744,5456,14200,14411,7501,21912,3858,3012,6870,4086,3484,7570,45,39,96,8216,5234,13450,13362,6991,20353,3760,3137,6897,3694,2878,6572,47368,45,51,96,8388,5261,13649,13645,7247,20892,3723,3243,6966,3709,2783,6492,942,2275,3217,31158,19499,50657,4145,3530,7675,351033.0,471111.0,1420.0,1.029858434,471111.0,331.7683099,0.95,30.8,100.54530673238366,KAGADI,0.5011560489783627,1.6818933059606362,0.016,3,True,-0.6539847384022105,0.02,False,True
KAMULI,Kamuli,"558,500",558500.0,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,Busoga,Kamuli District,112,86,198,49194,29545,78739,84102,39191,123293,28606,21816,50422,34415,29650,64065,104,81,170,49051,29857,78908,83791,39121,122912,34224,29564,63788,28461,21765,50226,316004,98,72,170,48354,29111,77465,82071,38778,120849,34005,29109,63114,28100,21430,49530,4165,9637,13802,196429,120288,316717,34527,29736,64263,486319.0,540252.0,1515.0,1.01057259,540252.0,356.6019802,0.9187,33.1239,584.9196300985467,KAMULI,0.718410787056128,1.0319053252129777,0.148,1,False,0.5168667025570395,0.147,False,False
BUDAKA,Budaka,"253,100",253100.0,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,Bukedi,Budaka District,9,10,19,17126,8449,25575,18579,5935,24514,8889,6841,15730,13048,11730,24778,9,10,19,17119,8442,25561,18570,5931,24501,13048,11720,24768,8879,6829,15708,90557,9,10,19,16897,8349,25246,18336,5842,24178,12916,13963,26879,8785,6748,15533,1494,3356,4850,57651,32965,90616,13057,11740,24797,207597.0,281537.0,410.0,1.030935371,281537.0,686.6756098,1.1005,34.0196,321.652216227352,BUDAKA,0.18256381599059235,1.5913031243781697,0.067,1,False,0.789762178423539,0.085,False,False
MARACHA,Maracha,"208,300",208300.0,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,West Nile,Maracha District,1,1,2,10463,6044,16507,10386,3647,14033,4021,2955,6976,3388,3150,6538,1,1,2,10354,5982,16336,10194,3512,13706,3348,3108,6456,3973,2917,6890,43390,1,1,2,9870,5842,15712,9803,3405,13208,3184,2949,6133,3801,2793,6594,839,1819,2658,28259,15797,44056,3389,3151,6540,186134.0,234712.0,440.0,1.023460199,234712.0,533.4363636,3.2873,30.9403,184.86485565288524,MARACHA,0.15850602196784824,0.6096698310256732,0.305,3,False,-0.4085207627197205,0.294,False,False
BUIKWE,Buikwe,"474,100",474100.0,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,North Central,Buikwe District,31,18,49,14792,14914,29706,23646,15008,38654,8675,7441,16116,10265,8825,19090,17,13,31,13784,10912,24696,20954,14172,35126,9374,8176,17550,8177,6978,15155,92558,18,13,31,13570,10691,24261,20508,13881,34389,9228,7995,17223,8025,6928,14953,926,2320,3246,57409,46206,103615,10296,8843,19139,422771.0,520158.0,1270.0,1.020946558,520158.0,409.5732283,0.2827,0.0,177.94208682746395,BUIKWE,0.031632065149212504,0.20277556676352257,0.477,3,False,-0.07804871253113749,0.468,False,False
LUWERO,Luwero,"523,600",523600.0,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,North Central,Luwero District,202,204,406,29288,24640,53928,35962,22703,58665,15257,14321,29578,14030,13786,27816,144,151,246,25309,21997,47306,28267,331944,360211,12599,12169,24768,13982,13087,27069,459600,125,121,246,24981,21757,46738,27681,17356,45037,12391,13124,25515,13888,12902,26790,1035,3135,4170,94739,75654,170393,14232,13990,28222,456958.0,616242.0,2216.0,1.030356466,616242.0,278.0875451,0.8271,0.0,745.8108989650169,LUWERO,-0.709391480418847,-0.7461954652855635,0.238,4,False,-0.31759219915949527,0.232,False,False
MPIGI,Mpigi,"286,600",286600.0,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,South Central,Mpigi District,2,6,8,4590,4083,8673,8835,6742,15577,2113,2115,4228,2613,2595,5208,0,6,6,4441,3964,8405,8359,6444,14803,2487,2466,4953,2040,2038,4078,32245,0,6,6,4363,3868,8231,8281,6378,14659,2450,2420,4870,1986,2004,3990,169,750,919,18153,15541,33694,2615,2601,5216,250548.0,326690.0,1204.0,1.026891337,326690.0,271.3372093,0.2274,32.3249,98.70213352107503,MPIGI,0.5989755044988628,1.962915379537605,0.005,3,True,-0.7723118126463786,0.002,False,True
KAYUNGA,Kayunga,"407,700",407700.0,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,North Central,Kayunga District,133,115,248,17710,12125,29835,25715,12741,38456,12471,10033,22504,16034,14937,30971,100,81,184,17472,11916,29388,25412,12410,37822,15680,14638,30318,11771,9879,21650,119362,101,83,184,17310,11757,29067,25102,12291,37393,15672,14614,30286,11569,9752,21321,1518,3160,4678,72063,49951,122014,16167,15052,31219,368062.0,439175.0,1596.0,1.017821599,439175.0,275.1723058,0.7014,32.9029,271.78687311436215,KAYUNGA,0.002096218801655405,1.2000530026311056,0.13,1,False,0.4453717139808254,0.115,False,False
KYANKWANZI,Kyankwanzi,"282,800",282800.0,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,North Central,Kyankwanzi District,11,11,22,6402,4577,10979,9164,5119,14283,3543,2996,6539,3968,3724,7692,5,1,5,5938,4138,10076,7969,4506,12475,3646,3395,7041,3197,2880,6077,35674,4,1,5,5750,3981,9731,7922,5089,13011,3519,3254,6773,3031,2638,5669,454,1521,1975,23088,16427,39515,3979,3735,7714,214693.0,278432.0,2455.0,1.026337332,278432.0,113.4142566,1.2061,31.8164,128.12464084587978,KYANKWANZI,0.2397350361330203,1.0495835832523466,0.125,3,False,-0.3746212317756163,0.131,False,False
KIBOGA,Kiboga,"171,200",171200.0,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,North Central,Kiboga District,12,9,21,6786,5554,12340,9982,7417,17399,3612,3225,6837,3730,3699,7429,8,8,16,6729,5501,12230,9788,7003,16791,3680,3625,7305,3585,3203,6788,43130,8,8,16,6686,5477,12163,9772,7018,16790,3628,3595,7223,3560,3166,6726,171,488,659,24122,19904,44026,3742,3708,7450,148218.0,183255.0,1586.0,1.02144618,183255.0,115.5453972,0.8658,31.9473,235.35510627268013,KIBOGA,0.08098887681440671,1.0371992811732575,0.134,3,False,-0.5038288181019915,0.132,False,False
MUKONO,Mukono,"701,400",701400.0,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,North Central,Mukono District,253,200,453,18091,14483,32574,29670,18167,47837,10377,9413,19790,11122,9935,21057,175,144,326,16658,13691,30349,27918,17039,44957,10224,9333,19557,9727,8895,18622,113811,179,147,326,16359,13377,29736,27369,16871,44240,10061,9215,19276,9572,8714,18286,756,2556,3312,69513,52198,121711,11375,10135,21510,596804.0,929224.0,1831.0,1.045270922,929224.0,507.4953577,0.2835,0.0,122.47961740118636,MUKONO,0.10437899676020555,0.47474844113948256,0.35,3,False,-0.15990843781812086,0.366,False,False
NAKASEKE,Nakaseke,"234,600",234600.0,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,North Central,Nakaseke District,17,4,21,8449,6784,15233,12084,9260,21344,4584,4003,8587,4679,4490,9169,17,1,18,8071,6561,14632,11255,8849,20104,4396,4212,8608,4381,3871,8252,51614,17,1,18,7950,6398,14348,10994,8598,19592,4492,4108,8600,4249,3728,7977,273,821,1094,29813,24541,54354,4696,4494,9190,197373.0,251398.0,3475.0,1.024489255,251398.0,72.3447482,1.2231,32.0837,205.30791812186254,NAKASEKE,0.01415357213727622,0.1824672966459029,0.485,3,False,-0.049729664400229454,0.499,False,False
KASSANDA,Kassanda,"312,700",312700.0,MUBENDE,MUBENDE,MUBENDE,KASSANDA,KASSANDA,KASSANDA,North Central,Kassanda District,39,28,67,7139,5582,12721,11616,7046,18662,4007,3438,7445,4600,4333,8933,38,26,66,7115,5564,12679,11643,7044,18687,4554,4324,8878,3983,3408,7391,47701,38,28,66,6979,5450,12429,11402,6943,18345,6190,4264,10454,3933,3349,7282,492,2031,2523,27401,20427,47828,4639,4361,9000,271544.0,314008.0,1819.0,1.014635493,314008.0,172.626718,0.5761,31.7195,151.9101424167537,KASSANDA,-0.5465733694619392,-2.0856469293812028,0.035,2,True,1.0073627066952378,0.043,True,False
