dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
MBALE,Mbale,"586,300",586300.0,MBALE,MBALE,MBALE,MBALE,MBALE,MBALE,Bugisu,Mbale District,8,3,11,12597,7631,20228,21412,8182,29594,6607,4911,11518,9406,7516,16922,4,2,6,12552,7602,20154,21043,8117,29160,9266,7480,16746,6595,4900,11495,77561,4,2,6,12486,7537,20023,20778,8000,28778,9295,8574,17869,6549,4883,11432,754,1642,2396,50030,28243,78273,9414,7519,16933,222343.0,290356.0,360.0,1.027047984,290356.0,806.5444444,1.0344,34.1977,267.1238066373693,MBALE,-0.0009618716986157608,-0.10930298249509145,0.407,2,False,0.05809880340173122,0.398,False,False
BUKWO,Bukwo,"119,100",119100.0,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,Bugisu,Bukwo District,1,1,2,1482,1353,2835,2662,2223,4885,720,642,1362,650,552,1202,1,1,2,1267,1215,2482,2182,2038,4220,517,451,968,617,580,1197,8869,1,1,2,1240,1189,2429,2128,1987,4115,501,445,946,609,562,1171,15,54,69,5515,4771,10286,651,553,1204,89356.0,114396.0,525.0,1.025011439,114396.0,217.8971429,1.2819,34.7299,77.52893457813211,BUKWO,0.5983941090697474,1.0016369535250267,0.15,3,False,-0.6887873173783493,0.126,False,False
KAPCHORWA,Kapchorwa,"123,800",123800.0,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,Bugisu,Kapchorwa District,1,1,2,1231,1029,2260,2362,1506,3868,531,499,1030,442,427,869,1,1,2,1230,1029,2259,2362,1498,3860,442,427,869,532,499,1031,8021,1,1,2,1228,1029,2257,2341,1494,3835,442,427,869,532,499,1031,34,54,88,4567,3462,8029,443,428,871,105186.0,133621.0,212.0,1.024216287,133621.0,630.2877358,1.3514,34.3754,60.027989612411226,KAPCHORWA,0.5688875824383595,0.877423264984539,0.188,3,False,-0.6022009314676211,0.173,False,False
BUKEDEA,Bukedea,"259,300",259300.0,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,Teso,Bukedea District,31,23,54,29123,15675,44798,33362,13329,46691,13728,10375,24103,14646,12684,27330,27,22,49,27817,15112,42929,32083,12903,44986,14313,12347,26660,13398,9831,23229,137853,27,22,49,27545,14828,42373,38674,12763,51437,13863,11850,25713,13160,9685,22845,2306,5476,7782,90890,52086,142976,14677,12707,27384,203600.0,282864.0,1032.0,1.033427444,282864.0,274.0930233,1.3557,34.1087,487.3472764296623,BUKEDEA,0.15723334902848962,0.3768248198341687,0.307,1,False,0.1673747662345526,0.305,False,False
KABAROLE,Kabarole,"337,800",337800.0,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,Tooro,Kabarole District,5,2,7,1374,1106,2480,3136,2112,5248,628,509,1137,723,655,1378,3,1,6,1249,1032,2281,2802,1815,4617,627,595,1222,558,460,1018,9144,4,2,6,1219,992,2211,2712,1755,4467,617,578,1195,534,449,983,58,171,229,5866,4384,10250,728,657,1385,196749.0,230368.0,1184.0,1.015900003,230368.0,194.5675676,0.6833,0.0,39.693012918460894,KABAROLE,0.6462849903096162,1.7229775312917452,0.018,3,True,-0.6247901540877594,0.022,False,True
MASINDI,Masindi,"340,500",340500.0,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,Bunyoro,Masindi District,8,5,13,10186,7302,17488,12920,7856,20776,5134,4381,9515,5644,5382,11026,6,3,13,9794,7076,16870,12001,7387,19388,5381,5076,10457,4913,4191,9104,55832,8,5,13,9654,6951,16605,11599,7125,18724,5288,5029,10317,4845,4130,8975,615,1304,1919,33892,24926,58818,5652,5387,11039,291113.0,342635.0,3891.0,1.016428918,342635.0,88.05833976,1.6873,31.7138,162.94891064835758,MASINDI,0.03647496952186893,0.2700305925567409,0.442,3,False,-0.07802816598219138,0.457,False,False
KITAGWENDA,Kitagwenda,"178,300",178300.0,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KITAGWENDA,KITAGWENDA,Tooro,Kitagwenda District,1,4,5,3616,2759,6375,6359,3580,9939,1675,1344,3019,1625,1337,2962,1,3,4,3589,2748,6337,6321,3564,9885,1609,1321,2930,1663,1338,3001,22157,1,3,4,3572,2733,6305,6226,3524,9750,1609,1321,2930,1654,1338,2992,175,509,684,13276,9024,22300,1626,1341,2967,143786.0,184947.0,677.0,1.025493871,184947.0,273.1861152,0.0,0.0,119.80188918987601,KITAGWENDA,0.2116613108801016,0.6471236849445492,0.277,3,False,-0.31365490938645985,0.279,False,False
BUSIA,Busia,"384,000",384000.0,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,Bukedi,Busia District,81,78,159,18417,12019,30436,31233,12824,44057,10019,8344,18363,13930,12746,26676,62,72,145,17473,11457,28930,29642,12217,41859,13044,12006,25050,9465,7873,17338,113322,62,83,145,17250,11293,28543,29332,11927,41259,12868,12241,25109,9440,7796,17236,1236,2458,3694,73680,46011,119691,14011,12824,26835,323662.0,412671.0,729.0,1.024592621,412671.0,566.0781893,0.4045,34.0196,274.60616326322906,BUSIA,-0.010334316778440858,-1.0538107639646992,0.121,4,False,-0.5890053101196056,0.13,False,False
KALANGALA,Kalangala,"67,200",67200.0,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,South Central,Kalangala District,2,0,2,491,461,952,1716,1774,3490,311,331,642,527,512,1039,1,6,10,385,384,769,1457,1606,3063,414,390,804,249,322,571,5217,10,0,10,386,383,769,1454,1607,3061,412,399,811,248,272,520,31,149,180,3047,3078,6125,529,512,1041,54293.0,74411.0,452.0,1.03202289,74411.0,164.6261062,0.6351,32.5373,70.11060192713444,KALANGALA,0.6253333061780946,1.6090142033135646,0.022,3,True,-0.6935497792272884,0.023,False,True
NTUNGAMO,Ntungamo,"540,800",540800.0,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,Ankole,Ntungamo District,11,5,16,6106,5169,11275,10109,6950,17059,2162,1914,4076,2040,1924,3964,11,4,15,6026,5111,11137,9863,6788,16651,2013,1894,3907,2116,1887,4003,35713,11,4,15,5911,4991,10902,9693,6684,16377,1900,1755,3655,2060,1839,3899,67,293,360,20428,15962,36390,2051,1929,3980,483841.0,552786.0,1999.0,1.013410587,552786.0,276.5312656,0.9807,30.2513,64.60547119500131,NTUNGAMO,0.902717441531069,2.478526696964502,0.001,3,True,-0.9720632152256573,0.001,False,True
MBARARA,Mbarara,"390,700",390700.0,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,Ankole,Mbarara District,0,1,1,1569,1390,2959,2606,1640,4246,680,642,1322,735,696,1431,0,1,1,1441,1299,2740,2187,1426,3613,629,573,1202,632,609,1241,8797,0,1,1,1424,1284,2708,2171,1413,3584,621,568,1189,630,603,1233,19,144,163,5590,4369,9959,735,697,1432,145838.0,174039.0,773.0,1.017835486,174039.0,225.1474774,0.6121,30.6373,50.54614195668787,MBARARA,0.7322553325098682,1.898138295622863,0.006,3,True,-0.740662923015958,0.006,False,True
MITOOMA,Mitooma,"194,300",194300.0,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,Ankole,Mitooma District,15,8,23,4399,3647,8046,6241,4213,10454,2072,1859,3931,1422,1197,2619,15,8,23,4321,3565,7886,6097,3934,10031,1403,1163,2566,2028,1808,3836,24342,15,8,23,4232,3478,7710,5979,3834,9813,1380,1140,2520,1985,1782,3767,69,268,337,14149,10924,25073,1437,1205,2642,183444.0,226009.0,544.0,1.021085766,226009.0,415.4577206,0.6193,30.0203,107.70367551734665,MITOOMA,0.7829424168239287,2.1833788937820393,0.001,3,True,-1.0624905945667535,0.001,False,True
NAKASONGOLA,Nakasongola,"215,200",215200.0,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,North Central,Nakasongola District,25,24,49,13929,10391,24320,15515,9852,25367,7237,6329,13566,8519,8165,16684,17,13,30,13087,9871,22958,14313,9008,23321,8105,7682,15787,6869,6001,12870,74966,17,13,30,12920,9791,22711,15019,8834,23853,8018,7626,15644,6778,5870,12648,558,1489,2047,45225,34761,79986,8544,8189,16733,181795.0,226074.0,3314.0,1.022037588,226074.0,68.21786361,1.349,32.4467,331.59938781107076,NAKASONGOLA,0.09444840970714974,0.8649738551503435,0.183,1,False,0.34312356302839364,0.181,False,False
MUBENDE,Mubende,"554,800",554800.0,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,North Central,Mubende District,82,68,150,14323,10301,24624,23152,14922,38074,6946,5862,12808,6976,6116,13092,81,68,156,14025,10194,24219,22670,14731,37401,6913,6041,12954,6862,5774,12636,87366,81,75,156,14150,10257,24407,22836,14741,37577,7506,6071,13577,6929,5829,12758,1039,2825,3864,51479,37269,88748,7058,6184,13242,412804.0,522015.0,2711.0,1.023749985,522015.0,192.554408,0.449,31.3542,167.36300681014913,MUBENDE,-0.1085457029688538,-0.5562744633584267,0.26,2,False,0.2273210358484836,0.251,False,False
BUVUMA,Buvuma,"128,900",128900.0,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,North Central,Buvuma District,5,4,9,3499,2412,5911,6855,3980,10835,2268,1836,4104,3253,2876,6129,5,4,9,3461,2392,5853,6830,3960,10790,3244,2869,6113,2246,1828,4074,26839,5,4,9,3499,2412,5911,6855,3979,10834,3253,2876,6129,2268,1836,4104,230,548,778,15880,11108,26988,3258,2880,6138,8989.0,110832.0,296.0,1.285568963,110832.0,374.4324324,0.3765,33.2588,242.15930417208025,BUVUMA,0.06635606677333016,1.0466714642651587,0.129,3,False,-0.5107654356050915,0.135,False,False
KABERAMAIDO,Kaberamaido,"132,700",132700.0,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,Teso,Kaberamaido District,38,37,75,19648,11381,31029,19899,7204,27103,7772,5933,13705,7799,7055,14854,37,37,74,19776,11307,31083,19766,7133,26899,7755,7008,14763,7704,5884,13588,86407,37,37,74,20046,11297,31343,19753,7124,26877,7749,7204,14953,7700,5877,13577,750,1440,2190,55156,31610,86766,7837,7092,14929,105152.0,140986.0,689.0,1.02975959,140986.0,204.6240929,1.6325,0.0,612.8764558183082,KABERAMAIDO,0.9458009755487328,1.293864869656093,0.105,1,False,0.6244797082964489,0.111,False,False
SOROTI,Soroti,"363,600",363600.0,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,Teso,Soroti District,74,43,117,18873,9407,28280,21049,6016,27065,7286,5350,12636,7938,6874,14812,46,43,89,18884,9457,28341,21107,5978,27085,7980,6873,14853,7293,5346,12639,83007,46,43,89,18500,9252,27752,20833,5890,26723,7875,6785,14660,7162,5226,12388,1447,3049,4496,55220,27690,82910,8012,6917,14929,198332.0,266189.0,1034.0,1.029863654,266189.0,257.4361702,1.7229,33.528,311.8348241287205,SOROTI,0.1251539724121838,1.516945822148581,0.07,1,False,0.6706719655541925,0.093,False,False
