dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
MASAKA,Masaka,"335,700",335700.0,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,South Central,Masaka District,4,3,7,3153,2959,6112,4709,3350,8059,1774,1584,3358,1364,1311,2675,4,3,7,3124,2939,6063,4641,3302,7943,1339,1289,2628,1762,1572,3334,19975,4,3,7,3041,2833,5874,4541,3262,7803,1321,1263,2584,1731,1545,3276,107,303,410,11004,9207,20211,1368,1314,2682,106626.0,115455.0,855.0,1.007987074,111838.9019,130.8057332,0.4464,31.9018,178.60511557830307,MASAKA,0.3660124800553039,1.3938187547412315,0.038,3,True,-0.6010173000531659,0.038,False,True
BUTEBO,Butebo,"121,200",121200.0,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,BUTEBO,Bukedi,Butebo District,26,30,56,5614,2509,8123,7243,2464,9707,4115,3110,7225,4952,4433,9385,26,30,56,5562,2485,8047,7107,2435,9542,4920,4414,9334,4106,3106,7212,34191,26,28,54,5287,2400,7687,6966,2417,9383,4440,4045,8485,3828,2950,6778,134,276,410,21950,12546,34496,4978,4463,9441,111762.0,171433.0,236.0,1.043710436,144468.885,612.1562926,1.2393,33.83,236.66687813088612,BUTEBO,0.165029371002546,0.9457016591800534,0.15,3,False,-0.3704070897538711,0.185,False,False
ALEBTONG,Alebtong,"266,100",266100.0,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,Lango,Alebtong District,3,5,8,7110,3851,10961,9974,3515,13489,3936,3217,7153,4529,4269,8798,2,4,6,7103,3842,10945,9932,3491,13423,4548,4271,8819,3955,3232,7187,40380,2,3,5,6967,3819,10786,9867,3455,13322,4503,4243,8746,3932,3214,7146,358,698,1056,25552,14857,40409,4532,4274,8806,227541.0,283509.0,1534.0,1.022234935,259635.4412,169.253873,2.2914,33.2139,155.5257626361374,ALEBTONG,-0.04213544732751691,-0.1452236319820612,0.385,2,False,0.057032121278204964,0.349,False,False
TORORO,Tororo,"597,500",597500.0,TORORO,TORORO,TORORO,TORORO,TORORO,TORORO,Bukedi,Tororo District,18,11,29,11929,7362,19291,19497,9473,28970,6395,4998,11393,8814,7682,16496,18,10,28,11354,6975,18329,18078,8802,26880,8294,7241,15535,6027,4745,10772,71544,16,23,39,11119,6761,17880,17696,8479,26175,8165,7095,15260,5940,4688,10628,452,851,1303,46653,29526,76179,8832,7693,16525,1881415.0,2372489.0,4504.0,1.023462561,2162302.077,480.0848305,0.3886,30.3436,33.08695892262235,TORORO,0.32513673735751386,0.8325470196808508,0.203,3,False,-0.32547857202061314,0.232,False,False
MOROTO,Moroto,"118,500",118500.0,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,Karamoja,Moroto District,19,23,42,6216,3997,10213,8824,4782,13606,4005,3320,7325,12157,11526,23683,13,20,33,5878,3805,9683,7562,4314,11876,11590,11011,22601,3823,3165,6988,51181,13,19,32,5814,3741,9555,7440,4255,11695,11458,10916,22374,3727,3109,6836,114,623,737,31221,23648,54869,12176,11549,23725,103432.0,103639.0,3533.0,1.000199951,103556.1503,29.31110963,2.7495,34.5971,494.2342859572292,MOROTO,-0.00036608741322629755,-0.00017382044466124965,0.438,4,False,0.0007691779964987725,0.414,False,False
KAGADI,Kagadi,"430,200",430200.0,KIBAALE,KAGADI,KAGADI,KAGADI,KAGADI,KAGADI,Bunyoro,Kagadi District,7,7,14,11466,7628,19094,18912,10501,29413,6188,4697,10885,6654,5787,12441,5,6,11,10358,6922,17280,16506,9284,25790,5830,5117,10947,5588,4291,9879,63907,6,6,12,10741,7150,17891,17220,9548,26768,6006,5265,11271,5740,4426,10166,883,1660,2543,43227,28620,71847,6661,5794,12455,351033.0,471111.0,1420.0,1.029858434,418806.2219,294.9339591,0.95,30.8,152.59324398303548,KAGADI,0.4191917295584439,1.577720270546089,0.012,3,True,-0.6152610564627546,0.023,False,True
KAMULI,Kamuli,"558,500",558500.0,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,Busoga,Kamuli District,44,33,77,47740,25528,73268,87075,40753,127828,29868,21268,51136,48360,40111,88471,24,17,41,47026,24921,71947,85083,39417,124500,47597,39469,87066,29249,20762,50011,333565,24,17,41,45761,24257,70018,82330,38405,120735,46313,38479,84792,28336,20166,48502,4216,7887,12103,213087,127693,340780,48404,40144,88548,486319.0,540252.0,1515.0,1.01057259,517995.9032,341.9114872,0.9187,33.1239,643.9529693948359,KAMULI,0.19489341893719178,0.5991948092118662,0.227,1,False,0.2823461090610976,0.216,False,False
BUDAKA,Budaka,"253,100",253100.0,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,Bukedi,Budaka District,5,4,9,3677,2005,5682,5864,2219,8083,2938,2103,5041,4113,3859,7972,5,3,8,3633,1946,5579,5783,2157,7940,4075,3779,7854,2873,2063,4936,26317,5,3,8,3412,1831,5243,5542,2016,7558,3875,3617,7492,2730,1959,4689,157,401,558,16597,10190,26787,4118,3863,7981,207597.0,281537.0,410.0,1.030935371,249235.3939,607.8912045,1.1005,34.0196,105.59094191316622,BUDAKA,0.4756006111538396,1.2423968598998134,0.058,3,False,-0.5865199753056282,0.059,False,False
MARACHA,Maracha,"208,300",208300.0,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,West Nile,Maracha District,28,17,45,30315,15863,46178,30562,10089,40651,17158,12379,29537,15626,14209,29835,29,18,47,30007,15673,45680,29659,9557,39216,15444,13939,29383,16999,12273,29272,143598,28,17,45,29525,15255,44780,29130,9455,38585,15039,13555,28594,16669,12017,28686,1326,2759,4085,93689,52557,146246,15654,14226,29880,186134.0,234712.0,440.0,1.023460199,213920.0348,486.1818973,3.2873,30.9403,671.2695243073138,MARACHA,0.5130146327362419,0.9383112411571346,0.147,1,False,0.663313252378757,0.127,False,False
BUIKWE,Buikwe,"474,100",474100.0,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,North Central,Buikwe District,36,17,53,19721,14068,33789,35432,22776,58208,13176,10681,23857,17396,15839,33235,30,14,44,17854,12927,30781,29228,20438,49666,15833,14447,30280,12341,10131,22472,133243,30,14,44,17138,12400,29538,28042,20107,48149,15191,13878,29069,11792,9706,21498,698,1878,2576,85761,63381,149142,17432,15856,33288,422771.0,520158.0,1270.0,1.020946558,478765.9383,376.9810538,0.2827,0.0,278.30509512251155,BUIKWE,-0.040806412697126676,-0.2788875643171108,0.329,2,False,0.1205415834468825,0.312,False,False
