dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
LUWERO,Luwero,"523,600",523600.0,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,North Central,Luwero District,83,59,142,30912,26298,57210,36602,24039,60641,20920,19069,39989,18300,17698,35998,37,43,80,28534,27751,56285,32307,21454,53761,16620,16056,32676,19507,17729,37236,180038,38,43,81,28661,24573,53234,32249,21673,53922,16662,16064,32726,19601,17827,37428,1347,2602,3949,106817,87163,193980,18383,17757,36140,456958.0,616242.0,2216.0,1.030356466,546765.7355,246.7354402,0.8271,0.0,329.27813195053443,LUWERO,0.03901559293838647,0.47913420656549277,0.352,3,False,-0.20960795454853481,0.375,False,False
MPIGI,Mpigi,"286,600",286600.0,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,South Central,Mpigi District,11,10,21,5337,5224,10561,9303,7353,16656,2944,2903,5847,3228,2971,6199,17,10,27,5134,5077,10211,8968,6885,15853,2958,2869,5827,2851,2836,5687,37605,9,9,18,4801,4803,9604,8384,6344,14728,2783,2689,5472,2646,2687,5333,134,641,775,20823,18461,39284,3239,2981,6220,250548.0,326690.0,1204.0,1.026891337,293790.5895,244.0121175,0.2274,32.3249,127.99933470980015,MPIGI,0.19185065445172297,0.6428449384446437,0.265,3,False,-0.25928569205901775,0.288,False,False
KAYUNGA,Kayunga,"407,700",407700.0,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,North Central,Kayunga District,75,64,139,27071,16511,43582,34106,18262,52368,17849,14689,32538,23279,21391,44670,72,60,132,26917,16441,43358,33935,17854,51789,23102,21254,44356,17715,14586,32301,171936,66,50,116,26535,16230,42765,33385,17684,51069,22745,20856,43601,17458,14405,31863,1801,3746,5547,102380,70917,173297,23354,21455,44809,368062.0,439175.0,1596.0,1.017821599,409214.4479,256.40003,0.7014,32.9029,420.16111816759735,KAYUNGA,-0.0001163682750522543,0.0018241693442910215,0.445,4,False,-0.0011370412042689445,0.431,False,False
KYANKWANZI,Kyankwanzi,"282,800",282800.0,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,North Central,Kyankwanzi District,14,9,23,6392,4227,10619,10067,5854,15921,4031,3182,7213,4705,4436,9141,12,8,20,5896,4043,9939,8971,5365,14336,4396,4201,8597,3844,3034,6878,39770,13,9,22,5564,3730,9294,8430,5047,13477,4042,3890,7932,3543,2780,6323,901,1247,2148,25209,17708,42917,4719,4445,9164,214693.0,278432.0,2455.0,1.026337332,250933.4988,102.2132378,1.2061,31.8164,158.4882058002851,KYANKWANZI,0.2238728626204712,0.9143372987928555,0.156,3,False,-0.33892066950858396,0.182,False,False
KIBOGA,Kiboga,"171,200",171200.0,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,North Central,Kiboga District,4,6,10,8653,7605,16258,12305,9360,21665,5446,4978,10424,5578,5481,11059,4,6,10,8582,7504,16086,12117,8903,21020,5475,5369,10844,5405,4949,10354,58314,30,6,36,8456,7435,15891,11826,8674,20500,5393,5273,10666,5559,4900,10459,172,529,701,31986,27430,59416,5582,5487,11069,148218.0,183255.0,1586.0,1.02144618,168342.5414,106.1428382,0.8658,31.9473,346.4008533733589,KIBOGA,0.055036256849612275,0.8223892663610604,0.194,3,False,-0.3973877053793069,0.199,False,False
MUKONO,Mukono,"701,400",701400.0,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,North Central,Mukono District,78,47,125,22158,17552,39710,36484,22815,59299,14305,12628,26933,14784,14401,29185,55,30,85,20927,16790,37717,33378,20892,54270,13861,13508,27369,13596,12190,25786,145227,48,30,78,20543,16459,37002,32703,20532,53235,13579,13226,26805,13372,11864,25236,806,2594,3400,87809,67443,155252,14862,14448,29310,596804.0,929224.0,1831.0,1.045270922,778403.7886,425.1249528,0.2835,0.0,186.57026356616066,MUKONO,0.1715336041564251,0.7917529536406839,0.206,3,False,-0.29455683889070905,0.228,False,False
NAKASEKE,Nakaseke,"234,600",234600.0,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,North Central,Nakaseke District,25,12,37,10614,9535,20149,16081,15866,31947,7304,6610,13914,6846,6510,13356,22,71,93,10007,9049,19056,14806,12714,27520,6174,5883,12057,6947,6239,13186,71912,22,7,29,9612,9139,18751,14840,13114,27954,9856,5623,15479,6686,6047,12733,185,685,870,40870,38533,79403,6871,6522,13393,197373.0,251398.0,3475.0,1.024489255,228208.6952,65.67156697,1.2231,32.0837,315.115074546029,NAKASEKE,0.06209664292830784,0.7382184738862893,0.229,3,False,-0.2746319083751761,0.255,False,False
KASSANDA,Kassanda,"312,700",312700.0,MUBENDE,MUBENDE,MUBENDE,KASSANDA,KASSANDA,KASSANDA,North Central,Kassanda District,16,10,26,10823,8164,18987,17409,10518,27927,7306,6363,13669,7600,7104,14704,14,4,18,10506,8052,18558,17242,10049,27291,7441,6940,14381,7218,6231,13449,73697,30,6,36,10104,7734,17838,15913,9572,25485,7151,6649,13800,6898,5962,12860,741,1551,2292,43154,32159,75313,7616,7114,14730,271544.0,314008.0,1819.0,1.014635493,296278.7557,162.8800196,0.5761,31.7195,248.7421004110826,KASSANDA,-0.021129137990812535,-0.11054598005036971,0.38,2,False,0.047780170131590395,0.381,False,False
MBALE,Mbale,"586,300",586300.0,MBALE,MBALE,MBALE,MBALE,MBALE,MBALE,Bugisu,Mbale District,11,9,20,13834,8310,22144,21691,9568,31259,7775,6119,13894,11468,10586,22054,11,9,20,13785,8275,22060,21497,9504,31001,11386,9825,21211,7752,6081,13833,88125,11,9,20,13678,8201,21879,21270,9423,30693,11308,9752,21060,7681,6022,13703,673,1294,1967,54779,34592,89371,11479,10595,22074,222343.0,290356.0,360.0,1.027047984,260956.3489,724.8787469,1.0344,34.1977,337.700157024231,MBALE,0.09043070263399293,1.6108327776003957,0.02,3,True,-0.5542645983173358,0.026,False,True
BUKWO,Bukwo,"119,100",119100.0,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,Bugisu,Bukwo District,3,0,3,1299,895,2194,3734,1923,5657,497,438,935,766,593,1359,0,0,0,550,547,1097,1145,1035,2180,255,235,490,289,274,563,4330,0,0,0,526,529,1055,1084,985,2069,235,211,446,263,252,515,27,52,79,6299,3849,10148,769,593,1362,89356.0,114396.0,525.0,1.025011439,103632.5039,197.3952454,1.2819,34.7299,41.782257853947314,BUKWO,0.7314535599012969,1.0600679662288912,0.085,3,False,-0.7399386778656973,0.099,False,False
KAPCHORWA,Kapchorwa,"123,800",123800.0,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,Bugisu,Kapchorwa District,20,15,35,1033,875,1908,2527,1923,4450,525,446,971,425,406,831,9,6,15,891,768,1659,2091,1605,3696,327,331,658,466,372,838,6866,9,6,15,868,758,1626,2046,1580,3626,321,327,648,459,368,827,13,47,60,4530,3665,8195,445,421,866,105186.0,133621.0,212.0,1.024216287,121424.9705,572.7592948,1.3514,34.3754,56.545206243224904,KAPCHORWA,0.7019620765547865,1.0611287631800381,0.085,3,False,-0.7404924663845984,0.098,False,False
BUKEDEA,Bukedea,"259,300",259300.0,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,Teso,Bukedea District,20,22,42,15176,7287,22463,21750,7838,29588,7600,5362,12962,10079,8688,18767,18,22,40,14965,7083,22048,20985,7445,28430,9449,8539,17988,7390,5161,12551,81057,18,22,40,15133,6969,22102,20451,7287,27738,9310,8427,17737,7263,5064,12327,942,3048,3990,54625,29197,83822,10099,8710,18809,203600.0,282864.0,1032.0,1.033427444,248003.4467,240.3134173,1.3557,34.1087,326.83819954345824,BUKEDEA,0.027655475330465307,0.349633288010857,0.405,3,False,-0.14378030773558173,0.443,False,False
KABAROLE,Kabarole,"337,800",337800.0,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,Tooro,Kabarole District,5,6,11,2880,2283,5163,5522,3772,9294,1703,1379,3082,1560,1341,2901,2,1,3,2773,2239,5012,5067,3489,8556,1487,1270,2757,1636,1346,2982,19310,2,1,3,2761,2208,4969,4960,3457,8417,1469,1254,2723,1627,1323,2950,32,135,167,11670,8781,20451,1565,1347,2912,196749.0,230368.0,1184.0,1.015900003,216280.968,182.6697365,0.6833,0.0,89.28201209086507,KABAROLE,0.413474084653183,1.3233549704145005,0.051,3,False,-0.4843019712202413,0.067,False,False
MASINDI,Masindi,"340,500",340500.0,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,Bunyoro,Masindi District,36,14,50,13642,9624,23266,20226,13833,34059,8900,7398,16298,10395,9495,19890,36,14,50,12796,9121,21917,18566,12571,31137,9782,8975,18757,8334,7071,15405,87266,36,14,50,12616,8947,21563,18616,12809,31425,9664,8903,18567,8271,6901,15172,310,930,1240,53199,40364,93563,10431,9509,19940,291113.0,342635.0,3891.0,1.016428918,321013.779,82.50161373,1.6873,31.7138,271.84502880793787,MASINDI,-0.006115115730860335,-0.05126937694950744,0.411,2,False,0.014874221186801897,0.41,False,False
KITAGWENDA,Kitagwenda,"178,300",178300.0,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KITAGWENDA,KITAGWENDA,Tooro,Kitagwenda District,9,8,17,8077,5964,14041,10352,5746,16098,3652,3054,6706,4381,3502,7883,7,8,15,7873,5855,13728,10032,5600,15632,4154,3357,7511,3577,2988,6565,43451,7,7,14,7632,5678,13310,9473,5307,14780,3896,3111,7007,3378,2840,6218,336,764,1100,26471,18274,44745,4390,3510,7900,143786.0,184947.0,677.0,1.025493871,167230.318,247.0167178,0.0,0.0,259.82728801604026,KITAGWENDA,0.07592249962715453,0.4079676326232337,0.389,3,False,-0.20053218964171873,0.398,False,False
BUSIA,Busia,"384,000",384000.0,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,Bukedi,Busia District,50,23,73,36556,21989,58545,57971,26175,84146,22703,18017,40720,33289,29059,62348,48,19,67,35621,21470,57091,55306,25389,80695,32327,28281,60608,22234,17729,39963,238424,47,171,218,35420,21362,56782,54432,25179,79611,32073,28139,60212,22109,17630,39739,1095,1842,2937,150569,95263,245832,33339,29082,62421,323662.0,412671.0,729.0,1.024592621,374454.5013,513.6550087,0.4045,34.0196,636.7235516524955,BUSIA,-0.21330118473223234,-0.5444037690688985,0.33,4,False,-0.30726682617153894,0.322,False,False
KALANGALA,Kalangala,"67,200",67200.0,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,South Central,Kalangala District,8,9,17,1758,1681,3439,4628,4646,9274,1103,1022,2125,1454,1385,2839,8,9,17,1698,1656,3354,4442,4462,8904,1337,1273,2610,1052,999,2051,16936,8,9,17,1650,1613,3263,4246,4295,8541,1301,1230,2531,1030,968,1998,309,343,652,8951,8743,17694,1462,1394,2856,54293.0,74411.0,452.0,1.03202289,65596.37205,145.1247169,0.6351,32.5373,258.185010401044,KALANGALA,0.1772685867555358,1.049734608033659,0.118,3,False,-0.4589292558225524,0.129,False,False
NTUNGAMO,Ntungamo,"540,800",540800.0,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,Ankole,Ntungamo District,23,23,46,7371,6244,13615,12862,8564,21426,2968,2512,5480,2263,2141,4404,22,20,42,6831,5857,12688,11468,7491,18959,1962,1864,3826,2687,2298,4985,40500,22,20,42,6767,5827,12594,11703,7943,19646,1987,1933,3920,2630,2310,4940,142,517,659,25487,19484,44971,2286,2164,4450,483841.0,552786.0,1999.0,1.013410587,524101.3617,262.1817718,0.9807,30.2513,77.27512836187313,NTUNGAMO,0.7076677083587207,1.9984908296628405,0.002,3,True,-0.7938676191130741,0.002,False,True
MBARARA,Mbarara,"390,700",390700.0,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,Ankole,Mbarara District,2,1,3,1178,967,2145,2484,1787,4271,664,633,1297,690,707,1397,1,0,1,954,809,1763,2102,1471,3573,573,586,1159,528,510,1038,7534,1,0,1,939,796,1735,2081,1465,3546,567,585,1152,515,502,1017,47,137,184,5018,4095,9113,692,708,1400,145838.0,174039.0,773.0,1.017835486,162157.1966,209.7764509,0.6121,30.6373,46.461089350134955,MBARARA,0.6150077642690521,1.5852453986833357,0.016,3,True,-0.6314256203617804,0.022,False,True
MITOOMA,Mitooma,"194,300",194300.0,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,Ankole,Mitooma District,2,7,9,5616,4439,10055,9057,4499,13556,2560,2149,4709,2356,1923,4279,0,4,4,4907,3860,8767,7385,3836,11221,1946,1619,3565,2215,1890,4105,27662,0,4,4,5270,4175,9445,8170,4138,12308,2102,1722,3824,2382,2032,4414,72,280,352,19591,13017,32608,2358,1930,4288,183444.0,226009.0,544.0,1.021085766,207910.702,382.1887905,0.6193,30.0203,133.04750421168796,MITOOMA,0.6689355326442403,1.8857475990120294,0.002,3,True,-0.906912752286985,0.002,False,True
NAKASONGOLA,Nakasongola,"215,200",215200.0,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,North Central,Nakasongola District,53,30,83,19669,15399,35068,21313,15301,36614,15438,13886,29324,16932,15985,32917,42,19,61,18593,14516,33109,19834,14122,33956,15786,14979,30765,14490,12987,27477,125368,41,17,58,18421,15120,33541,19662,13384,33046,15669,15944,31613,14394,12877,27271,466,1576,2042,73405,60601,134006,16985,16015,33000,181795.0,226074.0,3314.0,1.022037588,207196.8482,62.52168021,1.349,32.4467,605.0671189698145,NAKASONGOLA,-0.020074298528439942,-0.0684712513668539,0.45,4,False,-0.029410326249983413,0.455,False,False
MUBENDE,Mubende,"554,800",554800.0,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,North Central,Mubende District,64,71,135,23725,16385,40110,33131,20244,53375,13555,11285,24840,12994,11355,24349,61,71,132,22957,16037,38994,31765,19286,51051,12477,10892,23369,12999,10890,23889,137435,62,70,132,23041,16023,39064,31981,19161,51142,12549,11006,23555,13089,10956,24045,839,2165,3004,83469,59340,142809,13058,11426,24484,412804.0,522015.0,2711.0,1.023749985,475233.8295,175.298351,0.449,31.3542,289.1944795777633,MUBENDE,0.07774612942763355,0.7096445236955975,0.239,3,False,-0.2605890188213107,0.275,False,False
BUVUMA,Buvuma,"128,900",128900.0,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,North Central,Buvuma District,4,2,6,2909,1886,4795,5199,3140,8339,2301,1883,4184,3677,3419,7096,4,2,6,2888,1869,4757,5171,3123,8294,3633,3387,7020,2273,1875,4148,24225,4,2,6,2886,1875,4761,5267,3042,8309,3617,3364,6981,2277,1863,4140,202,470,672,14090,10330,24420,3681,3421,7102,8989.0,110832.0,296.0,1.285568963,40577.34751,137.0856335,0.3765,33.2588,597.007973328713,BUVUMA,-0.17861030751510687,-0.6314626820652245,0.281,4,False,-0.30865986698491066,0.283,False,False
KABERAMAIDO,Kaberamaido,"132,700",132700.0,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,Teso,Kaberamaido District,17,13,30,7809,4730,12539,8009,3241,11250,4075,3180,7255,3706,3242,6948,17,13,30,7484,4601,12085,7620,3059,10679,3580,3113,6693,3954,3106,7060,36547,17,13,30,7403,4556,11959,7568,3028,10596,3560,3099,6659,3961,3098,7059,314,542,856,23616,14406,38022,3723,3255,6978,105152.0,140986.0,689.0,1.02975959,125381.2538,181.9756949,1.6325,0.0,291.48695592323065,KABERAMAIDO,0.11361087458860256,0.796239394960169,0.207,3,False,-0.38804752495143763,0.206,False,False
SOROTI,Soroti,"363,600",363600.0,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,Teso,Soroti District,37,31,68,18872,8274,27146,22764,7357,30121,9626,7046,16672,10124,9320,19444,31,28,59,18489,7997,26486,21831,7011,28842,9942,9182,19124,9345,6828,16173,90684,31,28,59,18309,7800,26109,21560,6912,28472,9767,8941,18708,9189,6790,15979,1316,2519,3835,61423,32028,93451,10161,9351,19512,198332.0,266189.0,1034.0,1.029863654,236630.7495,228.8498545,1.7229,33.528,383.2299909948939,SOROTI,-0.0035827960127932665,-0.24305488049283638,0.35,2,False,0.10369557358897631,0.331,False,False
