dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+  (B/S &RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
NAKASONGOLA,Nakasongola,"215,200",215200.0,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,North Central,Nakasongola District,58,34,92,10300,7464,17764,13037,9234,22271,6829,5788,12617,8218,8088,16306,30,9,39,9607,6906,16513,11770,7957,19727,7370,7213,14583,6213,5395,11608,62470,48,9,57,9813,7154,16967,11764,11575,23339,7495,7439,14934,6467,5481,11948,354,1170,1524,38442,30608,69050,8276,8122,16398,181795.0,226074.0,3314.0,1.022037588,211762.967,63.89950725,1.349,32.4467,294.9996445790259,NAKASONGOLA,0.04028728930762756,0.8385886982005618,0.174,3,False,-0.31327861919136885,0.177,False,False
MUBENDE,Mubende,"554,800",554800.0,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,North Central,Mubende District,15,12,27,11312,8370,19682,19387,13274,32661,5413,4559,9972,5551,4932,10483,15,11,26,10799,9052,19851,18382,12301,30683,5213,4644,9857,4916,4223,9139,69556,15,11,26,10635,7038,17673,18052,12134,30186,5204,4665,9869,4922,4235,9157,429,1012,1441,41678,31147,72825,5566,4944,10510,412804.0,522015.0,2711.0,1.023749985,486520.626,179.4616842,0.449,31.3542,142.96618947456506,MUBENDE,0.1984361365913673,0.8184234249227759,0.184,3,False,-0.30480356335521086,0.184,False,False
BUVUMA,Buvuma,"128,900",128900.0,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,North Central,Buvuma District,1,2,3,2844,1663,4507,5993,3253,9246,1885,1532,3417,3456,3054,6510,1,2,3,2801,1637,4438,5820,3161,8981,3360,2941,6301,1855,1513,3368,23091,1,2,3,2819,1646,4465,5754,3182,8936,3393,2994,6387,1867,1510,3377,226,455,681,14179,9504,23683,3457,3056,6513,8989.0,110832.0,296.0,1.285568963,52164.97857,176.2330357,0.3765,33.2588,442.6533017552048,BUVUMA,-0.15678539991485177,-0.8004566254823402,0.182,4,False,-0.3999602879308009,0.174,False,False
KABERAMAIDO,Kaberamaido,"132,700",132700.0,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,Teso,Kaberamaido District,20,3,23,15630,8646,24276,14706,5369,20075,8163,6736,14899,9487,8704,18191,20,3,23,14795,8307,23102,14715,4999,19714,9044,8221,17265,7840,6402,14242,74346,20,3,23,15181,8381,23562,13941,5012,18953,9162,8359,17521,7922,6527,14449,743,1273,2016,48006,29458,77464,9507,8707,18214,105152.0,140986.0,689.0,1.02975959,129112.5485,187.391217,1.6325,0.0,575.8231935139905,KABERAMAIDO,0.16484284926022608,0.4062697121492454,0.265,1,False,0.19924874183133723,0.246,False,False
SOROTI,Soroti,"363,600",363600.0,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,Teso,Soroti District,24,25,49,20058,8227,28285,24422,7736,32158,8636,6681,15317,8646,7912,16558,22,23,45,20048,8227,28275,24419,7734,32153,8646,7923,16569,8636,6688,15324,92366,22,23,45,19588,8067,27655,24056,7626,31682,8523,7805,16328,8513,6599,15112,2206,4108,6314,61786,30581,92367,8670,7937,16607,198332.0,266189.0,1034.0,1.029863654,243697.4084,235.6841474,1.7229,33.528,379.0192132383793,SOROTI,0.04615793864592169,0.6466198336337615,0.185,1,False,0.27932845875566076,0.186,False,False
BUNYANGABU,Bunyangabu,"195,100",195100.0,KABAROLE,KABAROLE,BUNYANGABU,BUNYANGABU,BUNYANGABU,BUNYANGABU,Tooro,Bunyangabu District,5,0,5,2210,1953,4163,3535,2766,6301,1193,1054,2247,1283,1252,2535,6,7,13,2089,1840,3929,3310,2606,5916,1179,1161,2340,1150,1006,2156,14354,6,0,6,1932,1718,3650,3175,2507,5682,1108,1124,2232,1084,938,2022,66,151,217,8226,7025,15251,1288,1252,2540,170247.0,219012.0,466.0,1.025507508,203072.6229,435.7781606,0.4871,30.2051,70.68407250084324,BUNYANGABU,0.25489867477106737,0.4919406063120155,0.326,3,False,-0.28578531277996966,0.319,False,False
IBANDA,Ibanda,"277,300",277300.0,IBANDA,IBANDA,IBANDA,IBANDA,IBANDA,IBANDA,Ankole,Ibanda District,7,8,15,19716,14786,34502,35514,21555,57069,8361,7016,15377,7151,6277,13428,1,5,6,17856,13681,31537,31713,18865,50578,6386,5547,11933,7609,6147,13756,107810,1,5,6,17365,13277,30642,30857,18520,49377,6279,5388,11667,7502,6035,13537,305,791,1096,70749,49642,120391,7158,6285,13443,249625.0,309466.0,622.0,1.021721392,290145.2616,466.4714816,0.0966,30.4818,371.5724992560071,IBANDA,-0.07596310705717328,-1.465634925904008,0.026,4,True,-0.5421858118176766,0.027,False,True
WAKISO,Wakiso,"2,915,200",2915200.0,WAKISO,WAKISO,WAKISO,WAKISO,WAKISO,WAKISO,South Central,Wakiso District,654,577,1231,32041,26185,58226,75301,53852,129153,21223,20772,41995,27478,26158,53636,315,229,544,23072,19383,42455,50271,35251,85522,17831,16499,34330,14787,13299,28086,190937,263,188,451,23613,19588,43201,51219,36982,88201,18122,16758,34880,14706,13287,27993,981,4008,4989,156697,127544,284241,28132,26735,54867,1997418.0,3411177.0,1884.0,1.054978307,2905184.15,1542.029804,0.063,32.4467,65.72285615698407,WAKISO,0.5421947865447213,1.5905938255373078,0.02,3,True,-0.5893510404463146,0.017,False,True
AMOLATAR,Amolatar,"170,100",170100.0,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,Lango,Amolatar District,3,5,8,13572,8032,21604,15140,6861,22001,7990,7019,15009,7601,7285,14886,3,5,8,13571,8032,21603,15040,6860,21900,7601,7275,14876,7990,7019,15009,73396,3,5,8,13364,7951,21315,14955,6829,21784,7536,7213,14749,7928,6953,14881,430,818,1248,44306,29202,73508,7604,7290,14894,147166.0,188715.0,1163.0,1.025179454,175148.6284,150.6007123,1.6054,32.8084,419.0498131243145,AMOLATAR,0.0027451036216909093,0.04580372711071914,0.41,1,False,0.011229683891128866,0.398,False,False
LAMWO,Lamwo,"143,800",143800.0,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,Acholi,Lamwo District,25,22,47,43426,28582,72008,27793,10158,37951,19503,16514,36017,19376,18936,38312,24,18,42,42917,28293,71210,27235,10040,37275,19163,18763,37926,19308,16402,35710,182163,24,18,42,42097,28178,70275,27205,10015,37220,18988,18688,37676,19296,16364,35660,875,1932,2807,110123,74212,184335,19401,18958,38359,134371.0,213156.0,5588.0,1.047223071,185600.8488,33.21418196,3.491,32.808,981.4771924685293,LAMWO,2.4513278975646284,2.268553017372232,0.029,1,True,1.1132905911820117,0.037,True,False
KAABONG,Kaabong,"125,400",125400.0,KAABONG,KAABONG,KAABONG,KAABONG,KAABONG,KAABONG,Karamoja,Kaabong District,181,114,295,5302,3805,9107,11093,5919,17012,3060,2797,5857,8421,8039,16460,13,18,31,5191,3721,8912,10646,5700,16346,8233,7899,16132,3006,2665,5671,47092,13,18,31,5178,3708,8886,10582,5668,16250,8229,7894,16123,2988,2657,5645,137,1131,1268,28057,20674,48731,8602,8153,16755,116646.0,264631.0,4751.0,1.085368184,206970.9808,43.56366677,3.5696,34.242,227.5294817562173,KAABONG,-0.12253887919595874,-0.6193853776203995,0.186,2,False,0.3323626668346877,0.2,False,False
IGANGA,Iganga,"402,600",402600.0,IGANGA,IGANGA,IGANGA,IGANGA,IGANGA,IGANGA,Busoga,Iganga District,34,19,53,30037,18056,48093,53929,26054,79983,18151,14109,32260,25978,22825,48803,30,18,48,28974,17169,46143,51858,24688,76546,25065,22211,47276,17473,13484,30957,200970,29,17,46,28196,16631,44827,50548,23515,74063,24647,21666,46313,16915,13100,30015,1871,4206,6077,128129,81063,209192,26012,22844,48856,339311.0,426958.0,633.0,1.023242857,398518.9621,629.57182,0.7236,33.4832,504.2921896137298,IGANGA,0.17772553498037608,0.6934619991065993,0.175,1,False,0.29825530146572854,0.17,False,False
NAMAYINGO,Namayingo,"237,000",237000.0,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,Busoga,Namayingo District,28,16,44,20574,12639,33213,36963,19931,56894,14135,11191,25326,21691,19666,41357,28,13,41,20190,12194,32384,36024,19350,55374,20789,18846,39635,13687,10806,24493,151927,28,13,41,20487,12378,32865,36607,19731,56338,21209,19049,40258,13922,10978,24900,1828,3131,4959,93391,63443,156834,21719,19682,41401,215443.0,266716.0,587.0,1.021578321,250169.3297,426.1828444,0.3426,33.8411,607.2966665505679,NAMAYINGO,0.019078572146379282,0.0652786591705391,0.393,1,False,0.026980770914746266,0.393,False,False
RUKUNGIRI,Rukungiri,"333,800",333800.0,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,Kigezi,Rukungiri District,3,2,5,7142,5861,13003,10124,7154,17278,2950,2593,5543,3206,2973,6179,2,18,20,6830,5679,12509,9168,6787,15955,2989,2766,5755,2807,2491,5298,39537,2,2,4,6780,5623,12403,9041,6679,15720,2946,2757,5703,2784,2479,5263,109,390,499,23425,18583,42008,3209,2975,6184,314694.0,376110.0,1381.0,1.017987961,356522.5098,258.1625705,0.7518,29.9278,110.89622369757029,RUKUNGIRI,0.6518412251100855,2.2913559517171023,0.001,3,True,-0.8483101961465278,0.002,False,True
PAKWACH,Pakwach,"196,800",196800.0,NEBBI,NEBBI,PAKWACH,PAKWACH,PAKWACH,PAKWACH,West Nile,Pakwach District,74,63,137,18477,8693,27170,20904,8557,29461,10181,7819,18000,17651,16701,34352,76,60,136,16651,7813,24464,18709,7914,26623,16601,15545,32146,9191,7006,16197,99566,73,63,136,17835,8372,26207,20273,8336,28609,17093,16135,33228,9864,7550,17414,1128,2172,3300,67287,41833,109120,17725,16764,34489,158037.0,206961.0,877.0,1.027337104,190875.2386,217.6456541,2.4738,31.3999,521.6286865194257,PAKWACH,0.3949826857336462,1.3733864394169217,0.066,1,False,0.5983775738479853,0.066,False,False
RUBANDA,Rubanda,"208,500",208500.0,KABALE,KABALE,RUBANDA,RUBANDA,RUBANDA,RUBANDA,Kigezi,Rubanda District,0,0,0,138,253,391,582,1167,1749,38,55,93,104,87,191,0,0,0,134,245,379,559,1157,1716,100,83,183,33,51,84,2362,0,0,0,130,238,368,539,1130,1669,98,80,178,33,49,82,14,19,33,862,1562,2424,104,87,191,196896.0,249454.0,660.0,1.023942002,232361.6216,352.063063,1.1517,29.8352,10.165189861112589,RUBANDA,1.021088092368136,2.137183607638237,0.001,3,True,-0.9171064664858694,0.001,False,True
LUUKA,Luuka,"267,100",267100.0,LUUKA,LUUKA,LUUKA,LUUKA,LUUKA,LUUKA,Busoga,Luuka District,43,41,84,23881,12104,35985,40827,16571,57398,15656,11097,26753,24186,20372,44558,43,41,84,23872,12046,35918,40784,16544,57328,24151,20353,44504,15629,11074,26703,164537,43,41,84,23869,11965,35834,40553,16511,57064,24120,20333,44453,15610,10992,26602,2072,5165,7237,104593,60185,164778,24229,20413,44642,238020.0,298639.0,650.0,1.02294741,278988.6922,429.2133727,0.7251,33.3037,589.7622541706728,LUUKA,0.22491692068925362,0.6930863421978651,0.176,1,False,0.255770422771045,0.167,False,False
KOLE,Kole,"284,300",284300.0,KOLE,KOLE,KOLE,KOLE,KOLE,KOLE,Lango,Kole District,5,8,13,14158,5978,20136,19316,7020,26336,5803,4079,9882,10717,9706,20423,5,7,12,14142,5966,20108,19248,6992,26240,10696,9668,20364,5788,4063,9851,76575,5,7,12,14141,5966,20107,19246,6992,26238,10695,9667,20362,5787,4063,9850,1969,4340,6309,49999,26791,76790,10722,9714,20436,239327.0,294301.0,1073.0,1.020892478,276599.7132,257.7816526,2.3031,0.0,276.8441048405252,KOLE,0.02842930719424773,0.29596654543595274,0.428,3,False,-0.14894550493559172,0.409,False,False
KALIRO,Kaliro,"288,500",288500.0,KALIRO,KALIRO,KALIRO,KALIRO,KALIRO,KALIRO,Busoga,Kaliro District,46,39,85,12549,6560,19109,26866,13294,40160,7617,5271,12888,15155,13371,28526,44,37,81,12523,6547,19070,26757,13269,40026,15098,13316,28414,7587,5262,12849,100440,44,37,81,12431,6491,18922,26488,13158,39646,15034,13259,28293,7570,5242,12812,3339,5615,8954,62233,38535,100768,15201,13410,28611,286397.0,236199.0,779.0,0.980914059,250256.3912,321.2533905,0.8927,33.5028,401.3483912174308,KALIRO,0.07626985334245531,0.847177277269271,0.146,1,False,0.313960256216858,0.143,False,False
OMORO,Omoro,"196,400",196400.0,GULU,OMORO,OMORO,OMORO,OMORO,OMORO,Acholi,Omoro District,22,9,31,23022,10602,33624,21853,6638,28491,9999,7595,17594,12325,10899,23224,20,8,28,22374,10461,32835,20812,6465,27277,12033,10656,22689,9858,7508,17366,100195,20,8,28,22199,10390,32589,20513,6384,26897,12909,10536,23445,9805,7468,17273,1239,2850,4089,67221,35743,102964,12347,10908,23255,142875.0,207339.0,1483.0,1.037940541,185422.9869,125.032358,2.7152,32.492,540.3591090571522,OMORO,0.4251071219493728,1.5620629818823268,0.053,1,False,0.5869835651204135,0.066,False,False
RUKIGA,Rukiga,"105,400",105400.0,KABALE,KABALE,RUKIGA,RUKIGA,RUKIGA,RUKIGA,Kigezi,Rukiga District,0,0,0,894,774,1668,1203,947,2150,468,409,877,424,400,824,0,0,0,875,769,1644,1166,925,2091,420,390,810,464,401,865,5410,0,0,0,774,675,1449,1050,831,1881,359,322,681,385,336,721,3,35,38,2989,2530,5519,424,400,824,100726.0,132355.0,426.0,1.027684666,121944.0804,286.2537099,1.1326,30.0434,44.364597135458816,RUKIGA,0.9815476219699122,2.0132326418625657,0.001,3,True,-0.984026160659934,0.002,False,True
AMURU,Amuru,"216,800",216800.0,AMURU,AMURU,AMURU,AMURU,AMURU,AMURU,Acholi,Amuru District,11,11,22,26380,13275,39655,24407,9129,33536,12013,9420,21433,14648,13927,28575,11,10,21,25422,12986,38408,22529,8402,30931,14178,13478,27656,11757,9150,20907,117923,10,10,20,25104,12815,37919,22111,8261,30372,13974,13297,27271,11640,9050,20690,768,1352,2120,77459,45762,123221,14659,13938,28597,186696.0,247574.0,3619.0,1.028624826,227475.1853,62.85581245,3.1042,32.0837,518.3994018709345,AMURU,1.3296214151150099,5.568019691258345,0.001,1,True,2.0369618147515944,0.001,True,False
KITGUM,Kitgum,"223,600",223600.0,KITGUM,KITGUM,KITGUM,KITGUM,KITGUM,KITGUM,Acholi,Kitgum District,36,24,60,26680,14109,40789,24974,8931,33905,12018,9612,21630,15799,15589,31388,31,17,48,25760,13561,39321,23195,8455,31650,15022,14859,29881,11539,9161,20700,121600,25,17,42,25331,13445,38776,23135,8438,31573,14999,14819,29818,11461,9150,20611,1041,1691,2732,79507,48265,127772,15835,15613,31448,204048.0,239655.0,4391.0,1.016214565,228365.371,52.00759985,3.3397,33.1689,532.48003174702,KITGUM,0.7681575900322383,2.5584083553311507,0.034,1,True,1.0971541746846305,0.036,True,False
KANUNGU,Kanungu,"277,300",277300.0,KANUNGU,KANUNGU,KANUNGU,KANUNGU,KANUNGU,KANUNGU,Kigezi,Kanungu District,8,8,16,10267,8108,18375,14192,8964,23156,4285,3520,7805,4341,3761,8102,11,5,16,9841,7761,17602,13411,8508,21919,4192,3648,7840,4161,3409,7570,54947,11,5,16,9995,7855,17850,13759,8683,22442,4186,3673,7859,4161,3433,7594,156,516,672,33093,24361,57454,4349,3769,8118,252144.0,310062.0,1275.0,1.020892447,291412.7654,228.5590317,0.8195,0.0,188.5538539280476,KANUNGU,0.5069609535918215,1.8526447714899656,0.001,3,True,-1.0130886274411883,0.002,False,True
ZOMBO,Zombo,"283,100",283100.0,ZOMBO,ZOMBO,ZOMBO,ZOMBO,ZOMBO,ZOMBO,West Nile,Zombo District,23,19,42,16038,9930,25968,22005,9543,31548,8409,7044,15453,15908,14975,30883,5,4,9,15611,9724,25335,20533,9039,29572,14880,14001,28881,8232,6912,15144,98941,4,4,8,15305,9104,24409,19375,8502,27877,14137,13279,27416,7823,6569,14392,652,1124,1776,62383,41511,103894,15931,14994,30925,240081.0,312621.0,939.0,1.02675313,288815.1967,307.5774193,2.4882,30.8499,342.57546393160413,ZOMBO,0.036147582041022995,1.4370856185138565,0.054,1,False,0.9505591897021005,0.068,False,False
JINJA,Jinja,"515,100",515100.0,JINJA,JINJA,JINJA,JINJA,JINJA,JINJA,Busoga,Jinja District,38,26,64,16497,9211,25708,31265,15108,46373,11286,8339,19625,18488,15081,33569,34,24,58,15670,8742,24412,28949,14175,43124,17465,14257,31722,10842,7994,18836,118152,34,23,57,15415,8672,24087,28504,14027,42531,17159,14004,31163,10675,7916,18591,845,1804,2649,77574,47765,125339,18526,15107,33633,224168.0,280905.0,499.0,1.022818525,262520.7968,526.0937812,0.5349,33.2139,450.0672001617206,JINJA,0.08139234493308987,0.4587710089568186,0.258,1,False,0.19912185504389318,0.227,False,False
YUMBE,Yumbe,"663,600",663600.0,YUMBE,YUMBE,YUMBE,YUMBE,YUMBE,YUMBE,West Nile,Yumbe District,49,52,101,66544,40191,106735,95463,24810,120273,44407,36565,80972,67720,64500,132220,40,39,79,63722,38122,101844,67085,23388,90473,64864,62338,127202,41578,34135,75713,395311,40,56,96,62955,37641,100596,66144,23045,89189,63872,61007,124879,41259,33624,74883,2389,4689,7078,274183,166118,440301,67769,64552,132321,484822.0,945100.0,2323.0,1.069029142,773586.9412,333.012028,3.4698,31.2483,511.0104358623059,YUMBE,0.957566518522346,3.5651536991085595,0.016,1,True,1.5282766000007895,0.015,True,False
BUYENDE,Buyende,"414,600",414600.0,BUYENDE,BUYENDE,BUYENDE,BUYENDE,BUYENDE,BUYENDE,Busoga,Buyende District,57,49,106,8446,4311,12757,14990,6982,21972,5733,4484,10217,12751,12098,24849,57,49,106,8445,4314,12759,15233,6981,22214,12749,12099,24848,5733,4484,10217,70144,57,49,106,8445,4311,12756,14990,6981,21971,12751,12090,24841,5733,4484,10217,2784,4775,7559,41977,27924,69901,12808,12147,24955,323067.0,403486.0,1379.0,1.022477093,377457.1956,273.7180534,1.2414,33.1239,185.83299197277245,BUYENDE,-0.1343792190917179,-0.7001724317506717,0.174,2,False,0.2587714106569046,0.169,False,False
KISORO,Kisoro,"315,400",315400.0,KISORO,KISORO,KISORO,KISORO,KISORO,KISORO,Kigezi,Kisoro District,1,1,2,517,605,1122,1718,1751,3469,254,213,467,430,405,835,1,0,1,410,532,942,1336,1554,2890,269,265,534,218,187,405,4772,1,0,1,404,523,927,1326,1523,2849,267,262,529,216,183,399,2,23,25,2920,2975,5895,431,406,837,281705.0,433662.0,690.0,1.044084579,381016.9748,552.1985142,1.1539,29.6499,12.524376381143846,KISORO,0.9144374193738688,1.2681887921244075,0.043,3,True,-0.8280887752418153,0.044,False,True
NAKAPIRIPIRIT,Nakapiripirit,"113,300",113300.0,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,Karamoja,Nakapiripirit District,47,73,120,5823,4088,9911,10799,8246,19045,4774,4045,8819,14145,13535,27680,8,19,27,5423,3830,9253,8597,7123,15720,13187,12551,25738,4599,3910,8509,59247,7,20,27,5341,3790,9131,8403,7025,15428,12960,12319,25279,4553,3842,8395,325,624,949,35588,29987,65575,14192,13608,27800,88281.0,111681.0,2641.0,1.023790759,104074.8225,39.40735423,1.7013,34.5971,569.2731303961629,NAKAPIRIPIRIT,-0.1646959974058446,-0.5198231754887439,0.324,4,False,-0.19180298819297725,0.342,False,False
GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU,GULU,Acholi,Gulu District,9,6,15,21288,10150,31438,19811,6445,26256,9564,7217,16781,11003,10114,21117,9,6,15,18755,8959,27714,17022,5824,22846,9880,9059,18939,8508,6474,14982,84496,9,5,14,20648,9888,30536,19061,6310,25371,10687,9764,20451,9304,6990,16294,1028,1737,2765,61675,33932,95607,11012,10120,21132,108428.0,135373.0,1721.0,1.022442893,126652.8222,73.59257535,2.955,32.4467,667.1466022807663,GULU,1.5984735987062286,2.840339782111833,0.028,1,True,1.373229793748537,0.035,True,False
BUKOMANSIMBI,Bukomansimbi,"156,600",156600.0,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,South Central,Bukomansimbi District,4,1,5,3616,3156,6772,5218,2924,8142,2400,2257,4657,2866,2824,5690,4,59,63,3606,3152,6758,5206,2921,8127,2871,2826,5697,2398,2250,4648,25293,4,1,5,3618,3145,6763,5216,2916,8132,2875,2821,5696,2426,2268,4694,79,325,404,14104,11162,25266,2870,2825,5695,151413.0,197568.0,600.0,1.026964294,182410.81,304.0180166,0.1433,31.6055,138.6595454512811,BUKOMANSIMBI,0.18470831118320286,0.6373994507947931,0.247,3,False,-0.2779645683322706,0.257,False,False
DOKOLO,Dokolo,"215,500",215500.0,DOKOLO,DOKOLO,DOKOLO,DOKOLO,DOKOLO,DOKOLO,Lango,Dokolo District,14,10,24,20098,8711,28809,24031,6910,30941,10773,8063,18836,14315,12315,26630,14,9,23,18837,8143,26980,22332,6194,28526,13490,11588,25078,10163,7599,17762,98369,14,8,22,18602,7961,26563,22127,6360,28487,13342,11397,24739,9939,7342,17281,1416,2282,3698,69231,36009,105240,14329,12325,26654,183093.0,215625.0,1004.0,1.016489126,205300.9225,204.4829906,1.9131,33.1717,479.1454358905767,DOKOLO,0.09657917606074595,0.5279376559617133,0.236,1,False,0.1906366416978416,0.22,False,False
KWEEN,Kween,"109,500",109500.0,KWEEN,KWEEN,KWEEN,KWEEN,KWEEN,KWEEN,Bugisu,Kween District,5,2,7,2220,2251,4471,4548,3411,7959,921,820,1741,811,715,1526,4,2,6,1909,2068,3977,3616,3011,6627,617,545,1162,792,747,1539,13311,4,2,6,1858,2027,3885,3503,2908,6411,595,524,1119,772,730,1502,22,83,105,8505,7199,15704,816,717,1533,93667.0,129277.0,851.0,1.032745867,117365.6123,137.9149381,1.4126,34.5528,113.41482176206395,KWEEN,0.297697645309452,1.058108313995712,0.105,3,False,-0.39490623486027304,0.097,False,False
SERERE,Serere,"359,500",359500.0,SERERE,SERERE,SERERE,SERERE,SERERE,SERERE,Teso,Serere District,8,6,14,21993,10075,32068,20569,6329,26898,11431,8844,20275,9277,8986,18263,7,6,13,21618,9996,31614,19662,6138,25800,9003,8636,17639,11345,8775,20120,95186,7,6,13,21184,9878,31062,19280,6056,25336,8879,8516,17395,11181,8634,19815,1056,1891,2947,63278,34240,97518,9285,8992,18277,285903.0,358123.0,1495.0,1.022777935,334725.0102,223.8963279,1.4994,33.549,284.37074344437497,SERERE,-0.02534052063155822,-0.4282894678869648,0.273,2,False,0.15114486644646621,0.254,False,False
AMURIA,Amuria,"225,000",225000.0,AMURIA,AMURIA,AMURIA,AMURIA,AMURIA,AMURIA,Teso,Amuria District,25,20,45,19750,8627,28377,19801,6933,26734,8714,6137,14851,7704,7397,15101,23,18,41,19463,8566,28029,19399,6857,26256,7575,7288,14863,8636,6107,14743,83932,23,18,41,19209,8450,27659,19117,6768,25885,7498,7200,14698,8536,6020,14556,728,1326,2054,55994,29114,85108,7729,7417,15146,183348.0,251653.0,1383.0,1.032173235,228846.53,165.471099,2.0302,33.6428,366.7610778280099,AMURIA,0.0396631288395351,0.7686224492565751,0.158,1,False,0.3235106680205681,0.158,False,False
ADJUMANI,Adjumani,"235,900",235900.0,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,West Nile,Adjumani District,24,15,39,63279,44827,108106,60259,26891,87150,37122,29949,67071,45284,42358,87642,12,13,25,61302,43442,104744,56951,25619,82570,43590,40939,84529,35920,29501,65421,337289,12,12,24,61216,43362,104578,56278,25400,81678,43501,40583,84084,35651,28580,64231,1226,3460,4686,205968,144040,350008,45308,42373,87681,107966.0,144084.0,2301.0,1.029278437,132134.7761,57.42493529,3.2549,31.7195,2552.6133994031875,ADJUMANI,13.200633344863206,4.760843860340536,0.001,1,True,2.368641053137628,0.001,True,False
KYEGEGWA,Kyegegwa,"441,000",441000.0,KYEGEGWA,KYEGEGWA,KYEGEGWA,KYEGEGWA,KYEGEGWA,KYEGEGWA,Tooro,Kyegegwa District,81,22,103,14159,10395,24554,24286,14256,38542,8638,7654,16292,10472,9456,19928,66,16,82,12885,9327,22212,21914,13057,34971,9343,8793,18136,7872,6955,14827,90228,66,16,82,13392,9972,23364,22650,13654,36304,9944,9045,18989,8255,7219,15474,750,2081,2831,57636,41783,99419,10553,9478,20031,281637.0,501120.0,1882.0,1.059315197,421566.5349,223.9992215,0.4818,31.055,214.03027168986037,KYEGEGWA,0.1731268193489793,1.0749351208527897,0.1,3,False,-0.42223437569441813,0.102,False,False
KYENJOJO,Kyenjojo,"525,400",525400.0,KYENJOJO,KYENJOJO,KYENJOJO,KYENJOJO,KYENJOJO,KYENJOJO,Tooro,Kyenjojo District,65,36,101,13877,9321,23198,19859,12487,32346,6223,5385,11608,8516,8008,16524,35,29,64,12936,8844,21780,17634,11359,28993,7909,7355,15264,5865,5070,10935,77036,31,28,59,12940,8876,21816,17596,11357,28953,7911,7347,15258,5901,5100,11001,415,856,1271,48540,35237,83777,8581,8044,16625,422204.0,543998.0,2352.0,1.025669629,504167.4637,214.3569148,0.6093,30.6401,152.79843612803924,KYENJOJO,0.27369622855657777,1.0215221539679018,0.113,3,False,-0.44093745195706147,0.115,False,False
