dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+  (B/S &RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
LUWERO,Luwero,"523,600",523600.0,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,North Central,Luwero District,160,115,275,22026,18714,40740,27776,17224,45000,12982,12529,25511,13311,12179,25490,78,92,170,20265,17405,37670,25287,15885,41172,11503,11223,22726,12097,11621,23718,125456,70,111,181,20161,17259,37420,25067,15728,40795,11417,11298,22715,12002,11622,23624,943,2760,3703,76255,60761,137016,13471,12294,25765,456958.0,616242.0,2216.0,1.030356466,563363.6111,254.2254563,0.8271,0.0,222.69098949262965,LUWERO,0.19532230887070776,1.155891243381091,0.068,3,False,-0.5132601339921771,0.08,False,False
MPIGI,Mpigi,"286,600",286600.0,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,South Central,Mpigi District,12,11,23,3252,2735,5987,7646,5940,13586,1505,1416,2921,2056,1998,4054,7,11,18,3055,2619,5674,6936,5415,12351,1849,1826,3675,1408,1359,2767,24485,6,11,17,2936,2560,5496,6618,5281,11899,1755,1743,3498,1349,1311,2660,77,402,479,14471,12100,26571,2068,2009,4077,250548.0,326690.0,1204.0,1.026891337,301691.0112,250.5739296,0.2274,32.3249,81.15919630024429,MPIGI,0.44386079906892006,1.2669566939654964,0.057,3,False,-0.5125022958957514,0.045,False,True
KAYUNGA,Kayunga,"407,700",407700.0,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,North Central,Kayunga District,16,19,35,14895,9052,23947,22324,11875,34199,8105,6515,14620,12079,11362,23441,16,39,55,14765,8985,23750,22190,11839,34029,11958,11266,23224,8039,6457,14496,95554,16,18,34,14617,8858,23475,21899,11614,33513,11770,11136,22906,7927,6394,14321,1156,2546,3702,57419,38823,96242,12095,11381,23476,368062.0,439175.0,1596.0,1.017821599,416507.3038,260.9694886,0.7014,32.9029,229.41734545400305,KAYUNGA,0.01790439766462264,0.12816408603865279,0.483,3,False,-0.05252322633129758,0.474,False,False
KYANKWANZI,Kyankwanzi,"282,800",282800.0,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,North Central,Kyankwanzi District,11,7,18,5878,3820,9698,10539,5337,15876,3353,2920,6273,4434,4304,8738,9,5,14,5270,3516,8786,8316,6388,14704,3997,3902,7899,3075,2686,5761,37164,9,5,14,5069,3380,8449,7913,4397,12310,3803,3715,7518,2986,2564,5550,1608,1067,2675,24215,16388,40603,4445,4311,8756,214693.0,278432.0,2455.0,1.026337332,257542.4177,104.9052618,1.2061,31.8164,144.30244280493918,KYANKWANZI,0.32544222004177237,1.3415578568201343,0.048,3,True,-0.5002008666026577,0.042,False,True
KIBOGA,Kiboga,"171,200",171200.0,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,North Central,Kiboga District,1,5,6,6139,12661,18800,10088,6987,17075,3609,3318,6927,4347,4339,8686,1,5,6,6037,5343,11380,9624,6693,16317,4116,4003,8119,3528,3241,6769,42591,1,5,6,5928,5186,11114,9416,6633,16049,4048,3961,8009,3487,3168,6655,182,569,751,24184,27310,51494,4348,4344,8692,148218.0,183255.0,1586.0,1.02144618,171952.8458,108.4191966,0.8658,31.9473,247.68999781217926,KIBOGA,0.1451771654659374,0.9776846353461063,0.115,3,False,-0.49429675689561164,0.118,False,False
MUKONO,Mukono,"701,400",701400.0,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,North Central,Mukono District,54,40,94,17074,13330,30404,29460,17924,47384,10224,8865,19089,11246,10704,21950,37,21,58,16369,12766,29135,27539,16874,44413,10495,9993,20488,9809,8445,18254,112348,35,19,54,15943,12449,28392,26761,16424,43185,10305,9807,20112,9596,8282,17878,593,2443,3036,68058,50863,118921,11300,10744,22044,596804.0,929224.0,1831.0,1.045270922,813642.8462,444.3707516,0.2835,0.0,138.08024064207643,MUKONO,0.2852450540547158,1.135917620183307,0.086,3,False,-0.4252814157711032,0.084,False,False
NAKASEKE,Nakaseke,"234,600",234600.0,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,North Central,Nakaseke District,3,3,6,7755,6197,13952,11730,9553,21283,4557,4209,8766,4633,4554,9187,2,2,4,7212,5962,13174,10169,7886,18055,4104,4066,8170,4305,3986,8291,47694,2,2,4,6962,5733,12695,9838,8299,18137,4026,3891,7917,4146,3853,7999,252,764,1016,28678,24516,53194,4636,4557,9193,197373.0,251398.0,3475.0,1.024489255,233797.356,67.27981469,1.2231,32.0837,203.9971743735203,NAKASEKE,0.22244466435222773,1.3387808100283454,0.046,3,True,-0.49965921004507247,0.042,False,True
KASSANDA,Kassanda,"312,700",312700.0,MUBENDE,MUBENDE,MUBENDE,KASSANDA,KASSANDA,KASSANDA,North Central,Kassanda District,13,12,25,7820,5728,13548,13257,7436,20693,5060,4300,9360,6004,5449,11453,7,6,13,7593,5737,13330,12967,7307,20274,5715,5335,11050,4960,4271,9231,53898,7,6,13,7338,5523,12861,12104,6950,19054,5563,5167,10730,4745,4098,8843,685,1964,2649,32154,22925,55079,6017,5461,11478,271544.0,314008.0,1819.0,1.014635493,300614.9413,165.263849,0.5761,31.7195,179.29248548631605,KASSANDA,-0.02539887944226914,-0.10169310577327782,0.39,2,False,0.04353407725055965,0.385,False,False
MBALE,Mbale,"586,300",586300.0,MBALE,MBALE,MBALE,MBALE,MBALE,MBALE,Bugisu,Mbale District,163,122,285,12625,7827,20452,19500,9474,28974,7941,6264,14205,11412,10091,21503,154,120,274,12535,7778,20313,19171,9416,28587,11199,9926,21125,7847,6184,14031,84330,154,120,274,12351,7715,20066,19015,9298,28313,11119,9835,20954,7801,6160,13961,1509,1371,2880,51641,33778,85419,11575,10213,21788,222343.0,290356.0,360.0,1.027047984,268014.692,744.4852555,1.0344,34.1977,314.64692987800834,MBALE,0.010458197811638266,0.483196064991022,0.324,3,False,-0.17469674552871473,0.355,False,False
BUKWO,Bukwo,"119,100",119100.0,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,Bugisu,Bukwo District,0,0,0,2206,1847,4053,2655,2462,5117,1333,1192,2525,1070,953,2023,0,0,0,1822,1576,3398,2061,2001,4062,868,769,1637,1119,999,2118,11215,0,0,0,1785,1532,3317,2009,1970,3979,851,763,1614,1105,993,2098,76,124,200,7264,6454,13718,1070,953,2023,89356.0,114396.0,525.0,1.025011439,106224.5019,202.3323845,1.2819,34.7299,105.57827807522061,BUKWO,0.5591521041957311,1.056733531770253,0.102,3,False,-0.7117248629033598,0.1,False,False
