dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt?=P0?×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
LUWERO,Luwero,"523,600",523600.0,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,North Central,Luwero District,96,78,174,26945,23808,50753,34620,20010,54630,14504,13661,28165,13839,13610,27449,71,47,118,26058,23206,49264,29202,18811,48013,13207,12749,25956,14131,13269,27400,150751,61,39,100,25520,22752,48272,28583,18409,46992,12881,12545,25426,14157,13077,27234,998,2879,3877,90004,71167,161171,13935,13688,27623,456958.0,616242.0,2216.0,1.030356466,598086.216,269.8945018,0.8271,0.0,252.05563339717563,LUWERO,0.16466134640424304,1.0901508492376841,0.093,3,False,-0.47703099348882677,0.13,False,False
MPIGI,Mpigi,"286,600",286600.0,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,South Central,Mpigi District,28,5,33,6226,5853,12079,10451,7786,18237,3410,4160,7570,3643,3667,7310,26,4,30,5975,5710,11685,9720,7158,16878,3431,3473,6904,3318,2971,6289,41786,27,4,31,5923,5646,11569,9684,7250,16934,3532,3453,6985,3274,2920,6194,233,810,1043,23758,21471,45229,3671,3672,7343,250548.0,326690.0,1204.0,1.026891337,318134.9265,264.2316665,0.2274,32.3249,131.3467856538537,MPIGI,0.43419347960972343,1.3801487455597772,0.038,3,True,-0.5513585419270611,0.056,False,False
KAYUNGA,Kayunga,"407,700",407700.0,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,North Central,Kayunga District,86,51,137,14808,10370,25178,19077,10156,29233,10076,8514,18590,13640,13213,26853,125,49,174,14665,10263,24928,18858,10038,28896,13547,12999,26546,9890,8435,18325,98869,85,49,134,14488,10113,24601,18490,9911,28401,13318,12751,26069,9745,8346,18091,1342,2660,4002,57687,42304,99991,13726,13264,26990,368062.0,439175.0,1596.0,1.017821599,431485.2429,270.3541622,0.7014,32.9029,229.1364574498638,KAYUNGA,0.05474054267206016,0.3971545494641904,0.382,3,False,-0.12977926966610678,0.416,False,False
KYANKWANZI,Kyankwanzi,"282,800",282800.0,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,North Central,Kyankwanzi District,16,8,24,6382,4618,11000,9189,4957,14146,3608,2901,6509,4741,4283,9024,11,4,15,5936,4372,10308,8232,4514,12746,4427,3983,8410,3416,2731,6147,37626,11,4,15,5706,4173,9879,7825,4227,12052,4187,3810,7997,3291,2593,5884,590,1591,2181,23936,16767,40703,4757,4291,9048,214693.0,278432.0,2455.0,1.026337332,271287.0236,110.5038793,1.2061,31.8164,138.69443330056865,KYANKWANZI,0.2895903761951823,1.076009929608689,0.122,3,False,-0.3823966510843437,0.131,False,False
KIBOGA,Kiboga,"171,200",171200.0,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,North Central,Kiboga District,8,6,14,10153,9060,19213,13609,9353,22962,5614,5049,10663,5666,5623,11289,8,6,14,10114,9015,19129,13845,9275,23120,5631,5576,11207,5499,5034,10533,64003,8,6,14,9919,8892,18811,13153,9298,22451,5535,5496,11031,5408,4962,10370,216,561,777,35050,29091,64141,5674,5629,11303,148218.0,183255.0,1586.0,1.02144618,179407.3968,113.1194179,0.8658,31.9473,356.7467180372131,KIBOGA,-0.021042727235667625,-0.971187202947687,0.139,4,False,-0.48096497953472594,0.151,False,False
MUKONO,Mukono,"701,400",701400.0,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,North Central,Mukono District,396,317,713,20385,17163,37548,31340,20295,51635,13211,11580,24791,12221,11206,23427,201,204,405,18744,16039,34783,28604,18419,47023,10960,10139,21099,11644,10156,21800,125110,239,179,418,18521,15882,34403,28309,18254,46563,10945,10065,21010,11626,10186,21812,882,3172,4054,77553,60561,138114,12617,11523,24140,596804.0,929224.0,1831.0,1.045270922,888979.0962,485.5156178,0.2835,0.0,140.73446781233773,MUKONO,0.4300647036939189,1.584944498009474,0.02,3,True,-0.5706188424986046,0.03,False,True
NAKASEKE,Nakaseke,"234,600",234600.0,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,North Central,Nakaseke District,18,12,30,11171,9479,20650,14657,12489,27146,6075,5496,11571,5681,5811,11492,16,11,27,10528,8932,19460,13282,11727,25009,5200,5249,10449,5700,5314,11014,65959,26,11,37,10002,8486,18488,12880,12219,25099,4998,5136,10134,5453,4981,10434,363,822,1185,37602,33287,70889,5699,5823,11522,197373.0,251398.0,3475.0,1.024489255,245388.6157,70.61542899,1.2231,32.0837,268.79405066059877,NAKASEKE,0.11250298153219052,1.117588168334709,0.096,3,False,-0.3973863078485416,0.128,False,False
KASSANDA,Kassanda,"312,700",312700.0,MUBENDE,MUBENDE,MUBENDE,KASSANDA,KASSANDA,KASSANDA,North Central,Kassanda District,29,23,52,8060,6116,14176,11962,7109,19071,4779,4323,9102,5898,5258,11156,29,22,51,7825,6095,13920,11802,7009,18811,5856,5251,11107,4747,4279,9026,52915,27,21,48,7629,5908,13537,11322,6882,18204,5809,5128,10937,4653,4186,8839,533,1459,1992,30728,22829,53557,5927,5281,11208,271544.0,314008.0,1819.0,1.014635493,309478.6278,170.1366838,0.5761,31.7195,170.98111225372313,KASSANDA,-0.4804307378906542,-1.493279185210654,0.075,2,False,0.7355266465085549,0.071,False,False
MBALE,Mbale,"586,300",586300.0,MBALE,MBALE,MBALE,MBALE,MBALE,MBALE,Bugisu,Mbale District,5,7,12,10519,6911,17430,16171,7568,23739,5539,4478,10017,8460,7139,15599,1,0,1,10462,6863,17325,15996,7506,23502,8428,7116,15544,5496,4436,9932,66304,1,0,1,10399,6822,17221,15970,7431,23401,8416,7073,15489,5474,4404,9878,776,1373,2149,40694,26103,66797,8465,7146,15611,222343.0,290356.0,360.0,1.027047984,282709.2839,785.3035663,1.0344,34.1977,234.5306778940202,MBALE,0.03628816392294932,0.2804845585587271,0.435,3,False,-0.09105425030098038,0.46,False,False
BUKWO,Bukwo,"119,100",119100.0,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,Bugisu,Bukwo District,0,0,0,1529,1399,2928,2634,2268,4902,679,678,1357,639,611,1250,0,0,0,1433,1338,2771,2523,2188,4711,605,575,1180,645,635,1280,9942,0,0,0,1382,1283,2665,2456,2126,4582,586,541,1127,627,623,1250,26,63,89,5481,4956,10437,639,611,1250,89356.0,114396.0,525.0,1.025011439,111604.6082,212.5802061,1.2819,34.7299,89.08234310704744,BUKWO,0.7646959216356229,1.136050337662735,0.068,3,False,-0.8099282718361748,0.072,False,False
KAPCHORWA,Kapchorwa,"123,800",123800.0,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,Bugisu,Kapchorwa District,2,1,3,1115,993,2108,2009,1502,3511,553,457,1010,468,431,899,2,1,3,1100,976,2076,1973,1469,3442,458,422,880,542,448,990,7391,2,1,3,1100,975,2075,1972,1459,3431,448,422,870,542,448,990,38,75,113,4147,3384,7531,470,432,902,105186.0,133621.0,212.0,1.024216287,130461.702,615.3853866,1.3514,34.3754,56.6526412479273,KAPCHORWA,0.8138820409122968,1.072615747583667,0.087,3,False,-0.7670899650570862,0.088,False,False
BUKEDEA,Bukedea,"259,300",259300.0,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,Teso,Bukedea District,32,34,66,22624,11285,33909,29580,11132,40712,10480,8098,18578,11996,10382,22378,28,33,61,21855,10918,32773,28638,10354,38992,11739,10151,21890,10187,7938,18125,111841,28,33,61,21510,10782,32292,28221,10271,38492,11262,9762,21024,10008,7753,17761,2077,5647,7724,74712,40931,115643,12028,10416,22444,203600.0,282864.0,1032.0,1.033427444,273714.4264,265.2271574,1.3557,34.1087,408.60469603658424,BUKEDEA,-0.03280687106703657,-0.3473650217336207,0.412,4,False,-0.13648252306473033,0.431,False,False
KABAROLE,Kabarole,"337,800",337800.0,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,Tooro,Kabarole District,0,1,1,4967,4480,9447,9549,6911,16460,2796,2355,5151,2776,2506,5282,0,1,1,4701,4286,8987,9006,6500,15506,2609,2373,4982,2675,2242,4917,34393,0,1,1,4535,4145,8680,8730,6329,15059,2476,2234,4710,2579,2150,4729,156,501,657,20088,16253,36341,2776,2507,5283,196749.0,230368.0,1184.0,1.015900003,226762.4758,191.5223614,0.6833,0.0,151.66971465920113,KABAROLE,0.3451777358027969,1.3389585142662022,0.055,3,False,-0.48433658294489484,0.073,False,False
MASINDI,Masindi,"340,500",340500.0,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,Bunyoro,Masindi District,9,4,13,10710,8379,19089,13882,8878,22760,5785,5102,10887,6995,6372,13367,9,4,13,10273,8199,18472,13320,8552,21872,6745,6154,12899,5653,4926,10579,63835,9,4,13,16351,7920,24271,13056,8496,21552,6562,6033,12595,5432,4837,10269,566,1046,1612,37381,28735,66116,7004,6376,13380,291113.0,342635.0,3891.0,1.016428918,337096.8633,86.63502013,1.6873,31.7138,189.36693558963765,MASINDI,0.10136154443760387,0.5156776407751613,0.324,3,False,-0.1789034794070246,0.351,False,False
KITAGWENDA,Kitagwenda,"178,300",178300.0,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KITAGWENDA,KITAGWENDA,Tooro,Kitagwenda District,8,6,14,6715,5435,12150,9627,5925,15552,3135,2722,5857,3206,2707,5913,8,6,14,6715,5435,12150,9609,5933,15542,3206,2804,6010,3135,2721,5856,39572,8,6,14,6629,5362,11991,9179,5695,14874,3120,2663,5783,3076,2691,5767,324,753,1077,22691,16795,39486,3214,2713,5927,143786.0,184947.0,677.0,1.025493871,180349.2008,266.3946836,0.0,0.0,219.41877105340632,KITAGWENDA,0.10584057393010791,0.45052399023693795,0.347,3,False,-0.22929837582561555,0.356,False,False
BUSIA,Busia,"384,000",384000.0,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,Bukedi,Busia District,88,79,167,31125,20878,52003,48708,20927,69635,18649,15811,34460,27197,24543,51740,81,80,161,29937,20113,50050,46673,19829,66502,26224,23730,49954,17969,15310,33279,199946,79,81,160,29566,19816,49382,46082,19527,65609,25886,23386,49272,18726,15087,33813,1793,3836,5629,125767,82238,208005,27285,24622,51907,323662.0,412671.0,729.0,1.024592621,402765.9302,552.490988,0.4045,34.0196,496.4322575663576,BUSIA,-0.08004343065835139,-0.19657909994312475,0.484,4,False,-0.13756481458338332,0.477,False,False
KALANGALA,Kalangala,"67,200",67200.0,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,South Central,Kalangala District,3,7,10,924,878,1802,2387,2481,4868,590,593,1183,809,795,1604,3,7,10,921,878,1799,2369,2444,4813,805,790,1595,590,598,1188,9405,3,7,10,912,856,1768,2334,2383,4717,786,777,1563,581,592,1173,31,247,278,4713,4754,9467,812,802,1614,54293.0,74411.0,452.0,1.03202289,72102.0829,159.5178825,0.6351,32.5373,130.4400597281497,KALANGALA,0.5447367891750227,1.5521355725099029,0.019,3,True,-0.6873707876576819,0.022,False,True
NTUNGAMO,Ntungamo,"540,800",540800.0,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,Ankole,Ntungamo District,38,27,65,13432,12529,25961,17651,11587,29238,5070,4584,9654,4282,3947,8229,24,16,40,13191,12252,25443,17232,11271,28503,4187,3889,8076,5000,4522,9522,71584,24,16,40,12870,11885,24755,16718,11012,27730,4059,3734,7793,4848,4389,9237,142,582,724,40473,32674,73147,4320,3974,8294,483841.0,552786.0,1999.0,1.013410587,545470.9151,272.8718935,0.9807,30.2513,131.2333948857322,NTUNGAMO,0.7669375453469992,2.400543023417083,0.001,3,True,-0.9688461790269605,0.001,False,True
MBARARA,Mbarara,"390,700",390700.0,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,Ankole,Mbarara District,4,2,6,2804,2883,5687,3757,2295,6052,1412,1296,2708,1227,1127,2354,4,1,5,2682,2752,5434,3409,2112,5521,1087,984,2071,1344,1212,2556,15587,4,1,5,2616,2676,5292,3281,2074,5355,1079,969,2048,1317,1203,2520,39,190,229,9204,7603,16807,1231,1129,2360,145838.0,174039.0,773.0,1.017835486,170989.3224,221.2022282,0.6121,30.6373,91.15773886475147,MBARARA,0.7208535946447835,1.908675305037393,0.004,3,True,-0.7699862365510919,0.003,False,True
MITOOMA,Mitooma,"194,300",194300.0,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,Ankole,Mitooma District,34,24,58,3737,3267,7004,7020,4408,11428,1969,1662,3631,1630,1341,2971,32,25,57,3485,3043,6528,6441,4090,10531,1472,1201,2673,1779,1490,3269,23058,32,24,56,3308,2879,6187,6207,3979,10186,1411,1148,2559,1701,1423,3124,80,273,353,14390,10702,25092,1664,1365,3029,183444.0,226009.0,544.0,1.021085766,221341.8378,406.8783782,0.6193,30.0203,104.17370809415047,MITOOMA,0.868118029032293,1.966423761048944,0.002,3,True,-0.974809453973985,0.002,False,True
NAKASONGOLA,Nakasongola,"215,200",215200.0,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,North Central,Nakasongola District,58,55,113,14807,11670,26477,15982,11315,27297,8444,7614,16058,9353,9146,18499,44,50,94,13631,10521,24152,14753,9764,24517,8781,8538,17319,7743,6876,14619,80701,44,50,94,13832,10895,24727,14499,10207,24706,8718,8647,17365,7897,7105,15002,630,1421,2051,48644,39800,88444,9411,9201,18612,181795.0,226074.0,3314.0,1.022037588,221199.3009,66.74692243,1.349,32.4467,364.83388361377956,NAKASONGOLA,-0.008521316324284461,-0.3416516947507488,0.406,4,False,-0.11473166954831654,0.432,False,False
MUBENDE,Mubende,"554,800",554800.0,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,North Central,Mubende District,55,118,173,14507,10957,25464,23656,17958,41614,7372,6561,13933,7641,6979,14620,55,119,174,14202,10735,24937,22861,17433,40294,7408,6754,14162,7195,6336,13531,93098,55,114,169,14241,10753,24994,23090,17616,40706,7428,6765,14193,7203,6324,13527,748,1879,2627,53231,42573,95804,7696,7097,14793,412804.0,522015.0,2711.0,1.023749985,509904.7692,188.0873365,0.449,31.3542,182.57919051446282,MUBENDE,0.020816366793002933,0.1314680347166733,0.496,3,False,-0.03886115410140594,0.478,False,False
BUVUMA,Buvuma,"128,900",128900.0,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,North Central,Buvuma District,6,2,8,3597,2621,6218,6716,3629,10345,2487,2205,4692,3661,3449,7110,6,2,8,3590,2614,6204,6638,3600,10238,3625,3397,7022,2478,2201,4679,28151,6,2,8,3590,2614,6204,6639,3600,10239,3625,3399,7024,2478,2202,4680,193,507,700,16467,11906,28373,3667,3451,7118,8989.0,110832.0,296.0,1.285568963,86212.41113,291.2581457,0.3765,33.2588,326.530712121611,BUVUMA,0.03821420902108775,1.1094880187942098,0.085,3,False,-0.553481926035535,0.098,False,False
KABERAMAIDO,Kaberamaido,"132,700",132700.0,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,Teso,Kaberamaido District,19,20,39,21896,12754,34650,19767,7537,27304,9139,7146,16285,9164,8186,17350,19,21,40,20717,12021,32738,18884,7155,26039,8847,7876,16723,8747,6866,15613,91153,18,20,38,20917,12125,33042,19292,7092,26384,8861,7914,16775,8801,6876,15677,811,1623,2434,59985,35643,95628,9183,8206,17389,105152.0,140986.0,689.0,1.02975959,136911.5679,198.7105484,1.6325,0.0,665.7801192268722,KABERAMAIDO,0.5469210154297232,0.9655486154898261,0.138,1,False,0.46802950458204345,0.137,False,False
SOROTI,Soroti,"363,600",363600.0,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,Teso,Soroti District,48,59,107,18991,8631,27622,19700,5153,24853,6885,5038,11923,8007,7204,15211,47,58,105,18941,8615,27556,19597,5134,24731,8005,7188,15193,6871,5029,11900,79485,41,52,93,18242,8296,26538,18832,4967,23799,7641,6894,14535,6644,4865,11509,1249,2887,4136,53631,26085,79716,8055,7263,15318,198332.0,266189.0,1034.0,1.029863654,258470.1372,249.9711192,1.7229,33.528,307.5210191051812,SOROTI,-0.0508023190051357,-0.8247247855587045,0.172,2,False,0.36162153372747785,0.164,False,False
