dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
NAKASONGOLA,Nakasongola,"215,200",215200.0,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,North Central,Nakasongola District,46,30,76,17194,13573,30767,17477,11438,28915,11134,9875,21009,12646,12331,24977,49,35,84,16594,13075,29669,16697,10973,27670,12212,11914,24126,10946,9807,20753,102302,50,35,85,16443,13023,29466,16884,11010,27894,12168,11915,24083,10877,9709,20586,559,1721,2280,58497,47247,105744,12692,12361,25053,181795.0,226074.0,3314.0,1.022037588,216429.7121,65.30769827,1.349,32.4467,472.68001702433537,NAKASONGOLA,-0.021182785325357008,-0.47903624685030066,0.334,4,False,-0.18448125948589097,0.345,False,False
MUBENDE,Mubende,"554,800",554800.0,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,North Central,Mubende District,9,10,19,13589,10573,24162,22380,17089,39469,6827,6013,12840,7140,6559,13699,8,10,18,13189,10229,23418,21654,16429,38083,6861,6247,13108,6584,5780,12364,86991,8,20,28,12952,10118,23070,21248,16398,37646,6878,6301,13179,6666,5762,12428,850,1813,2663,49945,40244,90189,7149,6569,13718,412804.0,522015.0,2711.0,1.023749985,498075.4837,183.7238966,0.449,31.3542,174.6542499015998,MUBENDE,0.12781997417412327,0.4202892647062157,0.357,3,False,-0.16458807166022132,0.372,False,False
BUVUMA,Buvuma,"128,900",128900.0,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,North Central,Buvuma District,11,4,15,3785,2485,6270,7435,3957,11392,2545,2175,4720,4273,3994,8267,11,4,15,3776,2484,6260,7385,3941,11326,4243,3967,8210,2536,2166,4702,30513,11,4,15,3736,2440,6176,7281,3820,11101,4200,3938,8138,2504,2135,4639,272,570,842,18049,12615,30664,4284,3998,8282,8989.0,110832.0,296.0,1.285568963,67061.67743,226.559721,0.3765,33.2588,454.9990571269252,BUVUMA,-0.03762357568390873,-1.3611082859631318,0.06,4,False,-0.6309449137451071,0.056,False,False
KABERAMAIDO,Kaberamaido,"132,700",132700.0,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,Teso,Kaberamaido District,10,10,20,22616,13841,36457,21356,7639,28995,11787,9333,21120,11444,10132,21576,8,10,18,21440,13067,34507,19502,7252,26754,10898,9598,20496,11425,8982,20407,102182,7,10,17,30111,13237,43348,19641,7334,26975,10920,9590,20510,11573,9089,20662,698,1514,2212,67213,40955,108168,11454,10142,21596,105152.0,140986.0,689.0,1.02975959,132954.885,192.9679028,1.6325,0.0,768.5464133190744,KABERAMAIDO,0.5387264286915451,1.2453399514607484,0.097,1,False,0.5328371145691215,0.101,False,False
SOROTI,Soroti,"363,600",363600.0,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,Teso,Soroti District,29,23,52,25529,12101,37630,27622,7729,35351,10868,8505,19373,11199,10249,21448,29,23,52,25629,12081,37710,27722,7720,35442,11199,10249,21448,10868,8504,19372,114024,29,22,51,24919,11793,36712,27379,7541,34920,10827,9919,20746,10550,8320,18870,1799,4416,6215,75247,38607,113854,11228,10272,21500,198332.0,266189.0,1034.0,1.029863654,250975.1035,242.7225373,1.7229,33.528,454.32394851069364,SOROTI,0.016744105717668465,0.7804993053355634,0.17,1,False,0.29162904202092554,0.188,False,False
BUNYANGABU,Bunyangabu,"195,100",195100.0,KABAROLE,KABAROLE,BUNYANGABU,BUNYANGABU,BUNYANGABU,BUNYANGABU,Tooro,Bunyangabu District,15,17,32,5293,4807,10100,8348,6462,14810,3040,2626,5666,3276,2746,6022,14,16,30,4946,4599,9545,7469,5781,13250,2707,2533,5240,2834,2461,5295,33360,14,16,30,4667,4318,8985,6918,5337,12255,2569,2410,4979,2653,2317,4970,128,321,449,19972,16658,36630,3291,2763,6054,170247.0,219012.0,466.0,1.025507508,208252.4994,446.8937756,0.4871,30.2051,160.19015424119323,BUNYANGABU,0.1857490401670523,0.36687954696617053,0.378,3,False,-0.22475949892039807,0.374,False,False
IBANDA,Ibanda,"277,300",277300.0,IBANDA,IBANDA,IBANDA,IBANDA,IBANDA,IBANDA,Ankole,Ibanda District,44,37,81,25869,20853,46722,43784,28052,71836,11541,9688,21229,9624,8451,18075,41,22,63,21892,17921,39813,36481,23358,59839,8122,7071,15193,9815,8317,18132,133040,42,28,70,23530,19189,42719,39310,24895,64205,8584,7475,16059,10516,8890,19406,284,971,1255,90862,67081,157943,9668,8488,18156,249625.0,309466.0,622.0,1.021721392,296447.6205,476.6038915,0.0966,30.4818,448.7807990349512,IBANDA,-0.019531114216670153,-1.314742203612593,0.066,4,False,-0.4837845314811148,0.058,False,False
WAKISO,Wakiso,"2,915,200",2915200.0,WAKISO,WAKISO,WAKISO,WAKISO,WAKISO,WAKISO,South Central,Wakiso District,1150,596,1746,47826,39707,87533,98081,67855,165936,32887,30113,63000,43163,37670,80833,561,358,919,36163,30495,66658,68089,46954,115043,26165,23960,50125,23745,23328,47073,279818,534,318,852,36756,32165,68921,67977,47817,115794,26133,25267,51400,23866,23261,47127,968,4358,5326,223107,175941,399048,44313,38266,82579,1997418.0,3411177.0,1884.0,1.054978307,3064906.256,1626.807992,0.063,32.4467,91.29740899977463,WAKISO,0.7398053396426393,1.9171189249871863,0.011,3,True,-0.7049515647782357,0.009,False,True
AMOLATAR,Amolatar,"170,100",170100.0,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,Lango,Amolatar District,39,29,68,25155,14615,39770,25095,9230,34325,12451,10433,22884,12335,11452,23787,38,29,67,25149,14604,39753,24992,9220,34212,12216,11452,23668,12447,10433,22880,120580,38,29,67,25044,14566,39610,24918,9194,34112,12149,11403,23552,12401,10380,22781,728,1707,2435,75075,45759,120834,12374,11481,23855,147166.0,188715.0,1163.0,1.025179454,179558.7752,154.392756,1.6054,32.8084,671.534988282767,AMOLATAR,0.20226910708144213,0.8277967479203224,0.178,1,False,0.2831729761641911,0.165,False,False
LAMWO,Lamwo,"143,800",143800.0,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,Acholi,Lamwo District,118,112,230,52193,41354,93547,35126,12565,47691,23612,21267,44879,23887,23659,47546,117,108,225,50317,39778,90095,33966,12049,46015,23136,22833,45969,22847,20515,43362,225666,117,108,225,50466,39919,90385,34189,12304,46493,23224,22889,46113,22940,20608,43548,984,2237,3221,134936,98957,233893,24005,23771,47776,134371.0,213156.0,5588.0,1.047223071,194365.4908,34.78265762,3.491,32.808,1161.0394369451512,LAMWO,2.7521719442657924,2.876864263126724,0.021,1,True,1.2668641737184836,0.024,True,False
KAABONG,Kaabong,"125,400",125400.0,KAABONG,KAABONG,KAABONG,KAABONG,KAABONG,KAABONG,Karamoja,Kaabong District,58,59,117,6555,4678,11233,12656,6552,19208,3969,3253,7222,11895,11607,23502,58,50,108,6519,4619,11138,12468,6482,18950,11776,11549,23325,3841,3271,7112,60633,58,50,108,6453,4636,11089,12333,6448,18781,11613,11383,22996,3802,3241,7043,162,1027,1189,35133,26149,61282,11953,11666,23619,116646.0,264631.0,4751.0,1.085368184,224639.7176,47.28261789,3.5696,34.242,269.91219828705835,KAABONG,-0.03008456019769219,-0.170487188266374,0.366,2,False,0.05487722885518651,0.365,False,False
IGANGA,Iganga,"402,600",402600.0,IGANGA,IGANGA,IGANGA,IGANGA,IGANGA,IGANGA,Busoga,Iganga District,31,18,49,37129,23242,60371,61259,29067,90326,23401,18674,42075,32101,28853,60954,21,11,32,36001,22064,58065,59565,27735,87300,31258,28025,59283,22633,17984,40617,245297,19,11,30,42882,21702,64584,56703,26586,83289,30476,27351,57827,21900,17378,39278,2042,4991,7033,153921,99854,253775,32132,28871,61003,339311.0,426958.0,633.0,1.023242857,407781.6813,644.2048678,0.7236,33.4832,601.540018222491,IGANGA,0.08185934619518284,0.4707507337349519,0.25,1,False,0.16350935041508552,0.281,False,False
NAMAYINGO,Namayingo,"237,000",237000.0,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,Busoga,Namayingo District,49,43,92,20650,12778,33428,33357,16806,50163,14430,11623,26053,25199,22239,47438,49,43,92,20308,12520,32828,33037,16706,49743,24915,22061,46976,14280,11446,25726,155365,48,41,89,19661,12157,31818,32897,16223,49120,24557,23091,47648,13771,11199,24970,1934,3639,5573,93685,63489,157174,25248,22282,47530,215443.0,266716.0,587.0,1.021578321,255567.5638,435.3791547,0.3426,33.8411,607.9214345118705,NAMAYINGO,-0.0010730733215913238,0.06763185849976379,0.413,4,False,0.0019348868329650323,0.403,False,False
RUKUNGIRI,Rukungiri,"333,800",333800.0,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,Kigezi,Rukungiri District,20,4,24,9766,8704,18470,13313,9567,22880,4452,4191,8643,4370,4042,8412,10,3,13,9625,8559,18184,12950,9301,22251,4202,3906,8108,4331,4067,8398,56954,10,3,13,8914,8285,17199,12244,8870,21114,3948,3660,7608,4079,3822,7901,107,498,605,31921,26508,58429,4390,4046,8436,314694.0,376110.0,1381.0,1.017987961,362935.6227,262.8063886,0.7518,29.9278,156.92590210985645,RUKUNGIRI,0.7961220150989364,2.573747579411297,0.001,3,True,-0.9316841906636192,0.001,False,True
PAKWACH,Pakwach,"196,800",196800.0,NEBBI,NEBBI,PAKWACH,PAKWACH,PAKWACH,PAKWACH,West Nile,Pakwach District,21,25,46,22574,11574,34148,20090,9304,29394,11529,9343,20872,15899,15085,30984,21,25,46,22302,11469,33771,19857,9211,29068,15771,14968,30739,11387,9264,20651,114275,21,25,46,22302,11447,33749,19784,9192,28976,15618,14902,30520,11547,9243,20790,1282,2198,3480,70113,45331,115444,15920,15110,31030,158037.0,206961.0,877.0,1.027337104,196093.2149,223.595456,2.4738,31.3999,582.7585623412614,PAKWACH,0.3161263670732915,1.768938514838458,0.048,1,True,0.6987702847417827,0.051,False,False
RUBANDA,Rubanda,"208,500",208500.0,KABALE,KABALE,RUBANDA,RUBANDA,RUBANDA,RUBANDA,Kigezi,Rubanda District,0,0,0,278,487,765,915,1956,2871,99,107,206,150,151,301,0,0,0,263,477,740,865,1932,2797,147,143,290,94,105,199,4026,0,0,0,248,468,716,844,1890,2734,139,133,272,91,98,189,9,35,44,1442,2701,4143,150,151,301,196896.0,249454.0,660.0,1.023942002,237924.8239,360.4921574,1.1517,29.8352,16.921311252886042,RUBANDA,1.3294950940611665,2.4418945746615526,0.001,3,True,-1.0419415255163265,0.002,False,True
LUUKA,Luuka,"267,100",267100.0,LUUKA,LUUKA,LUUKA,LUUKA,LUUKA,LUUKA,Busoga,Luuka District,29,32,61,24874,12844,37718,39605,14877,54482,16688,11974,28662,25515,20970,46485,28,31,59,24780,12773,37553,39415,14739,54154,25331,20780,46111,16635,11922,28557,166434,28,31,59,24427,12554,36981,38909,14518,53427,24751,20316,45067,16401,11750,28151,2150,5413,7563,106711,60697,167408,25544,21002,46546,238020.0,298639.0,650.0,1.02294741,285390.7602,439.062708,0.7251,33.3037,583.1793569047719,LUUKA,0.03092666428038365,0.23945321366381864,0.348,1,False,0.07121920881663649,0.35,False,False
KOLE,Kole,"284,300",284300.0,KOLE,KOLE,KOLE,KOLE,KOLE,KOLE,Lango,Kole District,26,14,40,21223,9991,31214,24421,7507,31928,9437,7029,16466,14151,12337,26488,26,14,40,21223,9970,31193,24221,7506,31727,14151,12337,26488,9437,7029,16466,105914,26,14,40,20829,9780,30609,23797,7359,31156,13894,12094,25988,9274,6909,16183,3066,6285,9351,69258,36878,106136,14177,12351,26528,239327.0,294301.0,1073.0,1.020892478,282378.5668,263.1673502,2.3031,0.0,375.0780422191732,KOLE,-0.020083576525531138,-0.2785818679204978,0.323,2,False,0.1056039100844122,0.335,False,False
KALIRO,Kaliro,"288,500",288500.0,KALIRO,KALIRO,KALIRO,KALIRO,KALIRO,KALIRO,Busoga,Kaliro District,117,80,197,14846,8641,23487,32188,15516,47704,10425,7717,18142,21651,18902,40553,113,77,190,14834,8631,23465,32169,15490,47659,21642,18851,40493,10417,7703,18120,129927,113,77,190,14681,8553,23234,31917,15309,47226,21560,18770,40330,10358,7664,18022,2841,5567,8408,79227,50856,130083,21768,18982,40750,286397.0,236199.0,779.0,0.980914059,245480.0124,315.1219672,0.8927,33.5028,529.2773074668461,KALIRO,0.13348480970798507,1.2602474024414365,0.089,1,False,0.46345868706635734,0.1,False,False
OMORO,Omoro,"196,400",196400.0,GULU,OMORO,OMORO,OMORO,OMORO,OMORO,Acholi,Omoro District,32,31,63,32008,16227,48235,32259,8887,41146,15104,12161,27265,22107,18820,40927,32,30,62,31745,16099,47844,31830,8806,40636,21877,18646,40523,14976,12011,26987,156052,32,30,62,33513,16034,49547,31714,8732,40446,21791,18672,40463,14968,12083,27051,1446,2492,3938,101510,56126,157636,22139,18851,40990,142875.0,207339.0,1483.0,1.037940541,192458.0355,129.7761534,2.7152,32.492,810.8365005107828,OMORO,0.8419932999539188,1.965769733927977,0.043,1,True,0.7377027517555061,0.053,False,False
RUKIGA,Rukiga,"105,400",105400.0,KABALE,KABALE,RUKIGA,RUKIGA,RUKIGA,RUKIGA,Kigezi,Rukiga District,1,0,1,1432,1296,2728,1888,1438,3326,693,662,1355,653,586,1239,1,0,1,1410,1283,2693,1840,1398,3238,647,576,1223,678,653,1331,8486,1,0,1,1278,1165,2443,1675,1276,2951,594,529,1123,615,599,1214,10,50,60,4667,3982,8649,654,586,1240,100726.0,132355.0,426.0,1.027684666,125320.0615,294.1785482,1.1326,30.0434,67.71461726421192,RUKIGA,1.2402617190834169,2.371463223654472,0.001,3,True,-1.1027988633656916,0.001,False,True
AMURU,Amuru,"216,800",216800.0,AMURU,AMURU,AMURU,AMURU,AMURU,AMURU,Acholi,Amuru District,33,31,64,35650,19142,54792,33684,12328,46012,17436,13288,30724,21773,19807,41580,31,30,61,34679,18759,53438,32197,12009,44206,21278,19198,40476,17007,12957,29964,168145,32,30,62,34625,18756,53381,32426,12002,44428,21008,19020,40028,17007,12931,29938,1054,1930,2984,108576,64596,173172,21806,19838,41644,186696.0,247574.0,3619.0,1.028624826,233986.623,64.65504917,3.1042,32.0837,718.6094565756437,AMURU,1.7253575153789071,5.547239267127628,0.001,1,True,1.9832140438751837,0.001,True,False
KITGUM,Kitgum,"223,600",223600.0,KITGUM,KITGUM,KITGUM,KITGUM,KITGUM,KITGUM,Acholi,Kitgum District,122,107,229,36172,21689,57861,33238,11528,44766,15754,12662,28416,20042,19239,39281,116,97,213,35295,21431,56726,31272,11196,42468,19468,18643,38111,15557,12494,28051,165569,115,97,212,34348,20880,55228,30593,10928,41521,19215,18435,37650,15314,12312,27626,1038,2048,3086,105328,65225,170553,20164,19346,39510,204048.0,239655.0,4391.0,1.016214565,232068.2161,52.85088046,3.3397,33.1689,713.4497036365162,KITGUM,1.0244930904721348,2.9465994372143385,0.018,1,True,1.2018106138636024,0.025,True,False
KANUNGU,Kanungu,"277,300",277300.0,KANUNGU,KANUNGU,KANUNGU,KANUNGU,KANUNGU,KANUNGU,Kigezi,Kanungu District,19,20,39,12599,10652,23251,16858,11075,27933,5889,5111,11000,5986,5104,11090,19,20,39,12229,10323,22552,15984,10616,26600,5691,4855,10546,5715,4964,10679,70416,8,9,17,11893,10089,21982,15609,10422,26031,5534,4745,10279,5585,4829,10414,236,635,871,41351,31962,73313,6005,5124,11129,252144.0,310062.0,1275.0,1.020892447,297501.0911,233.3341891,0.8195,0.0,236.69156889354346,KANUNGU,0.6984840694394071,2.0628286918698198,0.002,3,True,-1.1401237748314,0.002,False,True
ZOMBO,Zombo,"283,100",283100.0,ZOMBO,ZOMBO,ZOMBO,ZOMBO,ZOMBO,ZOMBO,West Nile,Zombo District,19,22,41,22421,13545,35966,25914,11059,36973,11123,9461,20584,21108,19263,40371,11,9,20,21587,13186,34773,24885,10430,35315,19994,28160,48154,10727,9108,19835,138097,8,8,16,20893,12778,33671,23766,10204,33970,19365,17489,36854,10297,8699,18996,640,1234,1874,80585,53350,133935,21127,19285,40412,240081.0,312621.0,939.0,1.02675313,296541.9074,315.8060781,2.4882,30.8499,465.6913459915244,ZOMBO,0.0806753117354856,1.3743606884650836,0.074,1,False,0.8712087532774693,0.075,False,False
JINJA,Jinja,"515,100",515100.0,JINJA,JINJA,JINJA,JINJA,JINJA,JINJA,Busoga,Jinja District,58,51,109,16626,10774,27400,28444,14840,43284,11220,9066,20286,17473,14850,32323,28,21,49,15540,10085,25625,26031,13749,39780,16526,14030,30556,10665,8633,19298,115308,28,20,48,14915,9662,24577,24903,13061,37964,15835,13393,29228,10222,8208,18430,883,1659,2542,73821,49581,123402,17531,14901,32432,224168.0,280905.0,499.0,1.022818525,268511.1342,538.0984653,0.5349,33.2139,429.4347061009138,JINJA,0.0018713859185056077,0.1882079555384057,0.453,3,False,-0.09601066849361348,0.462,False,False
YUMBE,Yumbe,"663,600",663600.0,YUMBE,YUMBE,YUMBE,YUMBE,YUMBE,YUMBE,West Nile,Yumbe District,141,30,171,80742,51733,132475,81911,28666,110577,42423,34129,76552,66584,63228,129812,112,22,134,79821,50961,130782,79949,28167,108116,66095,62873,128968,42230,34430,76660,444660,111,22,133,270263,52136,322399,79300,27956,107256,65902,63551,129453,41913,34203,76116,2029,4263,6292,271801,177786,449587,66725,63258,129983,484822.0,945100.0,2323.0,1.069029142,826986.9841,355.9995627,3.4698,31.2483,537.6868179901503,YUMBE,0.363672090545448,2.8296420459107146,0.023,1,True,1.155552885616462,0.025,True,False
BUYENDE,Buyende,"414,600",414600.0,BUYENDE,BUYENDE,BUYENDE,BUYENDE,BUYENDE,BUYENDE,Busoga,Buyende District,80,67,147,12886,7404,20290,22487,9482,31969,9774,7711,17485,17030,15367,32397,80,67,147,12883,7401,20284,21150,9480,30630,17013,15262,32275,9767,7709,17476,100812,80,67,147,12853,7475,20328,21089,9425,30514,16996,15343,32339,9747,7692,17439,3746,6747,10493,62257,40031,102288,17110,15434,32544,323067.0,403486.0,1379.0,1.022477093,385941.3361,279.8704395,1.2414,33.1239,261.2106829984102,BUYENDE,-0.10750315681174313,-0.5628275681012325,0.241,2,False,0.1952547003078676,0.245,False,False
KISORO,Kisoro,"315,400",315400.0,KISORO,KISORO,KISORO,KISORO,KISORO,KISORO,Kigezi,Kisoro District,1,0,1,1622,1758,3380,3306,3334,6640,943,904,1847,1149,1080,2229,1,0,1,1566,1706,3272,3148,3253,6401,1093,1025,2118,925,843,1768,13560,1,0,1,1632,1661,3293,3038,3189,6227,1050,990,2040,906,820,1726,6,53,59,7021,7076,14097,1150,1080,2230,281705.0,433662.0,690.0,1.044084579,397813.9477,576.5419532,1.1539,29.6499,34.08628600982559,KISORO,1.188290152513058,1.4259094895617086,0.022,3,True,-0.9708425761494721,0.025,False,True
NAKAPIRIPIRIT,Nakapiripirit,"113,300",113300.0,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,Karamoja,Nakapiripirit District,71,73,144,5130,3503,8633,9744,7677,17421,3679,3139,6818,12408,11731,24139,12,16,28,4739,3347,8086,7794,6762,14556,11506,10910,22416,3489,2981,6470,51556,13,14,27,4702,3337,8039,7716,6769,14485,11459,10872,22331,3472,2981,6453,267,649,916,31032,26123,57155,12479,11804,24283,88281.0,111681.0,2641.0,1.023790759,106550.8415,40.34488508,1.7013,34.5971,483.86290783071854,NAKAPIRIPIRIT,-0.04580378990558733,-0.8351176899913382,0.19,4,False,-0.3065148122673193,0.213,False,False
GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU,GULU,Acholi,Gulu District,26,20,46,24128,12627,36755,23810,8662,32472,12223,9128,21351,14143,12638,26781,24,20,44,21835,11390,33225,21246,7607,28853,12693,11446,24139,11005,8230,19235,105496,26,20,46,23353,12067,35420,22774,7956,30730,13580,12107,25687,11852,8829,20681,1000,2030,3030,74330,43075,117405,14169,12658,26827,108428.0,135373.0,1721.0,1.022442893,129495.278,75.24420567,2.955,32.4467,814.6706322372619,GULU,1.8404270136518814,3.5010885422486506,0.015,1,True,1.586351098521528,0.018,True,False
BUKOMANSIMBI,Bukomansimbi,"156,600",156600.0,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,South Central,Bukomansimbi District,3,3,6,7472,6553,14025,7239,4282,11521,4668,4435,9103,4320,4251,8571,3,4,7,7377,6483,13860,7103,4229,11332,4245,4177,8422,4557,4368,8925,42546,12,4,16,7442,6532,13974,7134,4254,11388,4334,4218,8552,4642,4422,9064,152,499,651,23702,19524,43226,4323,4254,8577,151413.0,197568.0,600.0,1.026964294,187329.3886,312.2156476,0.1433,31.6055,227.11866150829897,BUKOMANSIMBI,-0.034376374354380866,-0.1467316510829753,0.402,2,False,0.048540444662106566,0.375,False,False
DOKOLO,Dokolo,"215,500",215500.0,DOKOLO,DOKOLO,DOKOLO,DOKOLO,DOKOLO,DOKOLO,Lango,Dokolo District,12,6,18,35841,18161,54002,37959,10652,48611,17756,13205,30961,22643,20106,42749,12,6,18,35247,17834,53081,37226,10439,47665,22327,19819,42146,17492,12990,30482,173392,11,6,17,35513,18061,53574,37620,10578,48198,22599,20059,42658,17711,13167,30878,1611,2927,4538,114211,62130,176341,22655,20112,42767,183093.0,215625.0,1004.0,1.016489126,208686.1554,207.8547364,1.9131,33.1717,830.8744759212714,DOKOLO,0.4202243112329366,0.9464234622544053,0.147,1,False,0.35471056848011195,0.147,False,False
KWEEN,Kween,"109,500",109500.0,KWEEN,KWEEN,KWEEN,KWEEN,KWEEN,KWEEN,Bugisu,Kween District,0,0,0,2465,2605,5070,4935,3677,8612,1129,1084,2213,1053,1022,2075,0,0,0,2310,2466,4776,4499,3415,7914,954,925,1879,1058,1011,2069,16638,0,0,0,2204,2384,4588,4360,3364,7724,918,903,1821,1004,981,1985,74,132,206,9582,8388,17970,1053,1022,2075,93667.0,129277.0,851.0,1.032745867,121208.851,142.4310823,1.4126,34.5528,137.2672033661964,KWEEN,0.4202687273855032,1.2763930209511274,0.066,3,False,-0.46332693285752397,0.09,False,False
SERERE,Serere,"359,500",359500.0,SERERE,SERERE,SERERE,SERERE,SERERE,SERERE,Teso,Serere District,38,42,80,29522,16135,45657,24644,7470,32114,14071,11806,25877,12158,11639,23797,38,42,80,29399,16180,45579,24290,7384,31674,12038,11522,23560,14004,11772,25776,126669,38,42,80,28028,15479,43507,23347,7130,30477,11572,11053,22625,13342,11310,24652,1100,2124,3224,80433,47092,127525,12196,11681,23877,285903.0,358123.0,1495.0,1.022777935,342349.3547,228.9962239,1.4994,33.549,369.99923692276207,SERERE,-0.038925139924730956,-0.5129923525769668,0.249,2,False,0.18984984345342265,0.254,False,False
AMURIA,Amuria,"225,000",225000.0,AMURIA,AMURIA,AMURIA,AMURIA,AMURIA,AMURIA,Teso,Amuria District,21,22,43,26514,13970,40484,29028,9575,38603,12123,9153,21276,11283,10812,22095,21,20,41,26509,13939,40448,29128,9568,38696,11276,10812,22088,12092,9131,21223,122496,20,20,40,26242,13771,40013,28877,9522,38399,11206,10731,21937,12004,9060,21064,808,1643,2451,78969,43532,122501,11304,10834,22138,183348.0,251653.0,1383.0,1.032173235,236209.2633,170.7948397,2.0302,33.6428,518.5910081960786,AMURIA,0.08680646901424743,0.8432336741983067,0.159,1,False,0.34056925796762366,0.159,False,False
ADJUMANI,Adjumani,"235,900",235900.0,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,West Nile,Adjumani District,170,162,332,68105,51850,119955,75937,29015,104952,37659,31743,69402,45574,42210,87784,170,162,332,66636,50713,117349,62492,28457,90949,44911,44037,88948,36418,30728,67146,364724,170,162,332,72830,50130,122960,60722,27859,88581,44159,40754,84913,36131,30304,66435,1243,3595,4838,227445,154980,382425,45744,42372,88116,107966.0,144084.0,2301.0,1.029278437,136003.4758,59.10624763,3.2549,31.7195,2681.7255798399237,ADJUMANI,9.920348574495636,3.7037477599137465,0.001,1,True,1.8491999275395443,0.001,True,False
KYEGEGWA,Kyegegwa,"441,000",441000.0,KYEGEGWA,KYEGEGWA,KYEGEGWA,KYEGEGWA,KYEGEGWA,KYEGEGWA,Tooro,Kyegegwa District,271,204,475,20103,14559,34662,34387,17466,51853,11851,9817,21668,13421,12436,25857,258,184,442,19658,14217,33875,32574,16345,48919,13184,12049,25233,11466,9729,21195,129664,259,184,443,19273,15325,34598,31720,15922,47642,12805,11688,24493,11301,9471,20772,981,2682,3663,80033,54482,134515,13692,12640,26332,281637.0,501120.0,1882.0,1.059315197,446571.8369,237.2857794,0.4818,31.055,290.354181087858,KYEGEGWA,0.18120945973338903,1.0151209723835626,0.128,3,False,-0.40640416578265665,0.147,False,False
