dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
LUWERO,Luwero,"523,600",523600.0,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,North Central,Luwero District,214,142,356,27548,25506,53054,32972,20267,53239,16291,15528,31819,15974,15719,31693,199,136,335,26589,23819,50408,31108,19751,50859,15069,14715,29784,15772,15080,30852,162238,192,127,319,26191,23397,49588,31850,19292,51142,14880,14528,29408,15482,15606,31088,3636,2655,6291,92999,77162,170161,16188,15861,32049,456958.0,616242.0,2216.0,1.030356466,580465.3395,261.9428428,0.8271,0.0,279.4964470053427,LUWERO,0.2831020100500779,1.3862136514032122,0.049,3,True,-0.5896052837809557,0.059,False,False
MPIGI,Mpigi,"286,600",286600.0,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,South Central,Mpigi District,24,12,36,7310,6616,13926,11213,8719,19932,3890,3543,7433,3927,4000,7927,19,12,31,6977,6416,13393,10855,8064,18919,3785,3847,7632,3769,3461,7230,47205,18,11,29,6686,6145,12831,10562,7835,18397,3781,3788,7569,3619,3320,6939,160,692,852,26364,22890,49254,3951,4012,7963,250548.0,326690.0,1204.0,1.026891337,309803.8859,257.3121976,0.2274,32.3249,152.37058716312248,MPIGI,0.4226727659046252,1.2371554838740977,0.076,3,False,-0.48990398707102956,0.078,False,False
KAYUNGA,Kayunga,"407,700",407700.0,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,North Central,Kayunga District,74,48,122,15852,10726,26578,19836,11248,31084,10176,8415,18591,13889,13168,27057,74,48,122,15825,10716,26541,19611,11004,30615,13799,13104,26903,10155,8420,18575,102756,74,48,122,15260,10357,25617,18990,10763,29753,13428,12720,26148,9837,8196,18033,1271,2718,3989,59827,43605,103432,13963,13216,27179,368062.0,439175.0,1596.0,1.017821599,423930.13,265.6203822,0.7014,32.9029,242.38899933816924,KAYUNGA,0.07606259102436562,0.35626147359991056,0.385,3,False,-0.13172978518012007,0.416,False,False
KYANKWANZI,Kyankwanzi,"282,800",282800.0,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,North Central,Kyankwanzi District,92,16,108,9003,6124,15127,13040,6439,19479,5403,4422,9825,6746,6175,12921,90,15,105,8596,5885,14481,12165,6115,18280,6461,5963,12424,5149,4252,9401,54691,90,80,170,7836,5370,13206,11016,5524,16540,5864,5387,11251,4711,3837,8548,498,1757,2255,34284,23176,57460,6838,6191,13029,214693.0,278432.0,2455.0,1.026337332,264325.3978,107.6681865,1.2061,31.8164,206.90785091102586,KYANKWANZI,0.31914044079909104,1.2519150163073505,0.079,3,False,-0.45677250658789237,0.08,False,False
KIBOGA,Kiboga,"171,200",171200.0,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,North Central,Kiboga District,8,3,11,11234,9614,20848,15956,11957,27913,6491,5960,12451,6829,6819,13648,8,3,11,11149,9484,20633,15824,11863,27687,6728,6701,13429,6289,5829,12118,73878,8,3,11,11185,9217,20402,15458,11615,27073,6569,6508,13077,6119,5686,11805,223,703,926,40518,34353,74871,6837,6822,13659,148218.0,183255.0,1586.0,1.02144618,175640.5774,110.7443741,0.8658,31.9473,420.6203435083902,KIBOGA,0.025502665651366135,1.1579402675417907,0.092,3,False,-0.545309394404481,0.1,False,False
MUKONO,Mukono,"701,400",701400.0,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,North Central,Mukono District,132,115,247,22252,18930,41182,36086,21767,57853,14127,12856,26983,14127,13701,27828,107,100,207,21558,18450,40008,33572,20403,53975,13267,12992,26259,13593,12333,25926,146375,107,99,206,21254,18145,39399,32826,19991,52817,12998,12842,25840,13352,12128,25480,877,3222,4099,86724,67369,154093,14259,13816,28075,596804.0,929224.0,1831.0,1.045270922,850477.2084,464.4878255,0.2835,0.0,172.10925649068813,MUKONO,0.5213946388447458,1.7907632198705181,0.011,3,True,-0.6467479749272392,0.014,False,True
NAKASEKE,Nakaseke,"234,600",234600.0,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,North Central,Nakaseke District,9,5,14,9863,8532,18395,14823,12555,27378,5583,5268,10851,5729,5760,11489,5,2,7,9103,7859,16962,12960,10640,23600,5158,5048,10206,5225,4889,10114,60889,5,2,7,8866,7701,16567,12871,10747,23618,5005,4949,9954,5068,4858,9926,245,871,1116,36007,32120,68127,5738,5765,11503,197373.0,251398.0,3475.0,1.024489255,239522.879,68.92744719,1.2231,32.0837,254.20953628400568,NAKASEKE,0.24684412808266298,1.214852585592761,0.09,3,False,-0.4440917077643588,0.084,False,False
KASSANDA,Kassanda,"312,700",312700.0,MUBENDE,MUBENDE,MUBENDE,KASSANDA,KASSANDA,KASSANDA,North Central,Kassanda District,29,15,44,9957,7586,17543,15081,8629,23710,6456,5646,12102,7200,6815,14015,29,15,44,9826,7491,17317,14883,8459,23342,7113,6736,13849,6366,5560,11926,66478,29,15,44,9448,11119,20567,14433,8232,22665,6897,6559,13456,6145,5373,11518,702,2407,3109,38723,28691,67414,7229,6830,14059,271544.0,314008.0,1819.0,1.014635493,305014.589,167.6825668,0.5761,31.7195,217.95023057077444,KASSANDA,-0.25613833041056244,-0.9116620290593264,0.137,2,False,0.3756873777302306,0.17,False,False
MBALE,Mbale,"586,300",586300.0,MBALE,MBALE,MBALE,MBALE,MBALE,MBALE,Bugisu,Mbale District,60,24,84,14132,9460,23592,21724,10665,32389,8240,6543,14783,12161,10291,22452,48,17,65,13857,9273,23130,21383,10472,31855,11911,10070,21981,8065,6452,14517,91548,49,17,66,13654,9177,22831,21104,10377,31481,11804,9914,21718,7949,9139,17088,821,1592,2413,56317,36983,93300,12221,10315,22536,222343.0,290356.0,360.0,1.027047984,275263.949,764.6220806,1.0344,34.1977,332.5826005642315,MBALE,-0.046976552517945906,-0.4784687190704418,0.269,2,False,0.1448435296013152,0.272,False,False
BUKWO,Bukwo,"119,100",119100.0,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,Bugisu,Bukwo District,1,1,2,2482,2246,4728,3719,2992,6711,1498,1345,2843,1371,1218,2589,1,1,2,2375,2179,4554,3527,2872,6399,1313,1167,2480,1435,1299,2734,16169,1,1,2,2328,2130,4458,3395,2808,6203,1293,1148,2441,1411,1274,2685,61,136,197,9071,7802,16873,1372,1219,2591,89356.0,114396.0,525.0,1.025011439,108881.3295,207.3930085,1.2819,34.7299,148.50112571411978,BUKWO,0.8102413421375989,1.3555410079526127,0.024,3,True,-0.9208259702320841,0.037,False,True
KAPCHORWA,Kapchorwa,"123,800",123800.0,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,Bugisu,Kapchorwa District,8,3,11,1657,1337,2994,2551,1648,4199,758,602,1360,644,590,1234,4,1,5,1616,1312,2928,2431,1591,4022,628,574,1202,745,587,1332,9489,4,1,5,1606,1380,2986,2405,1583,3988,627,576,1203,731,584,1315,15,42,57,5618,4180,9798,652,593,1245,105186.0,133621.0,212.0,1.024216287,127377.1015,600.8353844,1.3514,34.3754,74.4953361966711,KAPCHORWA,0.9631382974288587,1.282894297327346,0.038,3,True,-0.8739232599497538,0.052,False,False
BUKEDEA,Bukedea,"259,300",259300.0,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,Teso,Bukedea District,131,83,214,21816,10702,32518,30448,10575,41023,11355,7891,19246,13957,11909,25866,123,75,198,21666,10640,32306,29897,10411,40308,13882,11761,25643,11284,7851,19135,117590,116,73,189,21552,10525,32077,29736,10297,40033,13588,11431,25019,11138,7758,18896,1101,2723,3824,77707,41160,118867,14088,11992,26080,203600.0,282864.0,1032.0,1.033427444,264860.8067,256.6480685,1.3557,34.1087,443.9690472331405,BUKEDEA,-0.0020874151082527635,-0.14994279836986435,0.462,4,False,-0.08181071350016839,0.472,False,False
KABAROLE,Kabarole,"337,800",337800.0,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,Tooro,Kabarole District,22,24,46,6806,5873,12679,13313,10187,23500,4066,3857,7923,4103,3712,7815,15,11,26,5590,4929,10519,10724,8376,19100,3274,2952,6226,3427,3376,6803,42674,15,11,26,5559,4913,10472,10717,8477,19194,3223,2858,6081,3367,3303,6670,89,269,358,28310,23653,51963,4125,3736,7861,196749.0,230368.0,1184.0,1.015900003,223213.3823,188.5248161,0.6833,0.0,191.1802937632382,KABAROLE,0.278740627956392,1.0134756938724012,0.128,3,False,-0.37471560192317205,0.127,False,False
MASINDI,Masindi,"340,500",340500.0,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,Bunyoro,Masindi District,10,12,22,12737,9900,22637,15627,10695,26322,7706,6837,14543,9695,9251,18946,7,11,18,11768,9102,20870,14052,9282,23334,8861,8236,17097,7209,6341,13550,74869,7,11,18,12062,9435,21497,14589,9420,24009,9411,8439,17850,7438,6594,14032,446,956,1402,45775,36695,82470,9705,9263,18968,291113.0,342635.0,3891.0,1.016428918,331648.2416,85.23470615,1.6873,31.7138,225.74821937484984,MASINDI,0.13792929983505578,0.5700592008655065,0.295,3,False,-0.2174071487008394,0.298,False,False
KITAGWENDA,Kitagwenda,"178,300",178300.0,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KITAGWENDA,KITAGWENDA,Tooro,Kitagwenda District,25,19,44,8784,7235,16019,12738,7102,19840,4102,3527,7629,4338,3854,8192,24,18,42,8733,7191,15924,12621,6859,19480,4263,3796,8059,4055,3496,7551,51056,24,18,42,8723,7189,15912,12597,6960,19557,4260,3778,8038,4053,3501,7554,637,1094,1731,29987,21737,51724,4363,3873,8236,143786.0,184947.0,677.0,1.025493871,175865.7034,259.7720877,0.0,0.0,290.3124316619883,KITAGWENDA,0.08255119597502443,0.35578117426838773,0.393,3,False,-0.18690433169226336,0.381,False,False
BUSIA,Busia,"384,000",384000.0,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,Bukedi,Busia District,113,90,203,31902,20991,52893,49843,21126,70969,20491,16546,37037,31491,27893,59384,112,89,201,31028,20362,51390,47811,20975,68786,30683,27129,57812,19962,16174,36136,214325,109,89,198,30454,20165,50619,47136,20152,67288,30158,26795,56953,19714,15869,35583,1696,2913,4609,133840,86646,220486,31604,27983,59587,323662.0,412671.0,729.0,1.024592621,393098.6053,539.2299113,0.4045,34.0196,545.2194363203965,BUSIA,-0.032781446983374374,-0.1045204411875025,0.493,4,False,-0.09429347632535004,0.482,False,False
KALANGALA,Kalangala,"67,200",67200.0,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,South Central,Kalangala District,6,5,11,1117,994,2111,2815,2798,5613,718,691,1409,943,1033,1976,6,5,11,1079,958,2037,2696,2709,5405,915,1009,1924,691,657,1348,10725,6,6,12,1103,992,2095,2726,2700,5426,924,1021,1945,712,695,1407,38,300,338,5599,5521,11120,949,1038,1987,54293.0,74411.0,452.0,1.03202289,69864.80974,154.5681632,0.6351,32.5373,153.51075942112772,KALANGALA,0.5908053120784595,1.6200735481677158,0.028,3,True,-0.6848762696993688,0.024,False,True
NTUNGAMO,Ntungamo,"540,800",540800.0,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,Ankole,Ntungamo District,24,14,38,13738,12422,26160,18986,12006,30992,6134,5448,11582,5245,4737,9982,22,13,35,12875,11831,24706,17161,11235,28396,4707,4292,8999,5721,5124,10845,72981,22,13,35,12591,11548,24139,16851,11022,27873,4616,4209,8825,5611,5031,10642,168,568,736,44127,34627,78754,5269,4751,10020,483841.0,552786.0,1999.0,1.013410587,538252.6315,269.2609462,0.9807,30.2513,135.58874723309177,NTUNGAMO,0.9039735763236569,2.5275104653717677,0.001,3,True,-0.9832732712454834,0.002,False,True
MBARARA,Mbarara,"390,700",390700.0,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,Ankole,Mbarara District,17,9,26,3016,3020,6036,4327,2744,7071,1496,1372,2868,1474,1366,2840,13,2,15,2852,2874,5726,3863,2519,6382,1371,1263,2634,1431,1306,2737,17494,3,2,5,2708,2693,5401,3680,2416,6096,1288,1193,2481,1362,1241,2603,32,145,177,10330,8511,18841,1491,1375,2866,145838.0,174039.0,773.0,1.017835486,167993.0842,217.3261115,0.6121,30.6373,104.13523915766051,MBARARA,0.767057424591411,1.9345995319145983,0.009,3,True,-0.7580735541590289,0.008,False,True
MITOOMA,Mitooma,"194,300",194300.0,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,Ankole,Mitooma District,2,2,4,5571,4506,10077,9227,5219,14446,2805,2551,5356,2941,2334,5275,2,2,4,5171,4210,9381,7920,4576,12496,2566,2088,4654,2607,2361,4968,31503,2,2,4,5158,4196,9354,7865,4551,12416,2559,2078,4637,2591,2342,4933,95,472,567,20546,14612,35158,2943,2336,5279,183444.0,226009.0,544.0,1.021085766,216771.054,398.4762022,0.6193,30.0203,145.32844408276026,MITOOMA,0.899482792710436,2.2029284258715247,0.001,3,True,-1.0105719392738277,0.003,False,True
